,indexed,inst_price,sa_20_100,la_20_100,20_100,sa_10_30,la_10_30,10_30,sa_25_30,la_25_30,25_30,sa_10_45,la_10_45,10_45,sa_25_45,la_25_45,25_45,sa_40_45,la_40_45,40_45,sa_10_60,la_10_60,10_60,sa_25_60,la_25_60,25_60,sa_40_60,la_40_60,40_60,sa_55_60,la_55_60,55_60,sa_10_75,la_10_75,10_75,sa_25_75,la_25_75,25_75,sa_40_75,la_40_75,40_75,sa_55_75,la_55_75,55_75,sa_70_75,la_70_75,70_75,sa_10_90,la_10_90,10_90,sa_25_90,la_25_90,25_90,sa_40_90,la_40_90,40_90,sa_55_90,la_55_90,55_90,sa_70_90,la_70_90,70_90,sa_85_90,la_85_90,85_90,sa_10_105,la_10_105,10_105,sa_25_105,la_25_105,25_105,sa_40_105,la_40_105,40_105,sa_55_105,la_55_105,55_105,sa_70_105,la_70_105,70_105,sa_85_105,la_85_105,85_105,sa_100_105,la_100_105,100_105
2014-08-26,3.16599851522,213.23,199.2685,196.7257,1.80652212209,201.473,201.341,0.282437677328,200.5796,201.341,0.355483688299,201.473,202.564666667,0.610397969641,200.5796,202.564666667,0.580747810153,202.44375,202.564666667,1.2018498047,201.473,202.034666667,0.91189626676,200.5796,202.034666667,0.993108303577,202.44375,202.034666667,1.80448140019,202.309272727,202.034666667,1.43227388863,201.473,199.316266667,1.38814178388,200.5796,199.316266667,1.31813252583,202.44375,199.316266667,2.20748427445,202.309272727,199.316266667,1.43317040342,200.206714286,199.316266667,1.85315275638,201.473,198.066666667,1.75574314907,200.5796,198.066666667,2.00002372937,202.44375,198.066666667,1.45994125464,202.309272727,198.066666667,1.02007668267,200.206714286,198.066666667,0.858586906377,198.788588235,198.066666667,0.896049013984,201.473,196.704666667,1.17512272711,200.5796,196.704666667,1.1574695148,202.44375,196.704666667,1.42031624653,202.309272727,196.704666667,0.97772773542,200.206714286,196.704666667,0.820329738128,198.788588235,196.704666667,0.914878531387,196.7257,196.704666667,1.07612325431
2014-08-27,3.13734224202,211.3,199.56,196.9158,1.7901708221,202.816,201.533,0.279881260701,200.7648,201.533,0.358701263304,202.816,202.727333333,0.615922839881,200.7648,202.727333333,0.586004309114,202.582,202.727333333,1.21272805881,202.816,202.327166667,0.920150076237,200.7648,202.327166667,1.00209718425,202.582,202.327166667,1.78814857131,202.528181818,202.327166667,1.41931000641,202.816,199.594133333,1.37557735278,200.7648,199.594133333,1.30620176667,202.582,199.594133333,2.18750376209,202.528181818,199.594133333,1.42019840662,200.564428571,199.594133333,1.83637939044,202.816,198.348777778,1.73985146273,200.7648,198.348777778,1.98192099618,202.582,198.348777778,1.44672694792,202.528181818,198.348777778,1.01084370421,200.564428571,198.348777778,0.850815613738,198.942705882,198.348777778,0.887938642099,202.816,196.77352381,1.16448638671,200.7648,196.77352381,1.1469929582,202.582,196.77352381,1.40746059604,202.528181818,196.77352381,0.968878068256,200.564428571,196.77352381,0.812904721036,198.942705882,196.77352381,0.90659772866,196.9158,196.77352381,1.0663829838
2014-08-28,3.12219747587,210.28,200.1115,197.1983,1.78152920242,203.958,201.801,0.278530201137,200.9036,201.801,0.3604328075,203.958,202.943555556,0.612949620304,200.9036,202.943555556,0.58883310417,202.6225,202.943555556,1.21858221224,203.958,202.522666667,0.915708272746,200.9036,202.522666667,1.00693456772,202.6225,202.522666667,1.77951671356,202.752545455,202.522666667,1.41245862824,203.958,199.919333333,1.3689370835,200.9036,199.919333333,1.29989639137,202.6225,199.919333333,2.17694411307,202.752545455,199.919333333,1.41334273991,200.856571429,199.919333333,1.82751470999,203.958,198.622,1.73145274767,200.9036,198.622,1.97235374859,202.6225,198.622,1.43974322105,202.752545455,198.622,1.00596409901,200.856571429,198.622,0.846708505711,199.112235294,198.622,0.88365233157,203.958,196.86247619,1.15886510837,200.9036,196.86247619,1.14145612518,202.6225,196.86247619,1.40066641805,202.752545455,196.86247619,0.964201042086,200.856571429,196.86247619,0.808980618739,199.112235294,196.86247619,0.902221345871,197.1983,196.86247619,1.06123527607
2014-08-29,3.13511507053,211.15,200.89,197.5168,1.78889999568,205.275,201.988333333,0.279682575471,201.144,201.988333333,0.35894157418,205.275,203.136888889,0.615485601708,201.144,203.136888889,0.586396901009,202.68475,203.136888889,1.21354052247,205.275,202.682166667,0.919496869842,201.144,202.682166667,1.00276853637,202.68475,202.682166667,1.78687918046,203.010363636,202.682166667,1.4183024508,205.275,200.2676,1.37460084259,201.144,200.2676,1.3052745056,202.68475,200.2676,2.18595087253,203.010363636,200.2676,1.41919022034,201.160857143,200.2676,1.83507576096,205.275,198.940444444,1.73861635758,201.144,198.940444444,1.980514048,202.68475,198.940444444,1.44569992926,203.010363636,198.940444444,1.01012611521,201.160857143,198.940444444,0.850211627264,199.279176471,198.940444444,0.887308302316,205.275,197.022,1.16365972813,201.144,197.022,1.14617871805,202.68475,197.022,1.40646145221,203.010363636,197.022,0.96819027029,201.160857143,197.022,0.812327647169,199.279176471,197.022,0.905954142955,197.5168,197.022,1.06562596795
2014-09-01,3.13511507053,211.15,201.6035,197.8169,1.78889999568,206.321,202.186,0.279682575471,201.3332,202.186,0.35894157418,206.321,203.264666667,0.615485601708,201.3332,203.264666667,0.586396901009,202.79725,203.264666667,1.21354052247,206.321,202.851,0.919496869842,201.3332,202.851,1.00276853637,202.79725,202.851,1.78687918046,203.196363636,202.851,1.4183024508,206.321,200.5696,1.37460084259,201.3332,200.5696,1.3052745056,202.79725,200.5696,2.18595087253,203.196363636,200.5696,1.41919022034,201.465142857,200.5696,1.83507576096,206.321,199.289111111,1.73861635758,201.3332,199.289111111,1.980514048,202.79725,199.289111111,1.44569992926,203.196363636,199.289111111,1.01012611521,201.465142857,199.289111111,0.850211627264,199.460941176,199.289111111,0.887308302316,206.321,197.215619048,1.16365972813,201.3332,197.215619048,1.14617871805,202.79725,197.215619048,1.40646145221,203.196363636,197.215619048,0.96819027029,201.465142857,197.215619048,0.812327647169,199.460941176,197.215619048,0.905954142955,197.8169,197.215619048,1.06562596795
2014-09-02,3.13511507053,211.15,202.4845,198.1086,1.78889999568,207.434,202.317333333,0.279682575471,201.616,202.317333333,0.35894157418,207.434,203.395111111,0.615485601708,201.616,203.395111111,0.586396901009,202.9335,203.395111111,1.21354052247,207.434,203.034,0.919496869842,201.616,203.034,1.00276853637,202.9335,203.034,1.78687918046,203.333818182,203.034,1.4183024508,207.434,200.926666667,1.37460084259,201.616,200.926666667,1.3052745056,202.9335,200.926666667,2.18595087253,203.333818182,200.926666667,1.41919022034,201.756714286,200.926666667,1.83507576096,207.434,199.467333333,1.73861635758,201.616,199.467333333,1.980514048,202.9335,199.467333333,1.44569992926,203.333818182,199.467333333,1.01012611521,201.756714286,199.467333333,0.850211627264,199.678705882,199.467333333,0.887308302316,207.434,197.405714286,1.16365972813,201.616,197.405714286,1.14617871805,202.9335,197.405714286,1.40646145221,203.333818182,197.405714286,0.96819027029,201.756714286,197.405714286,0.812327647169,199.678705882,197.405714286,0.905954142955,198.1086,197.405714286,1.06562596795
2014-09-03,3.14090571641,211.54,203.3225,198.3745,1.79220414438,208.569,202.479666667,0.280199157069,201.8588,202.479666667,0.358278598978,208.569,203.523333333,0.616622420958,201.8588,203.523333333,0.585313809409,203.084,203.523333333,1.21129907893,208.569,203.238666667,0.921195206471,201.8588,203.238666667,1.00091639462,203.084,203.238666667,1.79017959666,203.491454545,203.238666667,1.42092209539,208.569,201.263733333,1.37713976908,201.8588,201.263733333,1.30768538439,203.084,201.263733333,2.18998838539,203.491454545,201.263733333,1.42181150467,202.114,201.263733333,1.8384651976,208.569,199.615555556,1.74182763098,201.8588,199.615555556,1.98417211326,203.084,199.615555556,1.44837017777,203.491454545,199.615555556,1.01199184661,202.114,199.615555556,0.851781992097,199.861058824,199.615555556,0.888947185753,208.569,197.589047619,1.16580904044,201.8588,197.589047619,1.14829574244,203.084,197.589047619,1.40905922615,203.491454545,197.589047619,0.969978545002,202.114,197.589047619,0.813828039224,199.861058824,197.589047619,0.907627465786,198.3745,197.589047619,1.06759420915
2014-09-04,3.12991833705,210.8,204.1545,198.6161,1.78593473402,209.569,202.612666667,0.279218976601,202.3208,202.612666667,0.359531913544,209.569,203.570888889,0.614465379304,202.3208,203.570888889,0.587361328644,203.2835,203.570888889,1.21553639253,209.569,203.453,0.917972721585,202.3208,203.453,1.00441775669,203.2835,203.453,1.78391726849,203.656363636,203.453,1.4159514877,209.569,201.543333333,1.37232231882,202.3208,201.543333333,1.30311089642,203.2835,201.543333333,2.18232746355,203.656363636,201.543333333,1.41683778568,202.416142857,201.543333333,1.83203395884,209.569,199.781444444,1.73573444555,202.3208,199.781444444,1.97723116893,203.2835,199.781444444,1.4433035524,203.656363636,199.781444444,1.00845174088,202.416142857,199.781444444,0.84880232549,200.079882353,199.781444444,0.885837509487,209.569,197.863047619,1.16173085811,202.3208,197.863047619,1.14427882436,203.2835,197.863047619,1.40413011663,203.656363636,197.863047619,0.966585408369,202.416142857,197.863047619,0.810981141479,200.079882353,197.863047619,0.904452442979,198.6161,197.863047619,1.06385959765
2014-09-05,3.13556050483,211.18,204.884,198.8615,1.78915416096,210.603,202.814,0.279722312517,202.9448,202.814,0.358883800986,210.603,203.626888889,0.615573049343,202.9448,203.626888889,0.5863025179,203.46525,203.626888889,1.21334519789,210.603,203.689833333,0.919627511121,202.9448,203.689833333,1.00260713645,203.46525,203.689833333,1.78713305863,203.798181818,203.689833333,1.41850396192,210.603,201.827733333,1.37479614463,202.9448,201.827733333,1.30545995781,203.46525,201.827733333,2.18626145044,203.798181818,201.827733333,1.41939185759,202.738714286,201.827733333,1.83533648685,210.603,199.939444444,1.73886337861,202.9448,199.939444444,1.98079543764,203.46525,199.939444444,1.445905333,203.798181818,199.939444444,1.01026963301,202.738714286,199.939444444,0.850332424558,200.309294118,199.939444444,0.887434370272,210.603,198.166666667,1.16382505985,202.9448,198.166666667,1.14634156608,203.46525,198.166666667,1.40666128098,203.798181818,198.166666667,0.968327829883,202.738714286,198.166666667,0.812443061942,200.309294118,198.166666667,0.906082860096,198.8615,198.166666667,1.06577737112
2014-09-08,3.13615441722,211.22,205.5715,199.1211,1.78949304801,211.3,202.974,0.279775295245,203.5184,202.974,0.35895177784,211.3,203.728444444,0.615689646189,203.5184,203.728444444,0.58619146524,203.6265,203.728444444,1.2131153759,211.3,203.8615,0.919801699493,203.5184,203.8615,1.00241723075,203.6265,203.8615,1.78747156286,203.940727273,203.8615,1.41877264342,211.3,202.112666667,1.37505654735,203.5184,202.112666667,1.30570722743,203.6265,202.112666667,2.18667555433,203.940727273,202.112666667,1.41966070727,203.036428571,202.112666667,1.83568412138,211.3,200.111888889,1.73919273998,203.5184,200.111888889,1.98117062382,203.6265,200.111888889,1.44617920464,203.940727273,200.111888889,1.01046099008,203.036428571,200.111888889,0.850493487618,200.492117647,200.111888889,0.887602460881,211.3,198.453142857,1.16404550214,203.5184,198.453142857,1.14655869679,203.6265,198.453142857,1.40692771933,203.940727273,198.453142857,0.968511242674,203.036428571,198.453142857,0.812596948307,200.492117647,198.453142857,0.906254482951,199.1211,198.453142857,1.06597924201
