,indexed,inst_price,sa_20_100,la_20_100,20_100,sa_10_30,la_10_30,10_30,sa_25_30,la_25_30,25_30,sa_10_45,la_10_45,10_45,sa_25_45,la_25_45,25_45,sa_40_45,la_40_45,40_45,sa_10_60,la_10_60,10_60,sa_25_60,la_25_60,25_60,sa_40_60,la_40_60,40_60,sa_55_60,la_55_60,55_60,sa_10_75,la_10_75,10_75,sa_25_75,la_25_75,25_75,sa_40_75,la_40_75,40_75,sa_55_75,la_55_75,55_75,sa_70_75,la_70_75,70_75,sa_10_90,la_10_90,10_90,sa_25_90,la_25_90,25_90,sa_40_90,la_40_90,40_90,sa_55_90,la_55_90,55_90,sa_70_90,la_70_90,70_90,sa_85_90,la_85_90,85_90,sa_10_105,la_10_105,10_105,sa_25_105,la_25_105,25_105,sa_40_105,la_40_105,40_105,sa_55_105,la_55_105,55_105,sa_70_105,la_70_105,70_105,sa_85_105,la_85_105,85_105,sa_100_105,la_100_105,100_105
2014-11-17,1.30987693279,41.51,39.7705,38.063,0.418600784066,40.621,38.3353333333,0.190377027529,38.7996,38.3353333333,0.175008972937,40.621,38.906,0.309136422573,38.7996,38.906,1.18847415391,38.75975,38.906,0.786547347217,40.621,38.8135,0.337054707158,38.7996,38.8135,1.11061033687,38.75975,38.8135,1.07541399076,38.9070909091,38.8135,0.507827148128,40.621,38.4846666667,0.424066886085,38.7996,38.4846666667,0.669667086705,38.75975,38.4846666667,0.960859570639,38.9070909091,38.4846666667,0.604475549407,38.6355714286,38.4846666667,0.507162153731,40.621,38.1514444444,0.550452260707,38.7996,38.1514444444,0.661230697325,38.75975,38.1514444444,0.777789144509,38.9070909091,38.1514444444,0.552216592321,38.6355714286,38.1514444444,0.545082371969,38.2524705882,38.1514444444,0.417636605065,40.621,38.0584761905,0.409479725508,38.7996,38.0584761905,0.723537127798,38.75975,38.0584761905,0.419694989137,38.9070909091,38.0584761905,0.612952808148,38.6355714286,38.0584761905,0.477408153518,38.2524705882,38.0584761905,0.402029298186,38.063,38.0584761905,0.435284208127
2014-11-18,1.3338592616,42.27,39.984,38.1105,0.426264879366,40.851,38.4996666667,0.193862610303,39.1048,38.4996666667,0.178213184439,40.851,38.9675555556,0.314796352256,39.1048,38.9675555556,1.1667145693,38.80375,38.9675555556,0.800948117728,40.851,38.8845,0.343225788282,39.1048,38.8845,1.13094432521,38.80375,38.8845,1.09510357478,38.9856363636,38.8845,0.517124874762,40.851,38.5684,0.431831059379,39.1048,38.5684,0.681927915082,38.80375,38.5684,0.978451795975,38.9856363636,38.5684,0.615542796276,38.7115714286,38.5684,0.516447705088,40.851,38.2143333333,0.56053040376,39.1048,38.2143333333,0.673337065187,38.80375,38.2143333333,0.792029562477,38.9856363636,38.2143333333,0.562327038242,38.7115714286,38.2143333333,0.555062198582,38.322,38.2143333333,0.425283047364,40.851,38.096952381,0.416976824795,39.1048,38.096952381,0.736784254204,38.80375,38.096952381,0.427379118063,38.9856363636,38.096952381,0.624175263801,38.7115714286,38.096952381,0.486148943609,38.322,38.096952381,0.409389988782,38.1105,38.096952381,0.44325375759
2014-11-19,1.31240138845,41.59,40.1755,38.1508,0.41940753094,41.011,38.6303333333,0.190743930979,39.392,38.6303333333,0.175346258358,41.011,39.0093333333,0.309732204645,39.392,39.0093333333,1.14794556275,38.8155,39.0093333333,0.788063217797,41.011,38.9463333333,0.337704294645,39.392,38.9463333333,1.1127507567,38.8155,38.9463333333,1.07748657855,39.0470909091,38.9463333333,0.508805856195,41.011,38.6397333333,0.424884167484,39.392,38.6397333333,0.670957700219,38.8155,38.6397333333,0.962711383832,39.0470909091,38.6397333333,0.605640522761,38.7768571429,38.6397333333,0.50813958019,41.011,38.2682222222,0.55151311787,39.392,38.2682222222,0.662505051837,38.8155,38.2682222222,0.779288135874,39.0470909091,38.2682222222,0.553280849787,38.7768571429,38.2682222222,0.546132880033,38.3818823529,38.2682222222,0.418441493728,41.011,38.1308571429,0.410268893854,39.392,38.1308571429,0.724931562157,38.8155,38.1308571429,0.420503844813,39.0470909091,38.1308571429,0.614134119269,38.7768571429,38.1308571429,0.478328236686,38.3818823529,38.1308571429,0.402804107723,38.1508,38.1308571429,0.436123108071
2014-11-20,1.31271694541,41.6,40.364,38.1881,0.419508374299,41.114,38.828,0.19078979391,39.6684,38.828,0.175388419036,41.114,39.0424444444,0.309806677404,39.6684,39.0424444444,1.14822157755,38.844,39.0424444444,0.78825270162,41.114,39.0185,0.337785493081,39.6684,39.0185,1.11301830917,38.844,39.0185,1.07774565202,39.0927272727,39.0185,0.508928194704,41.114,38.7101333333,0.424986327659,39.6684,38.7101333333,0.671119026908,38.844,38.7101333333,0.962942860482,39.0927272727,38.7101333333,0.605786144431,38.8355714286,38.7101333333,0.508261758497,41.114,38.3298888889,0.551645725015,39.6684,38.3298888889,0.662664346151,38.844,38.3298888889,0.779475509795,39.0927272727,38.3298888889,0.55341388197,38.8355714286,38.3298888889,0.546264193542,38.4335294118,38.3298888889,0.418542104811,41.114,38.1652380952,0.410367539897,39.6684,38.1652380952,0.725105866451,38.844,38.1652380952,0.420604951773,39.0927272727,38.1652380952,0.614281783159,38.8355714286,38.1652380952,0.478443247082,38.4335294118,38.1652380952,0.402900958915,38.1881,38.1652380952,0.436227970564
2014-11-21,1.31177027453,41.57,40.5165,38.2251,0.419205844221,41.231,39.03,0.190652205117,39.9344,39.03,0.175261937003,41.231,39.0613333333,0.309583259127,39.9344,39.0613333333,1.14739353314,38.8615,39.0613333333,0.787684250152,41.231,39.08,0.337541897773,39.9344,39.08,1.11221565174,38.8615,39.08,1.0769684316,39.1334545455,39.08,0.508561179178,41.231,38.7784,0.424679847135,39.9344,38.7784,0.67063504684,38.8615,38.7784,0.962248430534,39.1334545455,38.7784,0.605349279423,38.896,38.7784,0.507895223575,41.231,38.386,0.551247903579,39.9344,38.386,0.662186463209,38.8615,38.386,0.778913388033,39.1334545455,38.386,0.55301478542,38.896,38.386,0.545870253017,38.4910588235,38.386,0.418240271562,41.231,38.1998095238,0.410071601768,39.9344,38.1998095238,0.724582953567,38.8615,38.1998095238,0.420301630894,39.1334545455,38.1998095238,0.613838791489,38.896,38.1998095238,0.478098215894,38.4910588235,38.1998095238,0.402610405339,38.2251,38.1998095238,0.435913383085
2014-11-24,1.32502366677,41.99,40.6995,38.2685,0.423441265308,41.399,39.3003333333,0.192578448228,40.1772,39.3003333333,0.177032685464,41.399,39.098,0.312711115005,40.1772,39.098,1.15898615484,38.90125,39.098,0.795642570697,41.399,39.1485,0.340952232078,40.1772,39.1485,1.12345285582,38.90125,39.1485,1.08784951751,39.1856363636,39.1485,0.513699396529,41.399,38.8468,0.428970574481,40.1772,38.8468,0.677410767785,38.90125,38.8468,0.971970449799,39.1856363636,38.8468,0.611465389535,38.955,38.8468,0.513026712483,41.399,38.4497777778,0.556817403688,40.1772,38.4497777778,0.668876824396,38.90125,38.4497777778,0.786783092699,39.1856363636,38.4497777778,0.558602137113,38.955,38.4497777778,0.551385420356,38.5556470588,38.4497777778,0.422465937044,41.399,38.2411428571,0.414214735584,40.1772,38.2411428571,0.731903733949,38.90125,38.2411428571,0.424548123195,39.1856363636,38.2411428571,0.620040674876,38.955,38.2411428571,0.482928652523,38.5556470588,38.2411428571,0.406678155405,38.2685,38.2411428571,0.440317607788
2014-11-25,1.33354370464,42.26,40.858,38.32,0.426164036007,41.562,39.5543333333,0.193816747372,40.3476,39.5543333333,0.178171023761,41.562,39.1368888889,0.314721879497,40.3476,39.1368888889,1.1664385545,38.9535,39.1368888889,0.800758633905,41.562,39.2203333333,0.343144589846,40.3476,39.2203333333,1.13067677273,38.9535,39.2203333333,1.09484450131,39.2507272727,39.2203333333,0.517002536254,41.562,38.9176,0.431728899204,40.3476,38.9176,0.681766588392,38.9535,38.9176,0.978220319326,39.2507272727,38.9176,0.615397174607,39.0187142857,38.9176,0.516325526781,41.562,38.5153333333,0.560397796614,40.3476,38.5153333333,0.673177770873,38.9535,38.5153333333,0.791842188556,39.2507272727,38.5153333333,0.562194006059,39.0187142857,38.5153333333,0.554930885074,38.6254117647,38.5153333333,0.425182436282,41.562,38.2862857143,0.416878178751,40.3476,38.2862857143,0.736609949909,38.9535,38.2862857143,0.427278011104,39.2507272727,38.2862857143,0.624027599911,39.0187142857,38.2862857143,0.486033933213,38.6254117647,38.2862857143,0.40929313759,38.32,38.2862857143,0.443148895097
2014-11-26,1.32912590723,42.12,40.995,38.3715,0.424752228978,41.731,39.8113333333,0.193174666334,40.522,39.8113333333,0.177580774274,41.731,39.1591111111,0.313679260872,40.522,39.1591111111,1.16257434727,39.028,39.1591111111,0.79810586039,41.731,39.2855,0.342007811744,40.522,39.2855,1.12693103804,39.028,39.2855,1.09121747267,39.3098181818,39.2855,0.515289797137,41.731,38.9856,0.430298656755,40.522,38.9856,0.679508014744,39.028,38.9856,0.974979646238,39.3098181818,38.9856,0.613358471236,39.0812857143,38.9856,0.514615030478,41.731,38.5777777778,0.558541296578,40.522,38.5777777778,0.670947650477,39.028,38.5777777778,0.789218953667,39.3098181818,38.5777777778,0.560331555494,39.0812857143,38.5777777778,0.553092495961,38.6908235294,38.5777777778,0.423773881121,41.731,38.3297142857,0.415497134146,40.522,38.3297142857,0.734169689782,39.028,38.3297142857,0.42586251367,39.3098181818,38.3297142857,0.621960305449,39.0812857143,38.3297142857,0.48442378767,38.6908235294,38.3297142857,0.407937220901,38.3715,38.3297142857,0.441680820196
2014-11-27,1.32912590723,42.12,41.0975,38.4284,0.424752228978,41.853,40.059,0.193174666334,40.6936,40.059,0.177580774274,41.853,39.196,0.313679260872,40.6936,39.196,1.16257434727,39.1165,39.196,0.79810586039,41.853,39.336,0.342007811744,40.6936,39.336,1.12693103804,39.1165,39.336,1.09121747267,39.3614545455,39.336,0.515289797137,41.853,39.0473333333,0.430298656755,40.6936,39.0473333333,0.679508014744,39.1165,39.0473333333,0.974979646238,39.3614545455,39.0473333333,0.613358471236,39.1434285714,39.0473333333,0.514615030478,41.853,38.6323333333,0.558541296578,40.6936,38.6323333333,0.670947650477,39.1165,38.6323333333,0.789218953667,39.3614545455,38.6323333333,0.560331555494,39.1434285714,38.6323333333,0.553092495961,38.7602352941,38.6323333333,0.423773881121,41.853,38.3701904762,0.415497134146,40.6936,38.3701904762,0.734169689782,39.1165,38.3701904762,0.42586251367,39.3614545455,38.3701904762,0.621960305449,39.1434285714,38.3701904762,0.48442378767,38.7602352941,38.3701904762,0.407937220901,38.4284,38.3701904762,0.441680820196
2014-11-28,1.39349952666,44.16,41.298,38.502,0.445324274256,42.119,40.367,0.202530704305,40.9192,40.367,0.186181552515,42.119,39.2691111111,0.328871703706,40.9192,39.2691111111,1.21888136694,39.231,39.2691111111,0.836760560181,42.119,39.4165,0.358572292655,40.9192,39.4165,1.18151174358,39.231,39.4165,1.14406846138,39.452,39.4165,0.540246852839,42.119,39.1382666667,0.451139332438,40.9192,39.1382666667,0.712418659333,39.231,39.1382666667,1.02220088267,39.452,39.1382666667,0.64306529178,39.2327142857,39.1382666667,0.539539405174,42.119,38.7154444444,0.585593154247,40.9192,38.7154444444,0.703443690529,39.231,38.7154444444,0.827443233475,39.452,38.7154444444,0.58747012086,39.2327142857,38.7154444444,0.579880451606,38.8510588235,38.7154444444,0.44429854203,42.119,38.4300952381,0.435620926968,40.9192,38.4300952381,0.769727765925,39.231,38.4300952381,0.44648833342,39.452,38.4300952381,0.652083739046,39.2327142857,38.4300952381,0.50788590844,38.8510588235,38.4300952381,0.427694864079,38.502,38.4300952381,0.463072768752
