,indexed,inst_price,sa_20_100,la_20_100,20_100,sa_10_30,la_10_30,10_30,sa_25_30,la_25_30,25_30,sa_10_45,la_10_45,10_45,sa_25_45,la_25_45,25_45,sa_40_45,la_40_45,40_45,sa_10_60,la_10_60,10_60,sa_25_60,la_25_60,25_60,sa_40_60,la_40_60,40_60,sa_55_60,la_55_60,55_60,sa_10_75,la_10_75,10_75,sa_25_75,la_25_75,25_75,sa_40_75,la_40_75,40_75,sa_55_75,la_55_75,55_75,sa_70_75,la_70_75,70_75,sa_10_90,la_10_90,10_90,sa_25_90,la_25_90,25_90,sa_40_90,la_40_90,40_90,sa_55_90,la_55_90,55_90,sa_70_90,la_70_90,70_90,sa_85_90,la_85_90,85_90,sa_10_105,la_10_105,10_105,sa_25_105,la_25_105,25_105,sa_40_105,la_40_105,40_105,sa_55_105,la_55_105,55_105,sa_70_105,la_70_105,70_105,sa_85_105,la_85_105,85_105,sa_100_105,la_100_105,100_105
2014-08-08,1.10818933133,14.75,14.9605,14.5518,0.793852683601,14.742,15.1313333333,0.662871421082,15.0584,15.1313333333,0.568024664289,14.742,15.0331111111,0.752632732172,15.0584,15.0331111111,0.508380907274,15.13025,15.0331111111,0.598111063211,14.742,14.7583333333,0.712866172153,15.0584,14.7583333333,0.465927786859,15.13025,14.7583333333,0.622329297218,14.8509090909,14.7583333333,1.15894757707,14.742,14.6593333333,0.62893231957,15.0584,14.6593333333,0.585432009463,15.13025,14.6593333333,0.844121472708,14.8509090909,14.6593333333,1.00572148005,14.6752857143,14.6593333333,1.3014807133,14.742,14.5991111111,1.022165677,15.0584,14.5991111111,0.952847902236,15.13025,14.5991111111,1.61929924702,14.8509090909,14.5991111111,1.55299284934,14.6752857143,14.5991111111,0.969812895981,14.6172941176,14.5991111111,1.26219017368,14.742,14.5219047619,0.689715782906,15.0584,14.5219047619,1.08686315642,15.13025,14.5219047619,1.31407465542,14.8509090909,14.5219047619,1.49592672013,14.6752857143,14.5219047619,1.40589088086,14.6172941176,14.5219047619,1.1443895781,14.5518,14.5219047619,0.950858100489
2014-08-11,1.09391435011,14.56,14.929,14.5587,0.783626784626,14.677,15.0983333333,0.671410103794,15.0232,15.0983333333,0.575341592168,14.677,15.0368888889,0.762327662281,15.0232,15.0368888889,0.501832271858,15.1335,15.0368888889,0.590406581718,14.677,14.7676666667,0.722048855048,15.0232,14.7676666667,0.459926005198,15.1335,14.7676666667,0.614312852033,14.8681818182,14.7676666667,1.14401876082,14.677,14.6621333333,0.620830818504,15.0232,14.6621333333,0.577890851375,15.1335,14.6621333333,0.833248043568,14.8681818182,14.6621333333,0.992766423694,14.6791428571,14.6621333333,1.28471587699,14.677,14.6032222222,1.0089987971,15.0232,14.6032222222,0.940573929258,15.1335,14.6032222222,1.59844047706,14.8681818182,14.6032222222,1.53298819569,14.6791428571,14.6032222222,0.95732039088,14.6202352941,14.6032222222,1.2459314528,14.677,14.5280952381,0.680831308414,15.0232,14.5280952381,1.07286288525,15.1335,14.5280952381,1.29714759206,14.8681818182,14.5280952381,1.4766571556,14.6791428571,14.5280952381,1.38778110002,14.6202352941,14.5280952381,1.12964828862,14.5587,14.5280952381,0.938609758855
2014-08-12,1.09616829452,14.59,14.901,14.5653,0.785241400254,14.626,15.0656666667,0.670026703855,14.9872,15.0656666667,0.574156135591,14.626,15.0435555556,0.760756932208,14.9872,15.0435555556,0.500798276793,15.13425,15.0435555556,0.591623078796,14.626,14.7803333333,0.720561117023,14.9872,14.7803333333,0.460873654934,15.13425,14.7803333333,0.615578606536,14.8830909091,14.7803333333,1.14637594234,14.626,14.6657333333,0.622110002883,14.9872,14.6657333333,0.579081560547,15.13425,14.6657333333,0.834964900801,14.8830909091,14.6657333333,0.994811958907,14.6848571429,14.6657333333,1.28736295641,14.626,14.6055555556,1.01107777814,14.9872,14.6055555556,0.942511924991,15.13425,14.6055555556,1.60173396705,14.8830909091,14.6055555556,1.53614682521,14.6848571429,14.6055555556,0.959292891686,14.6232941176,14.6055555556,1.24849861925,14.626,14.5335238095,0.682234120176,14.9872,14.5335238095,1.07507345438,15.13425,14.5335238095,1.29982028628,14.8830909091,14.5335238095,1.47969971842,14.6848571429,14.5335238095,1.3906405391,14.6232941176,14.5335238095,1.13197586064,14.5653,14.5335238095,0.940543707534
2014-08-13,1.10293012772,14.68,14.8725,14.5748,0.790085247137,14.595,15.0403333333,0.665893571343,14.9592,15.0403333333,0.570614391094,14.595,15.0535555556,0.756064120426,14.9592,15.0535555556,0.497709048217,15.1255,15.0535555556,0.595272570029,14.595,14.7986666667,0.716116257494,14.9592,14.7986666667,0.463716604142,15.1255,14.7986666667,0.619375870045,14.8978181818,14.7986666667,1.15344748687,14.595,14.6688,0.618272449746,14.9592,14.6688,0.582653688062,15.1255,14.6688,0.840115472499,14.8978181818,14.6688,1.00094856455,14.6878571429,14.6688,1.29530419466,14.595,14.6097777778,1.01731472125,14.9592,14.6097777778,0.948325912191,15.1255,14.6097777778,1.61161443704,14.8978181818,14.6097777778,1.54562271378,14.6878571429,14.6097777778,0.965210394102,14.6271764706,14.6097777778,1.25620011862,14.595,14.5416190476,0.686442555461,14.9592,14.5416190476,1.08170516177,15.1255,14.5416190476,1.30783836892,14.8978181818,14.5416190476,1.48882740688,14.6878571429,14.5416190476,1.39921885634,14.6271764706,14.5416190476,1.13895857671,14.5748,14.5416190476,0.946345553571
2014-08-14,1.12021036814,14.91,14.8645,14.5837,0.802463966949,14.625,15.022,0.655460633918,14.9344,15.022,0.561674247365,14.625,15.07,0.744218429166,14.9344,15.07,0.48991115441,15.118,15.07,0.604599047625,14.625,14.8191666667,0.704896452369,14.9344,14.8191666667,0.470981918784,15.118,14.8191666667,0.6290799879,14.9150909091,14.8191666667,1.17151921181,14.625,14.6712,0.608585619812,14.9344,14.6712,0.591782458379,15.118,14.6712,0.853278044616,14.9150909091,14.6712,1.01663100119,14.6997142857,14.6712,1.31559847019,14.625,14.6151111111,1.03325357587,14.9344,14.6151111111,0.96318387948,15.118,14.6151111111,1.63686452699,14.9150909091,14.6151111111,1.56983887347,14.6997142857,14.6151111111,0.980332900277,14.6348235294,14.6151111111,1.27588172811,14.625,14.5505714286,0.697197445635,14.9344,14.5505714286,1.09865285845,15.118,14.5505714286,1.32832902456,14.9150909091,14.5505714286,1.51215372184,14.6997142857,14.5505714286,1.42114122262,14.6348235294,14.5505714286,1.15680329556,14.5837,14.5505714286,0.961172493443
2014-08-15,1.11269722014,14.81,14.8455,14.5889,0.797081914857,14.636,15.0003333333,0.659856748163,14.9104,15.0003333333,0.565441344932,14.636,15.0835555556,0.749209833788,14.9104,15.0835555556,0.493196943508,15.10675,15.0835555556,0.600544057366,14.636,14.8391666667,0.709624128106,14.9104,14.8391666667,0.467823086331,15.10675,14.8391666667,0.624860806223,14.928,14.8391666667,1.1636619401,14.636,14.6776,0.612667347644,14.9104,14.6776,0.587813427807,15.10675,14.6776,0.847555187174,14.928,14.6776,1.00981255047,14.7107142857,14.6776,1.30677487213,14.636,14.6224444444,1.02632363908,14.9104,14.6224444444,0.956723893702,15.10675,14.6224444444,1.62588622701,14.928,14.6224444444,1.55931010839,14.7107142857,14.6224444444,0.973757897592,14.6412941176,14.6224444444,1.26732450659,14.636,14.5593333333,0.692521406429,14.9104,14.5593333333,1.09128429468,15.10675,14.5593333333,1.31942004385,14.928,14.5593333333,1.50201184577,14.7107142857,14.5593333333,1.41160975902,14.6412941176,14.5593333333,1.14904472215,14.5889,14.5593333333,0.954725997847
2014-08-18,1.10818933133,14.75,14.8255,14.5936,0.793852683601,14.63,14.9773333333,0.662530036811,14.8928,14.9773333333,0.567732126884,14.63,15.0906666667,0.752245120083,14.8928,15.0906666667,0.49519504051,15.0935,15.0906666667,0.598111063211,14.63,14.8581666667,0.712499040172,14.8928,14.8581666667,0.465927786859,15.0935,14.8581666667,0.622329297218,14.9398181818,14.8581666667,1.15894757707,14.63,14.6837333333,0.615149457088,14.8928,14.6837333333,0.585432009463,15.0935,14.6837333333,0.844121472708,14.9398181818,14.6837333333,1.00572148005,14.7212857143,14.6837333333,1.3014807133,14.63,14.6273333333,1.022165677,14.8928,14.6273333333,0.952847902236,15.0935,14.6273333333,1.61929924702,14.9398181818,14.6273333333,1.55299284934,14.7212857143,14.6273333333,0.969812895981,14.6484705882,14.6273333333,1.26219017368,14.63,14.5677142857,0.689715782906,14.8928,14.5677142857,1.08686315642,15.0935,14.5677142857,1.31407465542,14.9398181818,14.5677142857,1.49592672013,14.7212857143,14.5677142857,1.40589088086,14.6484705882,14.5677142857,1.1443895781,14.5936,14.5677142857,0.950858100489
2014-08-19,1.11945905334,14.9,14.8095,14.5995,0.80192576174,14.67,14.9576666667,0.655792443217,14.8828,14.9576666667,0.561958579831,14.67,15.0982222222,0.744595169709,14.8828,15.0982222222,0.490159158742,15.086,15.0982222222,0.604193548599,14.67,14.877,0.705253287221,14.8828,14.877,0.470666035539,15.086,14.877,0.628658069732,14.9527272727,14.877,1.17073348463,14.67,14.6932,0.608893699897,14.8828,14.6932,0.591385555322,15.086,14.6932,0.852705758872,14.9527272727,14.6932,1.01594915612,14.7328571429,14.6932,1.31471611038,14.67,14.6336666667,1.03256058219,14.8828,14.6336666667,0.962537880902,15.086,14.6336666667,1.63576669699,14.9527272727,14.6336666667,1.56878599696,14.7328571429,14.6336666667,0.979675400008,14.6574117647,14.6336666667,1.27502600595,14.67,14.576952381,0.696729841715,14.8828,14.576952381,1.09791600207,15.086,14.576952381,1.32743812649,14.9527272727,14.576952381,1.51113953424,14.7328571429,14.576952381,1.42018807626,14.6574117647,14.576952381,1.15602743822,14.5995,14.576952381,0.960527843884
2014-08-20,1.13072877536,15.05,14.802,14.6075,0.809998839878,14.739,14.9466666667,0.649190505869,14.8748,14.9466666667,0.556301278691,14.739,15.0986666667,0.737099245182,14.8748,15.0986666667,0.485224670567,15.07925,15.0986666667,0.598111063211,14.739,14.8966666667,0.698153421913,14.8748,14.8966666667,0.475404284219,15.07925,14.8966666667,0.634986842246,14.9723636364,14.8966666667,1.1825193922,14.739,14.7009333333,0.602763897549,14.8748,14.7009333333,0.597339101181,15.07925,14.7009333333,0.861290045035,14.9723636364,14.7009333333,1.02617683218,14.7452857143,14.7009333333,1.32795150746,14.739,14.6414444444,1.04295548738,14.8748,14.6414444444,0.972227859569,15.07925,14.6414444444,1.65223414696,14.9723636364,14.6414444444,1.58457914458,14.7452857143,14.6414444444,0.989537904035,14.6664705882,14.6414444444,1.28786183823,14.739,14.5895238095,0.703743900524,14.8748,14.5895238095,1.10896884773,15.07925,14.5895238095,1.34080159756,14.9723636364,14.5895238095,1.52635234834,14.7452857143,14.5895238095,1.43448527165,14.6664705882,14.5895238095,1.16766529833,14.6075,14.5895238095,0.970197587278
2014-08-21,1.13223140496,15.07,14.7915,14.6157,0.811075250296,14.807,14.9313333333,0.648327794233,14.8748,14.9313333333,0.555562007889,14.807,15.0955555556,0.736119711301,14.8748,15.0955555556,0.484579853729,15.06975,15.0955555556,0.597316231233,14.807,14.9151666667,0.697225643279,14.8748,14.9151666667,0.476036050709,15.06975,14.9151666667,0.635830678581,14.9867272727,14.9151666667,1.18409084654,14.807,14.7141333333,0.603564912695,14.8748,14.7141333333,0.598132907296,15.06975,14.7141333333,0.862434616523,14.9867272727,14.7141333333,1.02754052233,14.7577142857,14.7141333333,1.32971622708,14.807,14.6504444444,1.04434147474,14.8748,14.6504444444,0.973519856725,15.06975,14.6504444444,1.65442980696,14.9867272727,14.6504444444,1.5866848976,14.7577142857,14.6504444444,0.990852904572,14.6730588235,14.6504444444,1.28957328253,14.807,14.5995238095,0.704679108365,14.8748,14.5995238095,1.11044256049,15.06975,14.5995238095,1.34258339371,14.9867272727,14.5995238095,1.52838072355,14.7577142857,14.5995238095,1.43639156437,14.6730588235,14.5995238095,1.16921701301,14.6157,14.5995238095,0.971486886398
