,indexed,inst_price,sa_20_100,la_20_100,20_100,sa_10_30,la_10_30,10_30,sa_25_30,la_25_30,25_30,sa_10_45,la_10_45,10_45,sa_25_45,la_25_45,25_45,sa_40_45,la_40_45,40_45,sa_10_60,la_10_60,10_60,sa_25_60,la_25_60,25_60,sa_40_60,la_40_60,40_60,sa_55_60,la_55_60,55_60,sa_10_75,la_10_75,10_75,sa_25_75,la_25_75,25_75,sa_40_75,la_40_75,40_75,sa_55_75,la_55_75,55_75,sa_70_75,la_70_75,70_75,sa_10_90,la_10_90,10_90,sa_25_90,la_25_90,25_90,sa_40_90,la_40_90,40_90,sa_55_90,la_55_90,55_90,sa_70_90,la_70_90,70_90,sa_85_90,la_85_90,85_90,sa_10_105,la_10_105,10_105,sa_25_105,la_25_105,25_105,sa_40_105,la_40_105,40_105,sa_55_105,la_55_105,55_105,sa_70_105,la_70_105,70_105,sa_85_105,la_85_105,85_105,sa_100_105,la_100_105,100_105
2013-06-13,1.65170717161,110.78,110.252,107.1131,0.635255790216,108.479,110.323,0.461577656801,110.43,110.323,0.385562149936,108.479,109.860888889,0.431130906712,110.43,109.860888889,0.618283379317,109.933,109.860888889,0.702976285882,108.479,108.380333333,0.534592343894,110.43,108.380333333,0.644050460927,109.933,108.380333333,0.584681199436,109.070909091,108.380333333,0.59888325054,108.479,107.498,0.638703547597,110.43,107.498,0.670193048044,109.933,107.498,0.692843504636,109.070909091,107.498,0.685418313227,107.720714286,107.498,0.760059451072,108.479,107.226111111,0.634916363636,110.43,107.226111111,0.545102640541,109.933,107.226111111,0.763076215675,109.070909091,107.226111111,0.836806885131,107.720714286,107.226111111,1.13803108644,107.274823529,107.226111111,1.15341784354,108.479,107.177619048,0.772932858356,110.43,107.177619048,0.593447802699,109.933,107.177619048,0.922573848898,109.070909091,107.177619048,1.20937586766,107.720714286,107.177619048,1.56089894865,107.274823529,107.177619048,1.18202380082,107.1131,107.177619048,1.03604398709
2013-06-14,1.64141941255,110.09,110.135,107.1194,0.631299060705,108.83,110.373333333,0.464452621444,110.3844,110.373333333,0.383160652522,108.83,109.854888889,0.433816231912,110.3844,109.854888889,0.614432363504,109.94025,109.854888889,0.698597755125,108.83,108.532166667,0.53126260281,110.3844,108.532166667,0.640038953272,109.94025,108.532166667,0.581039476854,109.235090909,108.532166667,0.595153069615,108.83,107.5856,0.634725343518,110.3844,107.5856,0.666018709687,109.94025,107.5856,0.688528086526,109.235090909,107.5856,0.681149143376,107.823571429,107.5856,0.755325374332,108.83,107.281111111,0.630961748264,110.3844,107.281111111,0.541707435432,109.94025,107.281111111,0.758323348832,109.235090909,107.281111111,0.831594782308,107.823571429,107.281111111,1.13094279027,107.308705882,107.281111111,1.14623371001,108.83,107.199142857,0.768118598812,110.3844,107.199142857,0.589751476793,109.94025,107.199142857,0.9168275413,109.235090909,107.199142857,1.20184319616,107.823571429,107.199142857,1.55117679416,107.308705882,107.199142857,1.17466149334,107.1194,107.199142857,1.04249705037
2013-06-17,1.65841657969,111.23,110.0115,107.1434,0.637836265984,109.104,110.440666667,0.459643138399,110.3972,110.440666667,0.387128343901,109.104,109.923111111,0.429323993704,110.3972,109.923111111,0.620794911369,109.9995,109.923111111,0.705831849419,109.104,108.7045,0.536763914166,110.3972,108.7045,0.646666661572,109.9995,108.7045,0.587056235903,109.430181818,108.7045,0.60131597723,109.104,107.675733333,0.641298028518,110.3972,107.675733333,0.672915442625,109.9995,107.675733333,0.695657907751,109.430181818,107.675733333,0.688202554435,107.926285714,107.675733333,0.763146892424,109.104,107.347111111,0.637495460617,110.3972,107.347111111,0.547316904743,109.9995,107.347111111,0.766175911442,109.430181818,107.347111111,0.840206082625,107.926285714,107.347111111,1.14265388829,107.356,107.347111111,1.15810314801,109.104,107.23152381,0.776072592841,110.3972,107.23152381,0.595858450029,109.9995,107.23152381,0.92632144081,109.430181818,107.23152381,1.21428847951,107.926285714,107.23152381,1.56723948419,107.356,107.23152381,1.18682530569,107.1434,107.23152381,1.03170182249
2013-06-18,1.65796928582,111.2,109.842,107.1669,0.637664234266,109.328,110.470666667,0.459767109398,110.4252,110.470666667,0.38702393097,109.328,109.960222222,0.429439787283,110.4252,109.960222222,0.620627475899,110.069,109.960222222,0.705641478516,109.328,108.880166667,0.536619142815,110.4252,108.880166667,0.646492248195,110.069,108.880166667,0.586897900138,109.594909091,108.880166667,0.601153795451,109.328,107.755066667,0.641125063123,110.4252,107.755066667,0.672733949652,110.069,107.755066667,0.695470280877,109.594909091,107.755066667,0.688016938354,108.018,107.755066667,0.762941063001,109.328,107.393444444,0.637323520819,110.4252,107.393444444,0.547169287129,110.069,107.393444444,0.765969265057,109.594909091,107.393444444,0.839979469459,108.018,107.393444444,1.1423457015,107.401294118,107.393444444,1.15779079438,109.328,107.253238095,0.775863277209,110.4252,107.253238095,0.595697740207,110.069,107.253238095,0.926071601349,109.594909091,107.253238095,1.21396097205,108.018,107.253238095,1.56681678182,107.401294118,107.253238095,1.18650520537,107.1669,107.253238095,1.03198008425
2013-06-19,1.60295213956,107.51,109.568,107.1769,0.616504332967,109.294,110.360666667,0.475023769772,110.2564,110.360666667,0.374181140455,109.294,109.920666667,0.443690082382,110.2564,109.920666667,0.600032913074,110.04725,109.920666667,0.682225857511,109.294,108.999833333,0.518812266583,110.2564,108.999833333,0.625039402909,110.04725,108.999833333,0.567422601114,109.672,108.999833333,0.581205436591,109.294,107.7908,0.619850319572,110.2564,107.7908,0.650410314093,110.04725,107.7908,0.672392175333,109.672,107.7908,0.665186160454,108.055,107.7908,0.737624043914,109.294,107.397111111,0.616174925568,110.2564,107.397111111,0.529012320677,110.04725,107.397111111,0.740551759769,109.672,107.397111111,0.812106050013,108.055,107.397111111,1.10443872633,107.412941176,107.397111111,1.11937129769,109.294,107.241333333,0.750117454431,110.2564,107.241333333,0.575930432101,110.04725,107.241333333,0.895341347671,109.672,107.241333333,1.1736775549,108.055,107.241333333,1.51482439041,107.412941176,107.241333333,1.14713286537,107.1769,107.241333333,1.06622474711
2013-06-20,1.49962725511,100.58,108.966,107.1299,0.576765006138,108.394,110.045333333,0.50564338399,109.826,110.045333333,0.39830052752,108.394,109.731777778,0.472289954682,109.826,109.731777778,0.561355319477,109.8605,109.731777778,0.638250179039,108.394,108.991833333,0.485370084391,109.826,108.991833333,0.584749912981,109.8605,108.991833333,0.530847039531,109.582363636,108.991833333,0.543741445561,108.394,107.747466667,0.57989531339,109.826,107.747466667,0.608485437554,109.8605,107.747466667,0.629050367361,109.582363636,107.747466667,0.62230884586,107.982285714,107.747466667,0.690077447092,108.394,107.321888889,0.57645683205,109.826,107.321888889,0.494912651974,109.8605,107.321888889,0.692816444959,109.582363636,107.321888889,0.759758408616,107.982285714,107.321888889,1.03324757785,107.355529412,107.321888889,1.0472176088,108.394,107.161142857,0.70176554336,109.826,107.161142857,0.53880646322,109.8605,107.161142857,0.837628432228,109.582363636,107.161142857,1.09802333245,107.982285714,107.161142857,1.41718014313,107.355529412,107.161142857,1.07318969025,107.1299,107.161142857,1.13495265612
2013-06-21,1.51990457731,101.94,108.441,107.0983,0.584563777348,107.607,109.735666667,0.498806289118,109.4064,109.735666667,0.392914877118,107.607,109.557111111,0.465903850701,109.4064,109.557111111,0.568945727456,109.71475,109.557111111,0.646880326618,107.607,109.0065,0.478807116458,109.4064,109.0065,0.592656652707,109.71475,109.0065,0.538024927519,109.504,109.0065,0.551093686225,107.607,107.7348,0.587736411284,109.4064,107.7348,0.616713118953,109.71475,107.7348,0.637556118998,109.504,107.7348,0.630723441509,107.935,107.7348,0.699408380956,107.607,107.263333333,0.584251436261,109.4064,107.263333333,0.501604650449,109.71475,107.263333333,0.702184414388,109.504,107.263333333,0.770031538818,107.935,107.263333333,1.04721871233,107.304588235,107.263333333,1.0613776401,107.607,107.08952381,0.711254518693,109.4064,107.08952381,0.54609197515,109.71475,107.08952381,0.848954487784,109.504,107.08952381,1.11287033715,107.935,107.08952381,1.43634265053,107.304588235,107.08952381,1.08770090499,107.0983,107.08952381,1.11960630881
2013-06-24,1.53019233636,102.63,107.9505,107.0796,0.588520506859,106.938,109.459666667,0.495430025242,108.9636,109.459666667,0.390255359115,106.938,109.418666667,0.462750293148,108.9636,109.418666667,0.565094711643,109.55175,109.418666667,0.651258857375,106.938,109.042,0.475566220731,108.9636,109.042,0.596668160362,109.55175,109.042,0.541666650101,109.411272727,109.042,0.55482386715,106.938,107.716,0.583758207205,108.9636,107.716,0.62088745731,109.55175,107.716,0.641871537108,109.411272727,107.716,0.63499261136,107.905285714,107.716,0.704142457696,106.938,107.212444444,0.588206051633,108.9636,107.212444444,0.504999855558,109.55175,107.212444444,0.70693728123,109.411272727,107.212444444,0.775243641641,107.905285714,107.212444444,1.0543070085,107.288352941,107.212444444,1.06856177362,106.938,107.03047619,0.716068778237,108.9636,107.03047619,0.549788301056,109.55175,107.03047619,0.854700795382,109.411272727,107.03047619,1.12040300865,107.905285714,107.03047619,1.44606480502,107.288352941,107.03047619,1.09506321247,107.0796,107.03047619,1.11202804363
2013-06-25,1.53063963024,102.66,107.526,107.066,0.588692538577,106.514,109.198333333,0.495285205007,108.4864,109.198333333,0.390141282717,106.514,109.290666667,0.462615025596,108.4864,109.290666667,0.564929527571,109.3825,109.290666667,0.651449228278,106.514,109.050666667,0.475427206928,108.4864,109.050666667,0.596493746986,109.3825,109.050666667,0.541824985865,109.308363636,109.050666667,0.554986048929,106.514,107.687733333,0.583587567566,108.4864,107.687733333,0.621068950282,109.3825,107.687733333,0.642059163982,109.308363636,107.687733333,0.635178227441,107.903142857,107.687733333,0.704348287119,106.514,107.160333333,0.588034111834,108.4864,107.160333333,0.505147473172,109.3825,107.160333333,0.707143927615,109.308363636,107.160333333,0.775470254808,107.903142857,107.160333333,1.05461519529,107.270235294,107.160333333,1.06887412726,106.514,106.97152381,0.715859462604,108.4864,106.97152381,0.549949010878,109.3825,106.97152381,0.854950634843,109.308363636,106.97152381,1.1207305161,107.903142857,106.97152381,1.44648750739,107.270235294,106.97152381,1.0953833128,107.066,106.97152381,1.11170298427
2013-06-26,1.54927687491,103.91,107.2425,107.0628,0.595860526822,106.253,108.937666667,0.489254555228,108.1232,108.937666667,0.385390877462,106.253,109.191333333,0.45698217169,108.1232,109.191333333,0.558050880489,109.2625,109.191333333,0.659381349214,106.253,109.061333333,0.469638350425,108.1232,109.061333333,0.589230770328,109.2625,109.061333333,0.548422309383,109.2,109.061333333,0.561743623069,106.253,107.674266667,0.576481738037,108.1232,107.674266667,0.62863115745,109.2625,107.674266667,0.649876950413,109.2,107.674266667,0.642912230795,107.932571429,107.674266667,0.712924513097,106.253,107.131333333,0.580874140669,108.1232,107.131333333,0.511298207065,109.2625,107.131333333,0.715754193634,109.2,107.131333333,0.784912470067,107.932571429,107.131333333,1.06745631153,107.270352941,107.131333333,1.0818888619,106.253,106.946761905,0.707143075226,108.1232,106.946761905,0.556645253462,109.2625,106.946761905,0.865360612376,109.2,106.946761905,1.13437666012,107.932571429,106.946761905,1.46410010611,107.270352941,106.946761905,1.10872082635,107.0628,106.946761905,1.09816676052
2013-06-27,1.58759504995,106.48,107.151,107.0858,0.610597910654,105.823,108.775666667,0.477153850706,107.8776,108.775666667,0.375859027255,105.823,109.156444444,0.445679658157,107.8776,109.156444444,0.544248640446,109.198,109.156444444,0.67568978986,105.823,109.0775,0.458022812357,107.8776,109.0775,0.574657359879,109.198,109.0775,0.561986406535,109.126727273,109.0775,0.5756371955,105.823,107.685066667,0.562223648663,107.8776,107.685066667,0.644179055387,109.198,107.685066667,0.665950319314,109.126727273,107.685066667,0.65881334169,108.015,107.685066667,0.730557233708,105.823,107.142666667,0.566507414257,107.8776,107.142666667,0.523944115949,109.198,107.142666667,0.733456900569,109.126727273,107.142666667,0.80432566464,108.015,107.142666667,1.09385764654,107.300941176,107.142666667,1.10864715634,105.823,106.958190476,0.689653346583,107.8776,106.958190476,0.570412728213,109.198,106.958190476,0.886763526184,109.126727273,106.958190476,1.16243313223,108.015,106.958190476,1.50031160907,107.300941176,106.958190476,1.1361427542,107.0858,106.958190476,1.07100586576
2013-06-28,1.57253615625,105.47,107.0955,107.0891,0.604806176152,105.361,108.543666667,0.481679821679,107.5988,108.543666667,0.379424181439,105.361,109.105333333,0.449907085418,107.5988,109.105333333,0.54941102894,109.12025,109.105333333,0.669280636143,105.361,109.0645,0.462367318748,107.5988,109.0645,0.5801081857,109.12025,109.0645,0.556655769133,109.037818182,109.0645,0.570177075595,105.361,107.688,0.56755653639,107.5988,107.688,0.638068791995,109.12025,107.688,0.659633547878,109.037818182,107.688,0.65256426698,108.079142857,107.688,0.723627643118,105.361,107.133777778,0.571880934997,107.5988,107.133777778,0.518974322963,109.12025,107.133777778,0.726499805626,109.037818182,107.133777778,0.79669635471,108.079142857,107.133777778,1.08348202461,107.323882353,107.133777778,1.09813125075,105.361,106.961714286,0.696194949513,107.5988,106.961714286,0.565002164206,109.12025,106.961714286,0.878352264337,109.037818182,106.961714286,1.15140704786,108.079142857,106.961714286,1.48608062931,107.323882353,106.961714286,1.12536604326,107.0891,106.961714286,1.08116473057
2013-07-01,1.56195020128,104.76,106.909,107.0838,0.600734758829,104.714,108.245666667,0.484922380448,107.2916,108.245666667,0.381978378545,104.714,109.007777778,0.452935757369,107.2916,109.007777778,0.553109538758,109.009,109.007777778,0.664775191451,104.714,109.015,0.465479870149,107.2916,109.015,0.584013341781,109.009,109.015,0.552908489375,108.976,109.015,0.574015377706,104.714,107.688666667,0.571377197629,107.2916,107.688666667,0.642364125666,109.009,107.688666667,0.655193045186,108.976,107.688666667,0.648171353075,108.134428571,107.688666667,0.718756346762,104.714,107.142111111,0.575730707101,107.2916,107.142111111,0.515480706112,109.009,107.142111111,0.721609174527,108.976,107.142111111,0.791333176443,108.134428571,107.142111111,1.07618827058,107.327294118,107.142111111,1.09073888147,104.714,106.964190476,0.700881575228,107.2916,106.964190476,0.561198698418,109.009,106.964190476,0.872439397098,108.976,106.964190476,1.14365603806,108.134428571,106.964190476,1.47607667323,107.327294118,106.964190476,1.11779033556,107.0838,106.964190476,1.0884428851
2013-07-02,1.58178022961,106.09,106.7655,107.0744,0.593108019336,104.203,107.962333333,0.478765958474,107.0892,107.962333333,0.377128901231,104.203,108.933555556,0.447185427498,107.0892,108.933555556,0.546087434076,108.90375,108.933555556,0.673214968128,104.203,108.977833333,0.459570284169,107.0892,108.977833333,0.576598892139,108.90375,108.977833333,0.545888937152,108.913454545,108.977833333,0.56672785907,104.203,107.7324,0.564123172497,107.0892,107.7324,0.63420887283,108.90375,107.7324,0.663511169948,108.913454545,107.7324,0.656400332644,108.212,107.7324,0.727881451203,104.203,107.163111111,0.568421411183,107.0892,107.163111111,0.522025086974,108.90375,107.163111111,0.730770497571,108.913454545,107.163111111,0.801379693479,108.212,107.163111111,1.08985121827,107.337176471,107.163111111,1.10458655913,104.203,106.983904762,0.691983403263,107.0892,106.983904762,0.568323500527,108.90375,106.983904762,0.883515613194,108.913454545,106.983904762,1.1581755353,108.212,106.983904762,1.49481647827,107.337176471,106.983904762,1.13198144998,107.0744,106.983904762,1.07462435668
