,indexed,inst_price,sa_20_100,la_20_100,20_100,sa_10_30,la_10_30,10_30,sa_25_30,la_25_30,25_30,sa_10_45,la_10_45,10_45,sa_25_45,la_25_45,25_45,sa_40_45,la_40_45,40_45,sa_10_60,la_10_60,10_60,sa_25_60,la_25_60,25_60,sa_40_60,la_40_60,40_60,sa_55_60,la_55_60,55_60,sa_10_75,la_10_75,10_75,sa_25_75,la_25_75,25_75,sa_40_75,la_40_75,40_75,sa_55_75,la_55_75,55_75,sa_70_75,la_70_75,70_75,sa_10_90,la_10_90,10_90,sa_25_90,la_25_90,25_90,sa_40_90,la_40_90,40_90,sa_55_90,la_55_90,55_90,sa_70_90,la_70_90,70_90,sa_85_90,la_85_90,85_90,sa_10_105,la_10_105,10_105,sa_25_105,la_25_105,25_105,sa_40_105,la_40_105,40_105,sa_55_105,la_55_105,55_105,sa_70_105,la_70_105,70_105,sa_85_105,la_85_105,85_105,sa_100_105,la_100_105,100_105
2014-02-24,1.70766801193,97.32,94.7565,88.2704,0.745555023469,96.485,93.3056666667,1.00242657522,93.6524,93.3056666667,0.69522246452,96.485,92.2668888889,0.685114972453,93.6524,92.2668888889,0.737908633682,92.4325,92.2668888889,0.77669543859,96.485,90.8011666667,0.823987095707,93.6524,90.8011666667,0.698395209052,92.4325,90.8011666667,0.974595642899,91.3496363636,90.8011666667,1.24609541512,96.485,89.4128,0.876009789534,93.6524,89.4128,0.592149608477,92.4325,89.4128,0.899392501381,91.3496363636,89.4128,0.554143351826,89.8052857143,89.4128,1.22319420996,96.485,88.5686666667,0.968770340615,93.6524,88.5686666667,0.942480440986,92.4325,88.5686666667,0.879348869751,91.3496363636,88.5686666667,0.876463377627,89.8052857143,88.5686666667,1.06227107486,88.7608235294,88.5686666667,1.41823727153,96.485,88.0625714286,0.73518765135,93.6524,88.0625714286,0.597572366282,92.4325,88.0625714286,0.66810332079,91.3496363636,88.0625714286,1.50444581228,89.8052857143,88.0625714286,1.68610055437,88.7608235294,88.0625714286,1.18575227668,88.2704,88.0625714286,0.77154508437
2014-02-25,1.6917002983,96.41,94.9535,88.406,0.73858363967,96.63,93.5006666667,0.993053289319,93.8848,93.5006666667,0.688721720143,96.63,92.3891111111,0.678708739151,93.8848,92.3891111111,0.731008748184,92.5725,92.3891111111,0.76943287335,96.63,91.0101666667,0.816282325288,93.8848,91.0101666667,0.691864797623,92.5725,91.0101666667,0.965482592806,91.5312727273,91.0101666667,1.23444368035,96.63,89.5802666667,0.867818575925,93.8848,89.5802666667,0.586612656733,92.5725,89.5802666667,0.89098264548,91.5312727273,89.5802666667,0.548961781232,89.9872857143,89.5802666667,1.21175661511,96.63,88.6491111111,0.95971176057,93.8848,88.6491111111,0.933667687171,92.5725,88.6491111111,0.871126433751,91.5312727273,88.6491111111,0.868267922698,89.9872857143,88.6491111111,1.05233820723,88.906,88.6491111111,1.40497590781,96.63,88.183047619,0.728313208659,93.8848,88.183047619,0.59198470852,92.5725,88.183047619,0.66185615657,91.5312727273,88.183047619,1.49037834733,89.9872857143,88.183047619,1.67033450932,88.906,88.183047619,1.17466478622,88.406,88.183047619,0.764330678012
2014-02-26,1.70556237936,97.2,95.2825,88.5428,0.744635720111,96.733,93.6603333333,1.00119053751,94.1872,93.6603333333,0.694365223503,96.733,92.5288888889,0.684270194435,94.1872,92.5288888889,0.736998758671,92.73225,92.5288888889,0.775737737679,96.733,91.2306666667,0.822971082025,94.1872,91.2306666667,0.697534055896,92.73225,91.2306666667,0.973393922007,91.748,91.2306666667,1.24455892262,96.733,89.7536,0.874929629498,94.1872,89.7536,0.591419460994,92.73225,89.7536,0.898283509394,91.748,89.7536,0.553460067792,90.1947142857,89.7536,1.22168595569,96.733,88.7984444444,0.967575802587,94.1872,88.7984444444,0.941318319604,92.73225,88.7984444444,0.878264592476,91.748,88.7984444444,0.875382658295,90.1947142857,88.7984444444,1.06096124616,89.0672941176,88.7984444444,1.41648852027,96.733,88.3080952381,0.734281131435,94.1872,88.3080952381,0.596835532291,92.73225,88.3080952381,0.667279518915,91.748,88.3080952381,1.50259076196,90.1947142857,88.3080952381,1.68402151546,89.0672941176,88.3080952381,1.18429019003,88.5428,88.3080952381,0.770593734081
2014-02-27,1.69678891034,96.7,95.4575,88.6625,0.740805289452,96.792,93.8166666667,0.996040380429,94.516,93.8166666667,0.690793385934,96.792,92.6522222222,0.680750286027,94.516,92.6522222222,0.733207612793,92.903,92.6522222222,0.771747317218,96.792,91.4355,0.818737691685,94.516,91.4355,0.693945917749,92.903,91.4355,0.968386751627,91.9503636364,91.4355,1.23815687055,96.792,89.9261333333,0.870428962679,94.516,89.9261333333,0.588377179816,92.903,89.9261333333,0.893662709449,91.9503636364,89.9261333333,0.550613050982,90.403,89.9261333333,1.21540156292,96.792,88.9336666667,0.962598560804,94.516,88.9336666667,0.936476147178,92.903,88.9336666667,0.873746770498,91.9503636364,88.9336666667,0.870879661082,90.403,88.9336666667,1.05550362658,89.2242352941,88.9336666667,1.40920205669,96.792,88.4293333333,0.730503965121,94.516,88.4293333333,0.593765390664,92.903,88.4293333333,0.663847011102,91.9503636364,88.4293333333,1.49486138561,90.403,88.4293333333,1.67535885335,89.2242352941,88.4293333333,1.1781981623,88.6625,88.4293333333,0.766629774544
2014-02-28,1.70152658361,96.97,95.6105,88.7761,0.742873722008,96.834,94.001,0.998821465255,94.948,94.001,0.692722178221,96.834,92.7877777778,0.682651036567,94.948,92.7877777778,0.735254831567,93.08175,92.7877777778,0.773902144267,96.834,91.6266666667,0.821023722469,94.948,91.6266666667,0.695883512348,93.08175,91.6266666667,0.971090623632,92.1489090909,91.6266666667,1.24161397867,96.834,90.1025333333,0.872859322761,94.948,90.1025333333,0.590020011652,93.08175,90.1025333333,0.896157941419,92.1489090909,90.1025333333,0.552150440059,90.6042857143,90.1025333333,1.21879513501,96.834,89.0692222222,0.965286271367,94.948,89.0692222222,0.939090920288,93.08175,89.0692222222,0.876186394366,92.1489090909,89.0692222222,0.873311279577,90.6042857143,89.0692222222,1.05845074116,89.3816470588,89.0692222222,1.41313674702,96.834,88.550952381,0.73254363493,94.948,88.550952381,0.595423267143,93.08175,88.550952381,0.665700565321,92.1489090909,88.550952381,1.49903524884,90.6042857143,88.550952381,1.68003669089,89.3816470588,88.550952381,1.18148785727,88.7761,88.550952381,0.768770312694
2014-03-03,1.68994560449,96.31,95.805,88.8768,0.737817553538,96.81,94.1633333333,0.992023257902,95.1488,94.1633333333,0.688007352629,96.81,92.9086666667,0.678004757469,95.1488,92.9086666667,0.730250519008,93.2735,92.9086666667,0.768634789258,96.81,91.797,0.81543564722,95.1488,91.797,0.691147169994,93.2735,91.797,0.96448115873,92.3112727273,91.797,1.23316326993,96.81,90.2661333333,0.866918442561,95.1488,90.2661333333,0.586004200497,93.2735,90.2661333333,0.890058485491,92.3112727273,90.2661333333,0.54839237787,90.7744285714,90.2661333333,1.21049973655,96.81,89.2028888889,0.958716312214,95.1488,89.2028888889,0.932699252686,93.2735,89.2028888889,0.870222869356,92.3112727273,89.2028888889,0.867367323255,90.7744285714,89.2028888889,1.05124668331,89.5277647059,89.2028888889,1.4035186151,96.81,88.6726666667,0.727557775396,95.1488,88.6726666667,0.591370680195,93.2735,88.6726666667,0.661169655008,92.3112727273,88.6726666667,1.48883247206,90.7744285714,88.6726666667,1.6686019769,89.5277647059,88.6726666667,1.17344638067,88.8768,88.6726666667,0.763537886104
2014-03-04,1.70240393051,97.02,96.031,88.9895,0.743256765074,96.856,94.3773333333,0.999336480964,95.3308,94.3773333333,0.693079361978,96.856,93.0466666667,0.683003027408,95.3308,93.0466666667,0.735633946155,93.47575,93.0466666667,0.774301186313,96.856,91.9736666667,0.821447061503,95.3308,91.9736666667,0.696242326163,93.47575,91.9736666667,0.97159134067,92.4949090909,91.9736666667,1.24225418387,96.856,90.4441333333,0.873309389443,95.3308,90.4441333333,0.59032423977,93.47575,90.4441333333,0.896620021414,92.4949090909,90.4441333333,0.55243514174,90.9552857143,90.4441333333,1.21942357429,96.856,89.3467777778,0.965783995545,95.3308,89.3467777778,0.939575137531,93.47575,89.3467777778,0.876638176564,92.4949090909,89.3467777778,0.873761579298,90.9552857143,89.3467777778,1.05899650311,89.6803529412,89.3467777778,1.41386539338,96.856,88.8076190476,0.732921351562,95.3308,88.8076190476,0.595730281305,93.47575,88.8076190476,0.666043816102,92.4949090909,88.8076190476,1.49980818648,90.9552857143,88.8076190476,1.6809029571,89.6803529412,88.8076190476,1.18209706004,88.9895,88.8076190476,0.769166708648
2014-03-05,1.69099842078,96.37,96.2515,89.0905,0.738277205217,96.872,94.6016666667,0.992641276752,95.5608,94.6016666667,0.688435973138,96.872,93.1702222222,0.678427146478,95.5608,93.1702222222,0.730705456514,93.6565,93.1702222222,0.769113639713,96.872,92.1585,0.815943654061,95.5608,92.1585,0.691577746571,93.6565,92.1585,0.965082019175,92.644,92.1585,1.23393151618,96.872,90.6266666667,0.867458522579,95.5608,90.6266666667,0.586369274239,93.6565,90.6266666667,0.890612981485,92.644,90.6266666667,0.548734019888,91.1224285714,90.6266666667,1.21125386368,96.872,89.4898888889,0.959313581228,95.5608,89.4898888889,0.933280313377,93.6565,89.4898888889,0.870765007993,92.644,89.4898888889,0.867907682921,91.1224285714,89.4898888889,1.05190159766,89.8232941176,89.4898888889,1.40439299073,96.872,88.93,0.728011035354,95.5608,88.93,0.59173909719,93.6565,88.93,0.661581555945,92.644,88.93,1.48975999722,91.1224285714,88.93,1.66964149635,89.8232941176,88.93,1.174177424,89.0905,88.93,0.764013561249
2014-03-06,1.71258115459,97.6,96.44,89.208,0.747700064638,96.94,94.9056666667,1.00531066318,95.7368,94.9056666667,0.697222693559,96.94,93.342,0.687086121161,95.7368,93.342,0.740031675373,93.85375,93.342,0.778930074048,96.94,92.359,0.826357794297,95.7368,92.359,0.700404566414,93.85375,92.359,0.977399658312,92.8269090909,92.359,1.24968056428,96.94,90.8330666667,0.878530162953,95.7368,90.8330666667,0.593853285936,93.85375,90.8330666667,0.90198014935,92.8269090909,90.8330666667,0.555737681239,91.3071428571,90.8330666667,1.22671346991,96.94,89.6481111111,0.971557596014,95.7368,89.6481111111,0.945192057545,93.85375,89.6481111111,0.881878850058,92.8269090909,89.6481111111,0.878985056066,91.3071428571,89.6481111111,1.06532734183,89.9874117647,89.6481111111,1.42231769114,96.94,89.0525714286,0.737302864486,95.7368,89.0525714286,0.599291645593,93.85375,89.0525714286,0.670025525166,92.8269090909,89.0525714286,1.50877426304,91.3071428571,89.0525714286,1.69095164516,89.9874117647,89.0525714286,1.18916381221,89.208,89.0525714286,0.773764901711
2014-03-07,1.70293033866,97.05,96.549,89.3051,0.743486590913,96.895,95.2683333333,0.999645490389,95.8624,95.2683333333,0.693293672232,96.895,93.5026666667,0.683214221912,95.8624,93.5026666667,0.735861414908,94.01725,93.5026666667,0.774540611541,96.895,92.5423333333,0.821701064923,95.8624,92.5423333333,0.696457614452,94.01725,92.5423333333,0.971891770893,92.9745454545,92.5423333333,1.242638307,96.895,91.022,0.873579429452,95.8624,91.022,0.590506776641,94.01725,91.022,0.89689726941,92.9745454545,91.022,0.552605962749,91.485,91.022,1.21980063786,96.895,89.7976666667,0.966082630052,95.8624,89.7976666667,0.939865667876,94.01725,89.7976666667,0.876909245883,92.9745454545,89.7976666667,0.874031759131,91.485,89.7976666667,1.05932396029,90.1381176471,89.7976666667,1.4143025812,96.895,89.1615238095,0.733147981541,95.8624,89.1615238095,0.595914489803,94.01725,89.1615238095,0.666249766571,92.9745454545,89.1615238095,1.50027194906,91.485,89.1615238095,1.68142271683,90.1381176471,89.1615238095,1.18246258171,89.3051,89.1615238095,0.76940454622
