,indexed,inst_price,sa_20_100,la_20_100,20_100,sa_10_30,la_10_30,10_30,sa_25_30,la_25_30,25_30,sa_10_45,la_10_45,10_45,sa_25_45,la_25_45,25_45,sa_40_45,la_40_45,40_45,sa_10_60,la_10_60,10_60,sa_25_60,la_25_60,25_60,sa_40_60,la_40_60,40_60,sa_55_60,la_55_60,55_60,sa_10_75,la_10_75,10_75,sa_25_75,la_25_75,25_75,sa_40_75,la_40_75,40_75,sa_55_75,la_55_75,55_75,sa_70_75,la_70_75,70_75,sa_10_90,la_10_90,10_90,sa_25_90,la_25_90,25_90,sa_40_90,la_40_90,40_90,sa_55_90,la_55_90,55_90,sa_70_90,la_70_90,70_90,sa_85_90,la_85_90,85_90,sa_10_105,la_10_105,10_105,sa_25_105,la_25_105,25_105,sa_40_105,la_40_105,40_105,sa_55_105,la_55_105,55_105,sa_70_105,la_70_105,70_105,sa_85_105,la_85_105,85_105,sa_100_105,la_100_105,100_105
2015-02-24,1.72857838364,71.01,69.45,68.2379,0.566486726984,70.235,68.9943333333,0.604539963639,69.0304,68.9943333333,0.753742161145,70.235,69.0922222222,0.64009137351,69.0304,69.0922222222,0.67695519478,68.92025,69.0922222222,0.818958623971,70.235,69.1226666667,0.692108432697,69.0304,69.1226666667,0.597633801809,68.92025,69.1226666667,0.881863425693,69.1038181818,69.1226666667,0.984238222578,70.235,69.0,0.70874441268,69.0304,69.0,0.577997910192,68.92025,69.0,0.908086094743,69.1038181818,69.0,0.848172936555,69.0651428571,69.0,0.950019885949,70.235,68.6505555556,0.632585803249,69.0304,68.6505555556,0.617517559002,68.92025,68.6505555556,0.98587313067,69.1038181818,68.6505555556,1.04990495934,69.0651428571,68.6505555556,1.29202001597,68.8344705882,68.6505555556,0.842860411336,70.235,68.0865714286,0.60291865375,69.0304,68.0865714286,0.849166605968,68.92025,68.0865714286,1.02342200134,69.1038181818,68.0865714286,0.970074540464,69.0651428571,68.0865714286,1.07791492189,68.8344705882,68.0865714286,0.946929775536,68.2379,68.0865714286,0.972454853759
2015-02-25,1.72857838364,71.01,69.7445,68.2898,0.566486726984,70.389,69.0796666667,0.604539963639,69.1368,69.0796666667,0.753742161145,70.389,69.1042222222,0.64009137351,69.1368,69.1042222222,0.67695519478,68.96575,69.1042222222,0.818958623971,70.389,69.1551666667,0.692108432697,69.1368,69.1551666667,0.597633801809,68.96575,69.1551666667,0.881863425693,69.1427272727,69.1551666667,0.984238222578,70.389,69.0308,0.70874441268,69.1368,69.0308,0.577997910192,68.96575,69.0308,0.908086094743,69.1427272727,69.0308,0.848172936555,69.104,69.0308,0.950019885949,70.389,68.7137777778,0.632585803249,69.1368,68.7137777778,0.617517559002,68.96575,68.7137777778,0.98587313067,69.1427272727,68.7137777778,1.04990495934,69.104,68.7137777778,1.29202001597,68.8951764706,68.7137777778,0.842860411336,70.389,68.1448571429,0.60291865375,69.1368,68.1448571429,0.849166605968,68.96575,68.1448571429,1.02342200134,69.1427272727,68.1448571429,0.970074540464,69.104,68.1448571429,1.07791492189,68.8951764706,68.1448571429,0.946929775536,68.2898,68.1448571429,0.972454853759
2015-02-26,1.73101265823,71.11,69.8485,68.3489,0.567284483253,70.515,69.1726666667,0.605391308468,69.2084,69.1726666667,0.754803620321,70.515,69.1184444444,0.640992783696,69.2084,69.1184444444,0.67790851853,69.01375,69.1184444444,0.820111924385,70.515,69.1828333333,0.69308309603,69.2084,69.1828333333,0.596792182598,69.01375,69.1828333333,0.883105311942,69.176,69.1828333333,0.985624278377,70.515,69.0684,0.709742503671,69.2084,69.0684,0.578811877113,69.01375,69.0684,0.909364909128,69.176,69.0684,0.849367378093,69.1475714286,69.0684,0.951357753695,70.515,68.7811111111,0.633476643699,69.2084,68.7811111111,0.618387179561,69.01375,68.7811111111,0.987261488832,69.176,68.7811111111,1.05138349048,69.1475714286,68.7811111111,1.2938395062,68.9504705882,68.7811111111,0.844047371498,70.515,68.2051428571,0.603767715366,69.2084,68.2051428571,0.850362446844,69.01375,68.2051428571,1.02486323779,69.176,68.2051428571,0.971440650223,69.1475714286,68.2051428571,1.07943289812,68.9504705882,68.2051428571,0.948263291626,68.3489,68.2051428571,0.973824315601
2015-02-27,1.72395326193,70.82,70.0135,68.4042,0.564970990072,70.589,69.2276666667,0.602922408462,69.3556,69.2276666667,0.75172538871,70.589,69.1171111111,0.638378694155,69.3556,69.1171111111,0.675143879656,69.05825,69.1171111111,0.816767353185,70.589,69.207,0.690256572365,69.3556,69.207,0.594358351449,69.05825,69.207,0.879503841819,69.2169090909,69.207,0.981604716561,70.589,69.1118666667,0.706848039798,69.3556,69.1118666667,0.576451373044,69.05825,69.1118666667,0.905656347412,69.2169090909,69.1118666667,0.845903497631,69.183,69.1118666667,0.947477937233,70.589,68.8418888889,0.630893206395,69.3556,68.8418888889,0.615865279939,69.05825,68.8418888889,0.983235250163,69.2169090909,68.8418888889,1.04709575018,69.183,68.8418888889,1.28856298452,68.9968235294,68.8418888889,0.840605187027,70.589,68.2561904762,0.601305436679,69.3556,68.2561904762,0.846894508304,69.05825,68.2561904762,1.02068365209,69.2169090909,68.2561904762,0.96747893192,69.183,68.2561904762,1.07503076705,68.9968235294,68.2561904762,0.944396094965,68.4042,68.2561904762,0.96985287626
2015-03-02,1.72857838364,71.01,70.1145,68.4724,0.566486726984,70.682,69.289,0.604539963639,69.5444,69.289,0.753742161145,70.682,69.1288888889,0.64009137351,69.5444,69.1288888889,0.67695519478,69.12025,69.1288888889,0.818958623971,70.682,69.2331666667,0.692108432697,69.5444,69.2331666667,0.595952930478,69.12025,69.2331666667,0.881863425693,69.2725454545,69.2331666667,0.984238222578,70.682,69.1530666667,0.70874441268,69.5444,69.1530666667,0.577997910192,69.12025,69.1530666667,0.908086094743,69.2725454545,69.1530666667,0.848172936555,69.2267142857,69.1530666667,0.950019885949,70.682,68.8963333333,0.632585803249,69.5444,68.8963333333,0.617517559002,69.12025,68.8963333333,0.98587313067,69.2725454545,68.8963333333,1.04990495934,69.2267142857,68.8963333333,1.29202001597,69.0391764706,68.8963333333,0.842860411336,70.682,68.3108571429,0.60291865375,69.5444,68.3108571429,0.849166605968,69.12025,68.3108571429,1.02342200134,69.2725454545,68.3108571429,0.970074540464,69.2267142857,68.3108571429,1.07791492189,69.0391764706,68.3108571429,0.946929775536,68.4724,68.3108571429,0.972454853759
2015-03-03,1.72054527751,70.68,70.189,68.5351,0.563854131294,70.731,69.3463333333,0.6017305257,69.7452,69.3463333333,0.750239345863,70.731,69.1431111111,0.637116719894,69.7452,69.1431111111,0.673809226406,69.192,69.1431111111,0.815152732605,70.731,69.2556666667,0.688892043699,69.7452,69.2556666667,0.593183398481,69.192,69.2556666667,0.87776520107,69.3301818182,69.2556666667,0.979664238443,70.731,69.1892,0.70545071241,69.7452,69.1892,0.575311819355,69.192,69.1892,0.903866007273,69.3301818182,69.1892,0.844231279477,69.2602857143,69.1892,0.94560492239,70.731,68.9506666667,0.629646029766,69.7452,68.9506666667,0.614647811157,69.192,68.9506666667,0.981291548736,69.3301818182,68.9506666667,1.04502580659,69.2602857143,68.9506666667,1.28601569819,69.0701176471,68.9506666667,0.8389434428,70.731,68.3659047619,0.600116750416,69.7452,68.3659047619,0.845220331078,69.192,68.3659047619,1.01866592107,69.3301818182,68.3659047619,0.965566378256,69.2602857143,68.3659047619,1.07290560033,69.0701176471,68.3659047619,0.942529172439,68.5351,68.3659047619,0.967935629682
2015-03-04,1.72054527751,70.68,70.263,68.6066,0.563854131294,70.745,69.424,0.6017305257,69.9676,69.424,0.750239345863,70.745,69.1762222222,0.637116719894,69.9676,69.1762222222,0.673809226406,69.25025,69.1762222222,0.815152732605,70.745,69.2858333333,0.688892043699,69.9676,69.2858333333,0.593183398481,69.25025,69.2858333333,0.87776520107,69.3669090909,69.2858333333,0.979664238443,70.745,69.2210666667,0.70545071241,69.9676,69.2210666667,0.575311819355,69.25025,69.2210666667,0.903866007273,69.3669090909,69.2210666667,0.844231279477,69.2887142857,69.2210666667,0.94560492239,70.745,69.0043333333,0.629646029766,69.9676,69.0043333333,0.614647811157,69.25025,69.0043333333,0.981291548736,69.3669090909,69.0043333333,1.04502580659,69.2887142857,69.0043333333,1.28601569819,69.0998823529,69.0043333333,0.8389434428,70.745,68.4121904762,0.600116750416,69.9676,68.4121904762,0.845220331078,69.25025,68.4121904762,1.01866592107,69.3669090909,68.4121904762,0.965566378256,69.2887142857,68.4121904762,1.07290560033,69.0998823529,68.4121904762,0.942529172439,68.6066,68.4121904762,0.967935629682
2015-03-05,1.73953261928,71.46,70.3465,68.6901,0.570076630197,70.87,69.4953333333,0.608371015373,70.0648,69.4953333333,0.758518727439,70.87,69.2266666667,0.644147719349,70.0648,69.2266666667,0.681245151655,69.30475,69.2266666667,0.824148475834,70.87,69.3221666667,0.696494417695,70.0648,69.3221666667,0.599729565018,69.30475,69.3221666667,0.887451913815,69.4029090909,69.3221666667,0.990475473672,70.87,69.2664,0.71323582214,70.0648,69.2664,0.581660761334,69.30475,69.2664,0.913840759475,69.4029090909,69.2664,0.853547923478,69.3282857143,69.2664,0.956040290803,70.87,69.0604444444,0.636594585272,70.0648,69.0604444444,0.621430851518,69.30475,69.0604444444,0.992120742398,69.4029090909,69.0604444444,1.05655834945,69.3282857143,69.0604444444,1.30020772202,69.1392941176,69.0604444444,0.848201732066,70.87,68.4718095238,0.606739431023,70.0648,68.4718095238,0.85454788991,69.30475,68.4718095238,1.02990756536,69.4029090909,68.4718095238,0.976222034383,69.3282857143,68.4718095238,1.08474581493,69.1392941176,68.4718095238,0.952930597941,68.6901,68.4718095238,0.978617432047
2015-03-06,1.68573515093,69.25,70.344,68.7453,0.55244621664,70.771,69.5656666667,0.589556294634,70.134,69.5656666667,0.735060479641,70.771,69.2313333333,0.624226554225,70.134,69.2313333333,0.660176696783,69.321,69.2313333333,0.798660536685,70.771,69.3335,0.674954358038,70.134,69.3335,0.581182093164,69.321,69.3335,0.860006227704,69.3896363636,69.3335,0.959843640523,70.771,69.2785333333,0.69117801124,70.134,69.2785333333,0.563672092393,69.321,69.2785333333,0.885578961568,69.3896363636,69.2785333333,0.827150765475,69.3234285714,69.2785333333,0.926473413632,70.771,69.0867777778,0.616907011337,70.134,69.0867777778,0.602212237162,69.321,69.0867777778,0.961438027023,69.3896363636,69.0867777778,1.02388281136,69.3234285714,69.0867777778,1.25999698783,69.1534117647,69.0867777778,0.821969912477,70.771,68.5095238095,0.587975169302,70.134,68.5095238095,0.828119806552,69.321,68.5095238095,0.998056239866,69.3896363636,68.5095238095,0.94603100869,69.3234285714,68.5095238095,1.05119854022,69.1534117647,68.5095238095,0.923459892351,68.7453,68.5095238095,0.948352325346
2015-03-09,1.69401168452,69.59,70.37,68.7958,0.555158587957,70.662,69.6756666667,0.592450867055,70.158,69.6756666667,0.73866944084,70.662,69.2548888889,0.62729134886,70.158,69.2548888889,0.663417997532,69.35425,69.2548888889,0.802581758093,70.662,69.3608333333,0.67826821337,70.158,69.3608333333,0.584035550372,69.35425,69.3608333333,0.855783814456,69.3774545455,69.3608333333,0.964556230238,70.662,69.3004,0.694571520609,70.158,69.3004,0.566439579922,69.35425,69.3004,0.889926930477,69.3774545455,69.3004,0.831211866707,69.3261428571,69.3004,0.931022163966,70.662,69.111,0.619935868865,70.158,69.111,0.605168947063,69.35425,69.111,0.966158444773,69.3774545455,69.111,1.02890981722,69.3261428571,69.111,1.26618325463,69.1656470588,69.111,0.826005577029,70.662,68.560952381,0.590861978798,70.158,68.560952381,0.832185665531,69.35425,68.560952381,1.00295644379,69.3774545455,68.560952381,0.950675781874,69.3261428571,68.560952381,1.0563596594,69.1656470588,68.560952381,0.927993847057,68.7958,68.560952381,0.953008495608
