,indexed,inst_price,short_avg,long_avg,long_pos,short_pos,long_pct_gain,short_pct_gain,total_pct_gain,inv_value
2013-05-13,1.12269626074,1633.77002,1593.3544921,1530.53609373,True,False,4.28897607281e-05,-0.0,4.28897607281e-05,1.47224924931
2013-05-14,1.13408281833,1650.339966,1597.1429931,1532.77289305,True,False,0.0101421533001,-0.0,0.0101421533001,1.48718102689
2013-05-15,1.13988267207,1658.780029,1602.48149405,1535.16239378,True,False,0.00511413598039,-0.0,0.00511413598039,1.49478667289
2013-05-16,1.13417215534,1650.469971,1607.92449335,1537.48609373,True,False,-0.00500974080633,0.0,-0.00500974080633,1.4872981791
2013-05-17,1.14585423801,1667.469971,1613.5354919,1540.1364929,True,False,0.0103000965172,-0.0,0.0103000965172,1.50261749389
2013-05-20,1.14504341076,1666.290039,1618.72499385,1542.53749388,True,False,-0.000707618140369,0.0,-0.000707618140369,1.50155421449
2013-05-21,1.14701561775,1669.160034,1623.2439941,1544.96719481,True,False,0.00172238621898,-0.0,0.00172238621898,1.50414047078
2013-05-22,1.13752560368,1655.349976,1627.07199095,1546.89649413,True,False,-0.00827365723999,0.0,-0.00827365723999,1.49169572808
2013-05-23,1.13419966939,1650.51001,1630.33948975,1548.80789428,True,False,-0.00292383246454,0.0,-0.00292383246454,1.48733425969
2013-05-24,1.13357431101,1649.599976,1633.70748905,1550.63919433,True,False,-0.000551365332222,0.0,-0.000551365332222,1.48651419514
2013-05-27,1.13357431101,1649.599976,1636.5069886,1552.51629394,True,False,0.0,-0.0,0.0,1.48651419514
2013-05-28,1.1407622848,1660.060059,1639.63149425,1554.54539429,True,False,0.0063409815423,-0.0,0.0063409815423,1.49594015421
2013-05-29,1.13272221235,1648.359985,1642.91449595,1556.41879394,True,False,-0.00704798235255,0.0,-0.00704798235255,1.48539679441
2013-05-30,1.13687969308,1654.410034,1645.75549935,1558.24169433,True,False,0.00367034449699,-0.0,0.00367034449699,1.49084871236
2013-05-31,1.12061408069,1630.73999,1646.57149665,1559.82859374,True,False,-0.0143072415626,0.0,-0.0143072415626,1.4695187797
2013-06-03,1.1272660331,1640.420044,1647.71749885,1561.52599364,True,False,0.00593598860601,-0.0,0.00593598860601,1.47824182643
2013-06-04,1.12105388705,1631.380005,1647.98850105,1563.11639403,True,False,-0.00551080745024,0.0,-0.00551080745024,1.47009552036
2013-06-05,1.10560606373,1608.900024,1646.7990052,1564.47909422,True,False,-0.0137797330672,0.0,-0.0137797330672,1.4498379965
2013-06-06,1.1149929848,1622.560059,1646.59350595,1565.8952954,True,False,0.00849029448458,-0.0,0.00849029448458,1.46214754805
2013-06-07,1.12930006305,1643.380005,1647.07750865,1567.46929565,True,False,0.0128315410481,-0.0,0.0128315410481,1.48090915433
2013-06-10,1.1289084068,1642.810059,1647.5295106,1569.03759644,True,False,-0.000346813274024,0.0,-0.000346813274024,1.48039555538
2013-06-11,1.11744618505,1626.130005,1646.31901255,1570.3732959,True,False,-0.0101533673407,0.0,-0.0101533673407,1.46536455549
2013-06-12,1.10809365741,1612.52002,1644.0060121,1571.55039551,True,False,-0.00836955529887,0.0,-0.00836955529887,1.45310010581
2013-06-13,1.12447603634,1636.359985,1643.3005128,1572.9657959,True,False,0.0147842908642,-0.0,0.0147842908642,1.47458316043
2013-06-14,1.11785847667,1626.72998,1641.26351325,1574.20349609,True,False,-0.00588501618732,0.0,-0.00588501618732,1.46590521466
2013-06-17,1.12631771943,1639.040039,1639.90101325,1575.59209594,True,False,0.00756736468335,-0.0,0.00756736468335,1.47699825402
2013-06-18,1.1350930388,1651.810059,1639.0335145,1577.03179687,True,False,0.00779115805358,-0.0,0.00779115805358,1.48850578086
2013-06-19,1.11937032645,1628.930054,1637.7125184,1578.3014978,True,False,-0.0138514745538,0.0,-0.0138514745538,1.46788778091
2013-06-20,1.09137448128,1588.189941,1634.59651495,1579.20229736,True,False,-0.0250103513653,0.0,-0.0250103513653,1.43117539175
2013-06-21,1.09428820779,1592.430054,1631.73801885,1579.99489746,True,False,0.00266977701504,-0.0,0.00266977701504,1.43499631091
2013-06-24,1.08099806033,1573.089966,1627.91251835,1580.76869751,False,False,-0.0121450156956,0.0,-0.0121450156956,1.41756825819
2013-06-25,1.09126459274,1588.030029,1624.31101685,1581.53609741,True,False,0.0,-0.0,0.0,1.41756825819
2013-06-26,1.10173035139,1603.26001,1622.0560181,1582.44749756,True,False,0.0095904867804,-0.0,0.0095904867804,1.43116342783
2013-06-27,1.1085608933,1613.199951,1619.99551395,1583.48559692,True,False,0.00619983093073,-0.0,0.00619983093073,1.44003639912
2013-06-28,1.10380565207,1606.280029,1618.7725159,1584.36909667,True,False,-0.00428956249082,0.0,-0.00428956249082,1.433859273
2013-07-01,1.10977033932,1614.959961,1617.49951175,1585.34859618,True,False,0.00540374769236,-0.0,0.00540374769236,1.44160748673
2013-07-02,1.10916561631,1614.079956,1616.6345093,1586.2950952,True,False,-0.00054490824618,0.0,-0.00054490824618,1.44082194293
2013-07-03,1.11007962108,1615.410034,1616.9600098,1587.24589598,True,False,0.000824047157674,-0.0,0.000824047157674,1.44200924815
2013-07-04,1.11007962108,1615.410034,1616.60250855,1588.18619627,True,False,0.0,-0.0,0.0,1.44200924815
2013-07-05,1.1214043564,1631.890015,1616.02800905,1589.30719603,True,False,0.0102017324723,-0.0,0.0102017324723,1.45672024072
2013-07-08,1.12729346332,1640.459961,1615.91050415,1590.51389525,True,False,0.00525154631821,-0.0,0.00525154631821,1.46437027454
2013-07-09,1.13544342363,1652.319946,1617.2200012,1591.7276953,True,False,0.00722967050825,-0.0,0.00722967050825,1.47495718913
2013-07-10,1.1356496117,1652.619995,1619.22499995,1593.13439574,True,False,0.000181592554593,-0.0,0.000181592554593,1.47522503037
2013-07-11,1.15104249074,1675.02002,1621.1580017,1594.8603955,True,False,0.0135542502619,-0.0,0.0135542502619,1.49522059963
2013-07-12,1.15459516395,1680.189941,1623.83099975,1596.50629515,True,False,0.00308648310962,-0.0,0.00308648310962,1.49983557275
2013-07-15,1.15618259337,1682.5,1626.0039978,1598.45279539,True,False,0.00137487967499,-0.0,0.00137487967499,1.5018976662
2013-07-16,1.15189458873,1676.26001,1627.22649535,1600.24599608,True,False,-0.00370876077266,0.0,-0.00370876077266,1.49632748705
2013-07-17,1.15508999842,1680.910034,1629.82549435,1601.89519652,True,False,0.002774046969,-0.0,0.002774046969,1.50047836978
2013-07-18,1.1609035257,1689.369995,1634.88449705,1603.64209593,True,False,0.00503296478031,-0.0,0.00503296478031,1.50803022457
2013-07-19,1.162772639,1692.089966,1639.86749265,1605.38099608,True,False,0.00161005049696,-0.0,0.00161005049696,1.51045822938
2013-07-22,1.16513658608,1695.530029,1645.9894958,1607.08429686,True,False,0.00203302606193,-0.0,0.00203302606193,1.51352903033
2013-07-23,1.16297882707,1692.390015,1651.2074951,1608.61029662,True,False,-0.00185193653093,0.0,-0.00185193653093,1.51072607062
2013-07-24,1.15854645662,1685.939941,1655.34149165,1610.05509642,True,False,-0.00381122196588,0.0,-0.00381122196588,1.50496835824
2013-07-25,1.16150824871,1690.25,1659.1939941,1611.51499632,True,False,0.00255647244317,-0.0,0.00255647244317,1.50881576837
2013-07-26,1.16247031907,1691.650024,1663.46249385,1612.91969602,True,False,0.000828294039343,-0.0,0.000828294039343,1.51006551148
2013-07-29,1.15812728631,1685.329956,1666.9809936,1614.21079587,True,False,-0.00373603754343,0.0,-0.00373603754343,1.50442385004
2013-07-30,1.15856021399,1685.959961,1670.57499385,1615.54559568,True,False,0.000373817007024,-0.0,0.000373817007024,1.50498622926
2013-07-31,1.15840217534,1685.72998,1674.09099115,1616.85769528,True,False,-0.000136409526513,0.0,-0.000136409526513,1.5047809348
2013-08-01,1.17292919903,1706.869995,1678.6639892,1618.29409543,True,False,0.0125405701096,-0.0,0.0125405701096,1.52365174561
2013-08-02,1.17485334044,1709.670044,1682.55299065,1619.78379636,True,False,0.00164045827052,-0.0,0.00164045827052,1.52615123272
2013-08-05,1.17311475174,1707.140015,1685.88699335,1621.33419675,True,False,-0.00147983466686,0.0,-0.00147983466686,1.52389278122
2013-08-06,1.16640097636,1697.369995,1688.1394958,1622.82449704,True,False,-0.0057230337958,0.0,-0.0057230337958,1.51517149133
2013-08-07,1.16196181175,1690.910034,1690.05399775,1624.14649777,True,False,-0.003805864967,0.0,-0.003805864967,1.50940495323
2013-08-08,1.166476556,1697.47998,1691.17699575,1625.66329708,True,False,0.00388544976841,-0.0,0.00388544976841,1.51526967036
2013-08-09,1.1623122811,1691.420044,1691.7385009,1627.00859737,True,False,-0.00356996021832,0.0,-0.00356996021832,1.50986021792
2013-08-12,1.16097222734,1689.469971,1692.08699945,1628.38639767,True,False,-0.00115292059292,0.0,-0.00115292059292,1.50811946898
2013-08-13,1.16419515108,1694.160034,1692.98200065,1629.69029781,True,False,0.00277605585213,-0.0,0.00277605585213,1.51230609286
2013-08-14,1.15816855773,1685.390015,1693.2059997,1630.9156982,True,False,-0.00517661780705,0.0,-0.00517661780705,1.50447746221
2013-08-15,1.14162805563,1661.319946,1691.80349725,1631.83699825,True,False,-0.0142816017573,0.0,-0.0142816017573,1.48299111424
2013-08-16,1.13785543698,1655.829956,1689.99049675,1632.7033984,True,False,-0.00330459524863,0.0,-0.00330459524863,1.47809042885
2013-08-19,1.13114174613,1646.060059,1687.51699825,1633.54229855,True,False,-0.00590030212015,0.0,-0.00590030212015,1.46936924876
2013-08-20,1.13546405968,1652.349976,1685.5149963,1634.36329831,True,False,0.00382119532371,-0.0,0.00382119532371,1.47498399566
2013-08-21,1.12890152811,1642.800049,1683.3580017,1635.25439939,True,False,-0.00577960307363,0.0,-0.00577960307363,1.46645917362
2013-08-22,1.13863195532,1656.959961,1681.69349975,1636.2241992,True,False,0.00861937641688,-0.0,0.00861937641688,1.47909913724
2013-08-23,1.14312614804,1663.5,1680.28599855,1637.32639891,True,False,0.00394701088375,-0.0,0.00394701088375,1.48493715763
2013-08-26,1.13850830941,1656.780029,1678.8585022,1638.26349974,True,False,-0.00403965795011,0.0,-0.00403965795011,1.47893851944
2013-08-27,1.12043540667,1630.47998,1676.08450315,1638.88219969,False,False,-0.0158741948476,0.0,-0.0158741948476,1.45546156121
2013-08-28,1.12351396599,1634.959961,1673.5460022,1639.3544995,False,False,0.0,-0.0,0.0,1.45546156121
2013-08-29,1.1257198751,1638.170044,1670.11100465,1639.80249999,False,False,0.0,-0.0,0.0,1.45546156121
2013-08-30,1.122146482,1632.969971,1666.276001,1640.24369994,False,False,-0.0,0.0,-0.0,1.45546156121
2013-09-02,1.122146482,1632.969971,1662.5674988,1641.0497998,False,False,0.0,-0.0,0.0,1.45546156121
2013-09-03,1.12681934874,1639.77002,1659.68750005,1641.70180054,False,False,0.0,-0.0,0.0,1.45546156121
2013-09-04,1.13596568831,1653.079956,1657.79599615,1642.7125,True,False,0.0,-0.0,0.0,1.45546156121
2013-09-05,1.13734005098,1655.079956,1655.67599495,1643.84719971,True,False,0.00120986283376,-0.0,0.00120986283376,1.45722247006
2013-09-06,1.13740195777,1655.170044,1653.86349495,1644.84640015,True,False,5.44312071895e-05,-0.0,5.44312071895e-05,1.45730178844
2013-09-09,1.14876787999,1671.709961,1652.97549445,1645.93849976,True,False,0.00999288082814,-0.0,0.00999288082814,1.47186443154
2013-09-10,1.15720648669,1683.98999,1652.46699225,1646.99059937,True,False,0.00734578921373,-0.0,0.00734578921373,1.48267643741
2013-09-11,1.16073860905,1689.130005,1652.65399175,1648.09399903,True,False,0.00305228358275,-0.0,0.00305228358275,1.48720198636
2013-09-12,1.15681483044,1683.420044,1653.75899665,1649.07659913,True,False,-0.00338041535175,0.0,-0.00338041535175,1.48217462593
2013-09-13,1.15995521202,1687.98999,1655.36699835,1650.13409913,True,False,0.0027146795693,-0.0,0.0027146795693,1.48619825511
2013-09-16,1.16655901502,1697.599976,1657.9439942,1651.17399904,True,False,0.00569315342919,-0.0,0.00569315342919,1.4946594098
2013-09-17,1.17147925673,1704.76001,1660.5644959,1652.24589968,True,False,0.0042177392208,-0.0,0.0042177392208,1.50096349341
2013-09-18,1.18574514808,1725.52002,1664.70049445,1653.67410037,True,False,0.0121776730321,-0.0,0.0121776730321,1.51924173607
2013-09-19,1.18355987433,1722.339966,1667.9694947,1654.92160037,True,False,-0.00184295398671,0.0,-0.00184295398671,1.51644184346
2013-09-20,1.17501825709,1709.910034,1670.2899964,1655.87650027,True,False,-0.00721688647153,0.0,-0.00721688647153,1.50549785483
2013-09-23,1.169472657,1701.839966,1672.54299325,1656.71989993,True,False,-0.00471958631714,0.0,-0.00471958631714,1.49839252776
2013-09-24,1.1664353691,1697.420044,1675.88999645,1657.43450076,True,False,-0.00259714314407,0.0,-0.00259714314407,1.49450098787
2013-09-25,1.16323995941,1692.77002,1678.7804994,1658.03530155,True,False,-0.00273946570646,0.0,-0.00273946570646,1.49040685367
2013-09-26,1.16729434577,1698.670044,1681.8054994,1658.75530155,True,False,0.00348542562208,-0.0,0.00348542562208,1.49560155591
2013-09-27,1.16253902071,1691.75,1684.74450085,1659.33580204,True,False,-0.00407380116253,0.0,-0.00407380116253,1.48950877255
2013-09-30,1.15552980478,1681.550049,1687.17350475,1659.81360233,True,False,-0.00602923067829,0.0,-0.00602923067829,1.48052818056
2013-10-01,1.16477236004,1695.0,1689.93500375,1660.26020267,True,False,0.00799854337253,-0.0,0.00799854337253,1.49237024943
2013-10-02,1.1639958417,1693.869995,1691.9745057,1660.61110233,True,False,-0.000666669616519,0.0,-0.000666669616519,1.49137533153
2013-10-03,1.15354384042,1678.660034,1693.1535096,1660.89300296,True,False,-0.00897941462149,0.0,-0.00897941462149,1.47798365407
2013-10-04,1.16168004404,1690.5,1694.9200074,1661.12330325,True,False,0.00705322445295,-0.0,0.00705322445295,1.48840820452
2013-10-07,1.15179837303,1676.119995,1695.1405091,1661.22160281,True,False,-0.00850636202307,0.0,-0.00850636202307,1.47574726549
2013-10-08,1.13759430463,1655.449951,1693.71350715,1661.08450198,False,False,-0.0123320788856,0.0,-0.0123320788856,1.4575482338
2013-10-09,1.13824717707,1656.400024,1692.0770081,1661.09500246,False,False,0.0,-0.0,0.0,1.4575482338
