,indexed,inst_price,sa_20_100,la_20_100,20_100,sa_10_30,la_10_30,10_30,sa_25_30,la_25_30,25_30,sa_10_45,la_10_45,10_45,sa_25_45,la_25_45,25_45,sa_40_45,la_40_45,40_45,sa_10_60,la_10_60,10_60,sa_25_60,la_25_60,25_60,sa_40_60,la_40_60,40_60,sa_55_60,la_55_60,55_60,sa_10_75,la_10_75,10_75,sa_25_75,la_25_75,25_75,sa_40_75,la_40_75,40_75,sa_55_75,la_55_75,55_75,sa_70_75,la_70_75,70_75,sa_10_90,la_10_90,10_90,sa_25_90,la_25_90,25_90,sa_40_90,la_40_90,40_90,sa_55_90,la_55_90,55_90,sa_70_90,la_70_90,70_90,sa_85_90,la_85_90,85_90,sa_10_105,la_10_105,10_105,sa_25_105,la_25_105,25_105,sa_40_105,la_40_105,40_105,sa_55_105,la_55_105,55_105,sa_70_105,la_70_105,70_105,sa_85_105,la_85_105,85_105,sa_100_105,la_100_105,100_105
2012-04-18,1.16212752323,72.54,76.874,80.4016,0.766698866418,75.256,79.1243333333,0.394139234297,78.1352,79.1243333333,0.879255305794,75.256,81.2915555556,0.781459530611,78.1352,81.2915555556,0.745257171205,80.53025,81.2915555556,0.838667486119,75.256,81.9635,0.996295607667,78.1352,81.9635,0.564839430978,80.53025,81.9635,0.708735160676,82.144,81.9635,0.597896500227,75.256,81.5044,0.94350149842,78.1352,81.5044,0.579391141164,80.53025,81.5044,0.712870810027,82.144,81.5044,0.46801948734,81.577,81.5044,0.637140776557,75.256,80.5538888889,0.767257018709,78.1352,80.5538888889,0.653563787509,80.53025,80.5538888889,0.975488306812,82.144,80.5538888889,0.752117222196,81.577,80.5538888889,0.500300608673,80.97,80.5538888889,0.264172536733,75.256,80.169047619,0.902746063881,78.1352,80.169047619,0.574052774106,80.53025,80.169047619,0.910782937431,82.144,80.169047619,0.573865560428,81.577,80.169047619,0.37598875192,80.97,80.169047619,0.315226189906,80.4016,80.169047619,0.500080700618
2012-04-19,1.15812239667,72.29,76.577,80.3207,0.769341197775,74.659,78.747,0.395497585669,77.6708,78.747,0.882285548783,74.659,80.948,0.784152732743,77.6708,80.948,0.747825606452,80.15,80.948,0.841557848285,74.659,81.8465,0.999729215358,77.6708,81.8465,0.566786079141,80.15,81.8465,0.711177727401,81.9645454545,81.8465,0.595835925026,74.659,81.3909333333,0.946753157844,77.6708,81.3909333333,0.581387939968,80.15,81.3909333333,0.715327629747,81.9645454545,81.3909333333,0.466406516954,81.4848571429,81.3909333333,0.634944950886,74.659,80.5496666667,0.769901273668,77.6708,80.5496666667,0.655816213024,80.15,80.5496666667,0.978850204754,81.9645454545,80.5496666667,0.749525144645,81.4848571429,80.5496666667,0.498576385456,80.9243529412,80.5496666667,0.265082974205,74.659,80.1722857143,0.905857264818,77.6708,80.1722857143,0.576031174899,80.15,80.1722857143,0.907644038418,81.9645454545,80.1722857143,0.571887804843,81.4848571429,80.1722857143,0.374692953905,80.9243529412,80.1722857143,0.31413980243,80.3207,80.1722857143,0.501804165949
2012-04-20,1.14915091317,71.73,76.193,80.2332,0.775300958056,74.006,78.2963333333,0.398561337889,77.1528,78.2963333333,0.889120241096,74.006,80.5853333333,0.79022723171,77.1528,80.5853333333,0.753618694564,79.76075,80.5853333333,0.848077040359,74.006,81.72,1.00747369399,77.1528,81.72,0.571176730743,79.76075,81.72,0.716686919922,81.7352727273,81.72,0.591220236577,74.006,81.2770666667,0.954087253409,77.1528,81.2770666667,0.585891705999,79.76075,81.2770666667,0.720868969803,81.7352727273,81.2770666667,0.462793463288,81.3951428571,81.2770666667,0.630026301384,74.006,80.5362222222,0.77586537262,77.1528,80.5362222222,0.660896543351,79.76075,80.5362222222,0.986432942542,81.7352727273,80.5362222222,0.743718890931,81.3951428571,80.5362222222,0.49471412545,80.8662352941,80.5362222222,0.267136459688,74.006,80.1712380952,0.912874557227,77.1528,80.1712380952,0.580493444341,79.76075,80.1712380952,0.914675172206,81.7352727273,80.1712380952,0.567457632334,81.3951428571,80.1712380952,0.371790366352,80.8662352941,80.1712380952,0.311706294485,80.2332,80.1712380952,0.505691430203
2012-04-23,1.13745594361,71.0,75.77,80.1259,0.783191236871,73.523,77.8376666667,0.402617517684,76.6228,77.8376666667,0.898168864768,73.523,80.2064444444,0.798269416,76.6228,80.2064444444,0.761288311838,79.37275,80.2064444444,0.856707965209,73.523,81.5695,1.01772680701,76.6228,81.5695,0.576989626511,79.37275,81.5695,0.723980680573,81.5194545455,81.5695,0.585203356991,73.523,81.1468,0.963797049798,76.6228,81.1468,0.591854356848,79.37275,81.1468,0.728205291397,81.5194545455,81.1468,0.458083589759,81.295,81.1468,0.623614490427,73.523,80.5317777778,0.783761395511,76.6228,80.5317777778,0.667622522392,79.37275,80.5317777778,0.996471922718,81.5194545455,80.5317777778,0.736150024482,81.295,80.5317777778,0.489679393656,80.7995294118,80.5317777778,0.269855121552,73.523,80.1258095238,0.92216492983,76.6228,80.1258095238,0.586401156796,79.37275,80.1258095238,0.923983869762,81.5194545455,80.1258095238,0.561682586027,81.295,80.1258095238,0.36800663615,80.7995294118,80.1258095238,0.308534043056,80.1259,80.1258095238,0.510837878608
2012-04-24,1.15491829542,72.09,75.458,80.0314,0.771167596756,73.269,77.4526666667,0.396436488187,76.2252,77.4526666667,0.884380075154,73.269,79.9031111111,0.78601429398,76.2252,79.9031111111,0.749600927895,79.02775,79.9031111111,0.843555687997,73.269,81.4256666667,1.0021025504,76.2252,81.4256666667,0.568131616752,79.02775,81.4256666667,0.71286604759,81.2445454545,81.4256666667,0.576219249116,73.269,81.0296,0.949000728892,76.2252,81.0296,0.582768142074,79.02775,81.0296,0.717025801713,81.2445454545,81.0296,0.465116140645,81.1934285714,81.0296,0.63318829035,73.269,80.5038888889,0.771729002256,76.2252,80.5038888889,0.657373106204,79.02775,80.5038888889,0.981173973482,81.2445454545,80.5038888889,0.747451482604,81.1934285714,80.5038888889,0.497197006882,80.7390588235,80.5038888889,0.26571227532,73.269,80.0813333333,0.908007749921,76.2252,80.0813333333,0.577398660163,79.02775,80.0813333333,0.909798765283,81.2445454545,80.0813333333,0.570305600376,81.1934285714,80.0813333333,0.373656315493,80.7390588235,80.0813333333,0.31327069245,80.0314,80.0813333333,0.502995437936
2012-04-25,1.16581223967,72.77,75.2275,79.953,0.763893439927,73.109,77.1086666667,0.392697040108,75.8944,77.1086666667,0.87603802423,73.109,79.5797777778,0.778600093398,75.8944,79.5797777778,0.742530201984,78.744,79.5797777778,0.835598719376,73.109,81.2966666667,0.992650064138,75.8944,81.2966666667,0.562772627996,78.744,81.2966666667,0.70614182908,80.9890909091,81.2966666667,0.570783972526,73.109,80.9369333333,0.940049133725,75.8944,80.9369333333,0.577271092045,78.744,80.9369333333,0.710262345683,80.9890909091,80.9369333333,0.469503420096,81.0867142857,80.9369333333,0.639160936174,73.109,80.4703333333,0.764449549884,75.8944,80.4703333333,0.651172333389,78.744,80.4703333333,0.971918899242,80.9890909091,80.4703333333,0.754501933543,81.0867142857,80.4703333333,0.501886894033,80.7056470588,80.4703333333,0.263205903463,73.109,80.0003809524,0.899442827325,75.8944,80.0003809524,0.571952258597,78.744,80.0003809524,0.901216948659,80.9890909091,80.0003809524,0.575685095566,81.0867142857,80.0003809524,0.377180886093,80.7056470588,80.0003809524,0.316225666383,79.953,80.0003809524,0.498250856194
2012-04-26,1.18776033323,74.14,75.068,79.9214,0.749512046321,72.864,76.7833333333,0.385303953054,75.7308,76.7833333333,0.859545347396,72.864,79.2828888889,0.763941825871,75.7308,79.2828888889,0.728551002084,78.45225,79.2828888889,0.819867370667,72.864,81.163,0.973961997794,75.7308,81.163,0.552177623182,78.45225,81.163,0.69284769268,80.7469090909,81.163,0.560038142618,72.864,80.8756,0.922351355613,75.7308,80.8756,0.566403132774,78.45225,80.8756,0.696890634627,80.7469090909,80.8756,0.478342497814,81.006,80.8756,0.651194060848,72.864,80.4477777778,0.750057686707,75.7308,80.4477777778,0.638913076872,78.45225,80.4477777778,0.953621126919,80.7469090909,80.4477777778,0.768706518522,81.006,80.4477777778,0.511335637263,80.6815294118,80.4477777778,0.258250673454,72.864,79.940952381,0.882509521383,75.7308,79.940952381,0.561184434023,78.45225,79.940952381,0.884250242329,80.7469090909,79.940952381,0.586523196169,81.006,79.940952381,0.384281859213,80.6815294118,79.940952381,0.322179069749,79.9214,79.940952381,0.488870566611
2012-04-27,1.18215315604,73.79,74.8405,79.8568,0.753050341657,72.747,76.4203333333,0.387122895374,75.506,76.4203333333,0.863603087774,72.747,78.9826666667,0.767548241289,75.506,78.9826666667,0.731990344554,78.23325,78.9826666667,0.823737799312,72.747,80.9871666667,0.978559876122,75.506,80.9871666667,0.554784342471,78.23325,80.9871666667,0.696118487021,80.506,80.9871666667,0.562681969836,72.747,80.8193333333,0.926705590499,75.506,80.8193333333,0.569077007828,78.23325,80.8193333333,0.700180514882,80.506,80.8193333333,0.480600656355,80.9312857143,80.8193333333,0.648119904909,72.747,80.4157777778,0.753598557902,75.506,80.4157777778,0.64192925676,78.23325,80.4157777778,0.958122980094,80.506,80.4157777778,0.765077609951,80.9312857143,80.4157777778,0.508921724759,80.6516470588,80.4157777778,0.259469822843,72.747,79.8772380952,0.886675670998,75.506,79.8772380952,0.563833672651,78.23325,79.8772380952,0.888424609537,80.506,79.8772380952,0.583754338351,80.9312857143,79.8772380952,0.382467741993,80.6516470588,79.8772380952,0.320658127283,79.8568,79.8772380952,0.491178426043
2012-04-30,1.17286126242,73.21,74.5455,79.8108,0.758969425519,72.731,76.0523333333,0.390165736942,75.256,76.0523333333,0.870391132101,72.731,78.6868888889,0.773581280724,75.256,78.6868888889,0.737743893813,77.9845,78.6868888889,0.830212496746,72.731,80.8261666667,0.986251497319,75.256,80.8261666667,0.559145027098,77.9845,80.8261666667,0.701590078327,80.2490909091,80.8261666667,0.567104730949,72.731,80.7553333333,0.933989629562,75.256,80.7553333333,0.573550034858,77.9845,80.7553333333,0.70568403431,80.2490909091,80.7553333333,0.484378246552,80.8414285714,80.7553333333,0.643025589354,72.731,80.3773333333,0.759521950822,75.256,80.3773333333,0.646974912932,77.9845,80.3773333333,0.965653964353,80.2490909091,80.3773333333,0.759063990033,80.8414285714,80.3773333333,0.504921526895,80.6149411765,80.3773333333,0.261509292923,72.731,79.7960952381,0.893645069144,75.256,79.7960952381,0.568265486313,77.9845,79.7960952381,0.895407754591,80.2490909091,79.7960952381,0.579165945395,80.8414285714,79.7960952381,0.379461490599,80.6149411765,79.7960952381,0.31813770834,79.8108,79.7960952381,0.49503915903
2012-05-01,1.20249919897,75.06,74.338,79.7965,0.739790441265,72.862,75.82,0.38030633777,75.1252,75.82,0.848396546739,72.862,78.4462222222,0.754033058223,75.1252,78.4462222222,0.719101273904,77.81425,78.4462222222,0.809233216333,72.862,80.6236666667,0.961329146956,75.1252,80.6236666667,0.545015559811,77.81425,80.6236666667,0.683861057088,80.0310909091,80.6236666667,0.55277412376,72.862,80.7001333333,0.910387924676,75.1252,80.7001333333,0.55905655631,77.81425,80.7001333333,0.687851559737,80.0310909091,80.7001333333,0.472138118754,80.7852857143,80.7001333333,0.659274699316,72.862,80.3532222222,0.74032900438,75.1252,80.3532222222,0.630626004464,77.81425,80.3532222222,0.94125210895,80.0310909091,80.3532222222,0.739882616155,80.7852857143,80.3532222222,0.517680778702,80.5727058824,80.3532222222,0.254901012744,72.862,79.7343809524,0.871062862097,75.1252,79.7343809524,0.553905547102,77.81425,79.7343809524,0.872781004885,80.0310909091,79.7343809524,0.593801336721,80.7852857143,79.7343809524,0.389050395907,80.5727058824,79.7343809524,0.326176975659,79.7965,79.7343809524,0.482529632405
