,indexed,inst_price,sa_20_100,la_20_100,20_100,sa_10_30,la_10_30,10_30,sa_25_30,la_25_30,25_30,sa_10_45,la_10_45,10_45,sa_25_45,la_25_45,25_45,sa_40_45,la_40_45,40_45,sa_10_60,la_10_60,10_60,sa_25_60,la_25_60,25_60,sa_40_60,la_40_60,40_60,sa_55_60,la_55_60,55_60,sa_10_75,la_10_75,10_75,sa_25_75,la_25_75,25_75,sa_40_75,la_40_75,40_75,sa_55_75,la_55_75,55_75,sa_70_75,la_70_75,70_75,sa_10_90,la_10_90,10_90,sa_25_90,la_25_90,25_90,sa_40_90,la_40_90,40_90,sa_55_90,la_55_90,55_90,sa_70_90,la_70_90,70_90,sa_85_90,la_85_90,85_90,sa_10_105,la_10_105,10_105,sa_25_105,la_25_105,25_105,sa_40_105,la_40_105,40_105,sa_55_105,la_55_105,55_105,sa_70_105,la_70_105,70_105,sa_85_105,la_85_105,85_105,sa_100_105,la_100_105,100_105,sa_10_120,la_10_120,10_120,sa_25_120,la_25_120,25_120,sa_40_120,la_40_120,40_120,sa_55_120,la_55_120,55_120,sa_70_120,la_70_120,70_120,sa_85_120,la_85_120,85_120,sa_100_120,la_100_120,100_120,sa_115_120,la_115_120,115_120
2016-11-14,1.76422764228,43.4,40.637,36.4227,1.43685150437,41.286,39.836,0.629557015964,40.1916,39.836,0.914632050888,41.286,38.5266666667,0.57399813432,40.1916,38.5266666667,1.01490883082,38.815,38.5266666667,0.698586751667,41.286,38.1735,0.567165351999,40.1916,38.1735,0.865796883254,38.815,38.1735,1.16935908112,38.3316363636,38.1735,0.905680786919,41.286,37.5573333333,0.534427259488,40.1916,37.5573333333,1.18678855507,38.815,37.5573333333,0.833570145607,38.3316363636,37.5573333333,1.04728996175,37.8205714286,37.5573333333,1.17051175138,41.286,37.255,0.8204077941,40.1916,37.255,1.20162403715,38.815,37.255,0.927700954107,38.3316363636,37.255,1.41679216407,37.8205714286,37.255,1.1831999179,37.3651764706,37.255,1.07725212176,41.286,36.046,1.13124237892,40.1916,36.046,1.84773175132,38.815,36.046,1.07050582734,38.3316363636,36.046,1.03371736929,37.8205714286,36.046,0.893237225935,37.3651764706,36.046,1.00866085353,36.4227,36.046,0.942221357301,41.286,35.4556666667,0.838157358508,40.1916,35.4556666667,1.58572794596,38.815,35.4556666667,1.0310070436,38.3316363636,35.4556666667,0.889483915268,37.8205714286,35.4556666667,0.713737450189,37.3651764706,35.4556666667,0.609805119797,36.4227,35.4556666667,1.01606920671,35.6267826087,35.4556666667,1.66968755431
2016-11-15,1.81951219512,44.76,40.9075,36.6026,1.4818772658,41.782,40.0736666667,0.64928506992,40.454,40.0736666667,0.943293331745,41.782,38.6908888889,0.591985172631,40.454,38.6908888889,1.04671242552,39.05525,38.6908888889,0.720477949415,41.782,38.3128333333,0.584938275472,40.454,38.3128333333,0.892927845494,39.05525,38.3128333333,1.2060025915,38.4718181818,38.3128333333,0.934061567338,41.782,37.7073333333,0.551174288818,40.454,37.7073333333,1.22397824251,39.05525,37.7073333333,0.859691237727,38.4718181818,37.7073333333,1.0801082647,37.9658571429,37.7073333333,1.2071913823,41.782,37.3672222222,0.846116425436,40.454,37.3672222222,1.23927861528,39.05525,37.3672222222,0.956771767415,38.4718181818,37.3672222222,1.46118933787,37.9658571429,37.3672222222,1.22027715035,37.4681176471,37.3672222222,1.11100933111,41.782,36.1863809524,1.16669144886,40.454,36.1863809524,1.90563302279,39.05525,36.1863809524,1.10405163206,38.4718181818,36.1863809524,1.06611035598,37.9658571429,36.1863809524,0.921228069881,37.4681176471,36.1863809524,1.04026865908,36.6026,36.1863809524,0.971747187853,41.782,35.56275,0.864422197392,40.454,35.56275,1.63541895993,39.05525,35.56275,1.06331509842,38.4718181818,35.56275,0.917357143949,37.9658571429,35.56275,0.73610341637,37.4681176471,35.56275,0.628914220325,36.6026,35.56275,1.04790916341,35.7346086957,35.56275,1.72200956062
2016-11-16,1.80691056911,44.45,41.0985,36.7701,1.47161404077,42.256,40.293,0.644788234092,40.7368,40.293,0.936760245667,42.256,38.87,0.587885185957,40.7368,38.87,1.03946307673,39.29975,38.87,0.715488044046,42.256,38.4428333333,0.580887094386,40.7368,38.4428333333,0.886743582042,39.29975,38.4428333333,1.19765002664,38.62,38.4428333333,0.92759241886,42.256,37.8536,0.54735695125,40.7368,37.8536,1.2155011814,39.29975,37.8536,0.853737165258,38.62,37.8536,1.07262762212,38.1125714286,37.8536,1.19883058408,42.256,37.4783333333,0.840256369764,40.7368,37.4783333333,1.23069558644,39.29975,37.4783333333,0.950145332029,38.62,37.4783333333,1.45106939384,38.1125714286,37.4783333333,1.21182572236,37.5684705882,37.4783333333,1.10331467309,42.256,36.325047619,1.15861114615,40.7368,36.325047619,1.89243493885,39.29975,36.325047619,1.09640516187,38.62,36.325047619,1.05872666048,38.1125714286,36.325047619,0.914847803981,37.5684705882,36.325047619,1.0330639387,36.7701,36.325047619,0.9650170353,42.256,35.6669166667,0.858435359117,40.7368,35.6669166667,1.62409233175,39.29975,35.6669166667,1.05595076239,38.62,35.6669166667,0.911003687412,38.1125714286,35.6669166667,0.731005291726,37.5684705882,35.6669166667,0.62455846947,36.7701,35.6669166667,1.04065152622,35.8384347826,35.6669166667,1.71008322095
2016-11-17,1.86300813008,45.83,41.3605,36.9453,1.51730194575,42.901,40.5483333333,0.664806406489,41.0004,40.5483333333,0.965843015949,42.901,39.0793333333,0.606136739537,41.0004,39.0793333333,1.07173437135,39.56425,39.0793333333,0.737701171173,42.901,38.5946666667,0.598921384381,41.0004,38.5946666667,0.914273529021,39.56425,38.5946666667,1.23483241216,38.7943636364,38.5946666667,0.956390563698,42.901,38.0169333333,0.564350260423,41.0004,38.0169333333,1.25323777601,39.56425,38.0169333333,0.880242391086,38.7943636364,38.0169333333,1.10592854717,38.2678571429,38.0169333333,1.23604962133,42.901,37.5888888889,0.866343069207,41.0004,37.5888888889,1.26890390836,39.56425,37.5888888889,0.979643657297,38.7943636364,37.5888888889,1.49611946726,38.2678571429,37.5888888889,1.24944820823,37.6963529412,37.5888888889,1.13756831199,42.901,36.4726666667,1.19458152594,41.0004,36.4726666667,1.9511876996,39.56425,36.4726666667,1.13044428725,38.7943636364,36.4726666667,1.09159601462,38.2678571429,36.4726666667,0.943250277986,37.6963529412,36.4726666667,1.06513656491,36.9453,36.4726666667,0.994977069242,42.901,35.7849166667,0.885086445632,41.0004,35.7849166667,1.67451409593,39.56425,35.7849166667,1.08873393567,38.7943636364,35.7849166667,0.939286816514,38.2678571429,35.7849166667,0.753700169174,37.6963529412,35.7849166667,0.643948586182,36.9453,35.7849166667,1.07295971759,35.9465217391,35.7849166667,1.76317466853
2016-11-18,1.88048780488,46.26,41.6785,37.1146,1.53153803208,43.553,40.8326666667,0.67104395296,41.3048,40.8326666667,0.974905038573,43.553,39.3186666667,0.611823817826,41.3048,39.3186666667,1.08178991967,39.832,39.3186666667,0.744622652814,43.553,38.7618333333,0.604540764596,41.3048,38.7618333333,0.922851700906,39.832,38.7618333333,1.24641822795,38.9712727273,38.7618333333,0.965363898683,43.553,38.1745333333,0.569645277049,41.3048,38.1745333333,1.26499628012,39.832,38.1745333333,0.888501265801,38.9712727273,38.1745333333,1.11630492237,38.4298571429,38.1745333333,1.24764685758,43.553,37.7041111111,0.874471533527,41.3048,37.7041111111,1.28080939997,39.832,37.7041111111,0.988835164446,38.9712727273,37.7041111111,1.51015680898,38.4298571429,37.7041111111,1.26117115672,37.8128235294,37.7041111111,1.1482415473,43.553,36.6556190476,1.20578968776,41.3048,36.6556190476,1.96949471926,39.832,36.6556190476,1.1410506814,38.9712727273,36.6556190476,1.10183791482,38.4298571429,36.6556190476,0.952100324234,37.8128235294,36.6556190476,1.07513020932,37.1146,36.6556190476,1.00431244214,43.553,35.9136666667,0.893390769691,41.3048,35.9136666667,1.69022522535,39.832,35.9136666667,1.09894898241,38.9712727273,35.9136666667,0.948099675583,38.4298571429,35.9136666667,0.760771761422,37.8128235294,35.9136666667,0.649990434143,37.1146,35.9136666667,1.08302676272,36.0606086957,35.9136666667,1.77971765582
2016-11-21,1.87317073171,46.08,41.991,37.2821,1.52557874013,44.012,41.0723333333,0.668432886995,41.6048,41.0723333333,0.971111633753,44.012,39.5551111111,0.609443180403,41.6048,39.5551111111,1.07758062037,40.11075,39.5551111111,0.741725288406,44.012,38.927,0.602188465901,41.6048,38.927,0.919260838256,40.11075,38.927,1.24156835157,39.1449090909,38.927,0.961607618922,44.012,38.3309333333,0.567428758461,41.6048,38.3309333333,1.26007411561,40.11075,38.3309333333,0.885044062432,39.1449090909,38.3309333333,1.11196132345,38.5757142857,38.3309333333,1.24279220055,44.012,37.8157777778,0.871068920556,41.6048,37.8157777778,1.27582570581,40.11075,37.8157777778,0.984987556803,39.1449090909,37.8157777778,1.50428071245,38.5757142857,37.8157777778,1.25626387596,37.9337647059,37.8157777778,1.14377368135,44.012,36.8538095238,1.20109789909,41.6048,36.8538095238,1.96183131568,40.11075,36.8538095238,1.13661079548,39.1449090909,36.8538095238,1.09755060776,38.5757142857,36.8538095238,0.948395653711,37.9337647059,36.8538095238,1.07094682329,37.2821,36.8538095238,1.00040461162,44.012,36.0371666667,0.889914541015,41.6048,36.0371666667,1.6836484735,40.11075,36.0371666667,1.09467291633,39.1449090909,36.0371666667,0.944410571787,38.5757142857,36.0371666667,0.757811560016,37.9337647059,36.0371666667,0.647461288485,37.2821,36.0371666667,1.07881265081,36.1847826087,36.0371666667,1.77279268439
2016-11-22,1.87317073171,46.08,42.3105,37.4536,1.52557874013,44.45,41.335,0.668432886995,41.874,41.335,0.971111633753,44.45,39.798,0.609443180403,41.874,39.798,1.07758062037,40.36275,39.798,0.741725288406,44.45,39.0775,0.602188465901,41.874,39.0775,0.919260838256,40.36275,39.0775,1.24156835157,39.3107272727,39.0775,0.961607618922,44.45,38.4841333333,0.567428758461,41.874,38.4841333333,1.26007411561,40.36275,38.4841333333,0.885044062432,39.3107272727,38.4841333333,1.11196132345,38.709,38.4841333333,1.24279220055,44.45,37.9276666667,0.871068920556,41.874,37.9276666667,1.27582570581,40.36275,37.9276666667,0.984987556803,39.3107272727,37.9276666667,1.50428071245,38.709,37.9276666667,1.25626387596,38.0458823529,37.9276666667,1.14377368135,44.45,37.0377142857,1.20109789909,41.874,37.0377142857,1.96183131568,40.36275,37.0377142857,1.13661079548,39.3107272727,37.0377142857,1.09755060776,38.709,37.0377142857,0.948395653711,38.0458823529,37.0377142857,1.07094682329,37.4536,37.0377142857,1.00040461162,44.45,36.1515,0.889914541015,41.874,36.1515,1.6836484735,40.36275,36.1515,1.09467291633,39.3107272727,36.1515,0.944410571787,38.709,36.1515,0.757811560016,38.0458823529,36.1515,0.647461288485,37.4536,36.1515,1.07881265081,36.3214782609,36.1515,1.77279268439
2016-11-23,1.8837398374,46.34,42.6615,37.6335,1.53418660628,44.843,41.6336666667,0.672204426722,42.1024,41.6336666667,0.97659099627,44.843,40.0573333333,0.612881878903,42.1024,40.0573333333,1.08366071936,40.62525,40.0573333333,0.745910370329,44.843,39.2448333333,0.605586230683,42.1024,39.2448333333,0.924447639861,40.62525,39.2448333333,1.24857372856,39.4487272727,39.2448333333,0.967033356355,44.843,38.6462666667,0.570630396421,42.1024,38.6462666667,1.2671839088,40.62525,38.6462666667,0.890037800632,39.4487272727,38.6462666667,1.11823541078,38.8481428571,38.6462666667,1.24980448293,44.843,38.0434444444,0.875983805958,42.1024,38.0434444444,1.28302437515,40.62525,38.0434444444,0.990545212288,39.4487272727,38.0434444444,1.51276840744,38.8481428571,38.0434444444,1.2633521704,38.1651764706,38.0434444444,1.15022726549,44.843,37.2152380952,1.20787492717,42.1024,37.2152380952,1.97290067641,40.62525,37.2152380952,1.14302396403,39.4487272727,37.2152380952,1.10374338463,38.8481428571,37.2152380952,0.953746844466,38.1651764706,37.2152380952,1.07698949199,37.6335,37.2152380952,1.0060492557,44.843,36.26675,0.894935760213,42.1024,36.26675,1.69314822617,40.62525,36.26675,1.10084945623,39.4487272727,36.26675,0.94973927727,38.8481428571,36.26675,0.762087406492,38.1651764706,36.26675,0.65111449888,37.6335,36.26675,1.08489970135,36.4593043478,36.26675,1.78279542089
2016-11-24,1.8837398374,46.34,42.983,37.8029,1.53418660628,45.247,41.8703333333,0.672204426722,42.3324,41.8703333333,0.97659099627,45.247,40.3037777778,0.612881878903,42.3324,40.3037777778,1.08366071936,40.88825,40.3037777778,0.745910370329,45.247,39.4131666667,0.605586230683,42.3324,39.4131666667,0.924447639861,40.88825,39.4131666667,1.24857372856,39.5758181818,39.4131666667,0.967033356355,45.247,38.798,0.570630396421,42.3324,38.798,1.2671839088,40.88825,38.798,0.890037800632,39.5758181818,38.798,1.11823541078,38.9862857143,38.798,1.24980448293,45.247,38.1698888889,0.875983805958,42.3324,38.1698888889,1.28302437515,40.88825,38.1698888889,0.990545212288,39.5758181818,38.1698888889,1.51276840744,38.9862857143,38.1698888889,1.2633521704,38.2828235294,38.1698888889,1.15022726549,45.247,37.386952381,1.20787492717,42.3324,37.386952381,1.97290067641,40.88825,37.386952381,1.14302396403,39.5758181818,37.386952381,1.10374338463,38.9862857143,37.386952381,0.953746844466,38.2828235294,37.386952381,1.07698949199,37.8029,37.386952381,1.0060492557,45.247,36.3745833333,0.894935760213,42.3324,36.3745833333,1.69314822617,40.88825,36.3745833333,1.10084945623,39.5758181818,36.3745833333,0.94973927727,38.9862857143,36.3745833333,0.762087406492,38.2828235294,36.3745833333,0.65111449888,37.8029,36.3745833333,1.08489970135,36.6088695652,36.3745833333,1.78279542089
2016-11-25,1.90325203252,46.82,43.321,37.9707,1.55007805149,45.636,42.1426666667,0.679167269295,42.6092,42.1426666667,0.986706742455,45.636,40.5542222222,0.619230245366,42.6092,40.5542222222,1.09488551749,41.1435,40.5542222222,0.753636675416,45.636,39.5846666667,0.611859027203,42.6092,39.5846666667,0.934023273593,41.1435,39.5846666667,1.26150673222,39.7272727273,39.5846666667,0.977050102386,45.636,38.9566666667,0.576541112655,42.6092,38.9566666667,1.28030968083,41.1435,38.9566666667,0.899257009615,39.7272727273,38.9566666667,1.12981834123,39.1338571429,38.9566666667,1.26275023502,45.636,38.2861111111,0.885057440547,42.6092,38.2861111111,1.29631422626,41.1435,38.2861111111,1.00080549934,39.7272727273,38.2861111111,1.5284379982,39.1338571429,38.2861111111,1.27643825244,38.416,38.2861111111,1.16214157467,45.636,37.5535238095,1.22038636362,42.6092,37.5535238095,1.99333641928,41.1435,37.5535238095,1.15486365981,39.7272727273,37.5535238095,1.11517620346,39.1338571429,37.5535238095,0.963625965859,38.416,37.5535238095,1.08814518807,37.9707,37.5535238095,1.01647013707,45.636,36.4885833333,0.904205703349,42.6092,36.4885833333,1.7106862311,41.1435,36.4885833333,1.1122522991,39.7272727273,36.4885833333,0.959576887393,39.1338571429,36.4885833333,0.769981276909,38.416,36.4885833333,0.657858887302,37.9707,36.4885833333,1.09613733313,36.7608695652,36.4885833333,1.80126201136
2016-11-28,1.89024390244,46.5,43.616,38.1241,1.53948375469,45.946,42.4066666667,0.674525374247,42.876,42.4066666667,0.979962911665,45.946,40.8113333333,0.614998001058,42.876,40.8113333333,1.08740231874,41.3635,40.8113333333,0.748485805358,45.946,39.7508333333,0.607677162856,42.876,39.7508333333,0.927639517772,41.3635,39.7508333333,1.25288472978,39.8756363636,39.7508333333,0.970372271699,45.946,39.0984,0.572600635166,42.876,39.0984,1.27155916614,41.3635,39.0984,0.893110870293,39.8756363636,39.0984,1.12209638759,39.2838571429,39.0984,1.25411973362,45.946,38.405,0.879008350821,42.876,38.405,1.28745432552,41.3635,38.405,0.993965307971,39.8756363636,38.405,1.51799160436,39.2838571429,38.405,1.26771419775,38.5442352941,38.405,1.15419870189,45.946,37.717047619,1.21204540598,42.876,37.717047619,1.9797125907,41.3635,37.717047619,1.14697052929,39.8756363636,37.717047619,1.10755432424,39.2838571429,37.717047619,0.95703988493,38.5442352941,37.717047619,1.08070805735,38.1241,37.717047619,1.00952288282,45.946,36.6110833333,0.898025741258,42.876,36.6110833333,1.69899422781,41.3635,36.6110833333,1.10465040385,39.8756363636,36.6110833333,0.953018480644,39.2838571429,36.6110833333,0.764718696631,38.5442352941,36.6110833333,0.653362628354,38.1241,36.6110833333,1.08864557861,36.9068695652,36.6110833333,1.78895095105
2016-11-29,1.90609756098,46.89,43.9705,38.2464,1.55239555392,46.159,42.658,0.680182683837,43.164,42.658,0.98818195544,46.159,41.0533333333,0.620156048808,43.164,41.0533333333,1.09652246722,41.595,41.0533333333,0.754763428241,46.159,39.9163333333,0.612773810028,43.164,39.9163333333,0.935419720179,41.595,39.9163333333,1.26339279525,40.0487272727,39.9163333333,0.978510877848,46.159,39.2336,0.577403092106,43.164,39.2336,1.28222385592,41.595,39.2336,0.900601477592,40.0487272727,39.2336,1.13150751859,39.4337142857,39.2336,1.2646381572,46.159,38.5198888889,0.886380678925,43.164,38.5198888889,1.29825232954,41.595,38.5198888889,1.0023017912,40.0487272727,38.5198888889,1.53072314685,39.4337142857,38.5198888889,1.2783466394,38.7016470588,38.5198888889,1.1638790781,46.159,37.8880952381,1.2222109481,43.164,37.8880952381,1.99631663178,41.595,37.8880952381,1.15659028212,40.0487272727,37.8880952381,1.11684348954,39.4337142857,37.8880952381,0.965066671062,38.7016470588,37.8880952381,1.08977206041,38.2464,37.8880952381,1.01798984894,46.159,36.7488333333,0.905557570056,43.164,36.7488333333,1.71324385682,41.595,36.7488333333,1.11391521369,40.0487272727,36.7488333333,0.961011538869,39.4337142857,36.7488333333,0.771132466345,38.7016470588,36.7488333333,0.658842443947,38.2464,36.7488333333,1.09777615443,37.0535652174,36.7488333333,1.8039550558
2016-11-30,1.88780487805,46.44,44.307,38.3663,1.53749732403,46.358,42.8516666667,0.673655018925,43.4488,42.8516666667,0.978698443392,46.358,41.2888888889,0.61420445525,43.4488,41.2888888889,1.08599921897,41.80925,41.2888888889,0.747520017222,46.358,40.0445,0.606893063291,43.4488,40.0445,0.926442563555,41.80925,40.0445,1.25126810432,40.2314545455,40.0445,0.969120178445,46.358,39.3648,0.571861795637,43.4488,39.3648,1.26991844464,41.80925,39.3648,0.89195846917,40.2314545455,39.3648,1.12064852129,39.5735714286,39.3648,1.25250151461,46.358,38.6336666667,0.877874146498,43.4488,38.6336666667,1.28579309413,41.80925,38.6336666667,0.99268277209,40.2314545455,38.6336666667,1.51603290551,39.5735714286,38.6336666667,1.26607843749,38.8541176471,38.6336666667,1.15270941324,46.358,38.0603809524,1.21048147643,43.4488,38.0603809524,1.97715812284,41.80925,38.0603809524,1.14549056732,40.2314545455,38.0603809524,1.10612522189,39.5735714286,38.0603809524,0.955804994756,38.8541176471,38.0603809524,1.07931359534,38.3663,38.0603809524,1.00822027265,46.358,36.88175,0.896866998366,43.4488,36.88175,1.6968019772,41.80925,36.88175,1.10322504849,40.2314545455,36.88175,0.951788779379,39.5735714286,36.88175,0.763731962829,38.8541176471,36.88175,0.652519579801,38.3663,36.88175,1.08724087464,37.1974782609,36.88175,1.78664262724
2016-12-01,1.85975609756,45.75,44.6255,38.465,1.51465337155,46.35,43.0236666667,0.663645932727,43.6824,43.0236666667,0.964157058251,46.35,41.5095555556,0.60507867846,43.6824,41.5095555556,1.06986357166,41.99875,41.5095555556,0.736413453658,46.35,40.1511666667,0.597875918294,43.6824,40.1511666667,0.912677590066,41.99875,40.1511666667,1.23267691155,40.4012727273,40.1511666667,0.954721106026,46.35,39.4858666667,0.56336514105,43.6824,39.4858666667,1.25105014733,41.99875,39.4858666667,0.878705856256,40.4012727273,39.4858666667,1.10399805876,39.7025714286,39.4858666667,1.23389199598,46.35,38.7382222222,0.864830796776,43.6824,38.7382222222,1.26668893317,41.99875,38.7382222222,0.977933609456,40.4012727273,38.7382222222,1.4935078688,39.7025714286,38.7382222222,1.24726719456,38.9972941176,38.7382222222,1.13558259379,46.35,38.2160952381,1.19249628653,43.6824,38.2160952381,1.94778174246,41.99875,38.2160952381,1.12847100462,40.4012727273,38.2160952381,1.08969054482,39.7025714286,38.2160952381,0.941603757754,38.9972941176,38.2160952381,1.06327728223,38.465,38.2160952381,0.99324025568,46.35,37.0201666667,0.883541455109,43.6824,37.0201666667,1.67159109511,41.99875,37.0201666667,1.08683346185,40.4012727273,37.0201666667,0.937647214827,39.7025714286,37.0201666667,0.752384524105,38.9972941176,37.0201666667,0.642824521445,38.465,37.0201666667,1.07108677896,37.3315652174,37.0201666667,1.76009690345
2016-12-02,1.87398373984,46.1,44.9435,38.5671,1.52624088368,46.334,43.2303333333,0.668723005436,43.924,43.2303333333,0.971533123178,46.334,41.7204444444,0.609707695672,43.924,41.7204444444,1.0780483203,42.208,41.7204444444,0.742047217785,46.334,40.278,0.602449832423,43.924,40.278,0.919659822995,42.208,40.278,1.24210722672,40.5941818182,40.278,0.96202498334,46.334,39.614,0.567675038304,43.924,39.614,1.26062102278,42.208,39.614,0.88542819614,40.5941818182,39.614,1.11244394555,39.8435714286,39.614,1.24333160688,46.334,38.856,0.871446988664,43.924,38.856,1.2763794496,42.208,38.856,0.985415068763,40.5941818182,38.856,1.50493361206,39.8435714286,38.856,1.25680912938,39.1344705882,38.856,1.1442701109,46.334,38.369047619,1.20161920894,43.924,38.369047619,1.96268280497,42.208,38.369047619,1.13710411613,40.5941818182,38.369047619,1.09802697521,39.8435714286,38.369047619,0.948807283769,39.1344705882,38.369047619,1.07141164396,38.5671,38.369047619,1.00083881501,46.334,37.1598333333,0.890300788645,43.924,37.1598333333,1.6843792237,42.208,37.1598333333,1.09514803479,40.5941818182,37.1598333333,0.944820472209,39.8435714286,37.1598333333,0.758140471284,39.1344705882,37.1598333333,0.647742304669,38.5671,37.1598333333,1.07928088546,37.4972173913,37.1598333333,1.77356212566
2016-12-05,1.85853658537,45.72,45.155,38.664,1.51366015622,46.298,43.4266666667,0.663210755066,44.1288,43.4266666667,0.963524824115,46.298,41.8986666667,0.604681905556,44.1288,41.8986666667,1.06916202178,42.37875,41.8986666667,0.73593055959,46.298,40.401,0.597483868511,44.1288,40.401,0.912079112958,42.37875,40.401,1.23186859883,40.7810909091,40.401,0.954095059399,46.298,39.7436,0.562995721286,44.1288,39.7436,1.25022978658,42.37875,39.7436,0.878129655694,40.7810909091,39.7436,1.10327412561,39.98,39.7436,1.23308288648,46.298,38.9684444444,0.864263694614,44.1288,38.9684444444,1.26585831748,42.37875,38.9684444444,0.977292341515,40.7810909091,38.9684444444,1.49252851938,39.98,38.9684444444,1.24644931443,39.2682352941,38.9684444444,1.13483794947,46.298,38.5077142857,1.19171432175,44.1288,38.5077142857,1.94650450853,42.37875,38.5077142857,1.12773102364,40.7810909091,38.5077142857,1.08897599364,39.98,38.5077142857,0.940986312667,39.2682352941,38.5077142857,1.06258005123,38.664,38.5077142857,0.992588950595,46.298,37.29325,0.882962083663,44.1288,37.29325,1.6704949698,42.37875,37.29325,1.08612078418,40.7810909091,37.29325,0.937032364195,39.98,37.29325,0.751891157204,39.2682352941,37.29325,0.642402997169,38.664,37.29325,1.07038442697,37.6750434783,37.29325,1.75894274155
2016-12-06,1.88739837398,46.43,45.3915,38.7682,1.53716625226,46.333,43.6513333333,0.673509959705,44.394,43.6513333333,0.97848769868,46.333,42.0942222222,0.614072197615,44.394,42.0942222222,1.08576536901,42.5845,42.0942222222,0.747359052532,46.333,40.552,0.60676238003,44.394,40.552,0.926243071186,42.5845,40.552,1.25099866674,40.9861818182,40.552,0.968911496236,46.333,39.8773333333,0.571738655715,44.394,39.8773333333,1.26964499105,42.5845,39.8773333333,0.891766402316,40.9861818182,39.8773333333,1.12040721024,40.114,39.8773333333,1.25223181144,46.333,39.112,0.877685112444,44.394,39.112,1.28551622223,42.5845,39.112,0.99246901611,40.9861818182,39.112,1.51570645571,40.114,39.112,1.26580581078,39.4075294118,39.112,1.15246119846,46.333,38.6198095238,1.2102208215,44.394,38.6198095238,1.97673237819,42.5845,38.6198095238,1.14524390699,40.9861818182,38.6198095238,1.10588703816,40.114,38.6198095238,0.955599179727,39.4075294118,38.6198095238,1.07908118501,38.7682,38.6198095238,1.00800317096,46.333,37.43,0.896673874551,44.394,37.43,1.69643660209,42.5845,37.43,1.10298748927,40.9861818182,37.43,0.951583829168,40.114,37.43,0.763567507195,39.4075294118,37.43,0.652379071709,38.7682,37.43,1.08700675731,37.846,37.43,1.78625790661
2016-12-07,1.97764227642,48.65,45.7035,38.8955,1.61066418635,46.564,43.9623333333,0.705713106604,44.7516,43.9623333333,1.02527302479,46.564,42.3337777778,0.643433392504,44.7516,42.3337777778,1.13768006036,42.86625,42.3337777778,0.783093213562,46.564,40.7563333333,0.635774063934,44.7516,40.7563333333,0.970530377196,42.86625,40.7563333333,1.31081380868,41.2403636364,40.7563333333,1.01523894663,46.564,40.0373333333,0.599075718297,44.7516,40.0373333333,1.33035168673,42.86625,40.0373333333,0.934405243865,41.2403636364,40.0373333333,1.17397826358,40.2904285714,40.0373333333,1.31210591486,46.564,39.2805555556,0.919650672418,44.7516,39.2805555556,1.34698178358,42.86625,39.2805555556,1.03992284372,41.2403636364,39.2805555556,1.58817831295,40.2904285714,39.2805555556,1.32632894022,39.5777647059,39.2805555556,1.20756487843,46.564,38.755047619,1.26808621508,44.7516,38.755047619,2.07124768898,42.86625,38.755047619,1.2000025,41.2403636364,38.755047619,1.15876382525,40.2904285714,38.755047619,1.00129011617,39.5777647059,38.755047619,1.13067627936,38.8955,38.755047619,1.0561997473,46.564,37.5863333333,0.939547361553,44.7516,37.5863333333,1.77754987491,42.86625,37.5863333333,1.15572563758,41.2403636364,37.5863333333,0.997082775986,40.2904285714,37.5863333333,0.800076657873,39.5777647059,37.5863333333,0.68357186816,38.8955,37.5863333333,1.13898080429,38.028173913,37.5863333333,1.87166588749
2016-12-08,1.95325203252,48.05,45.991,39.0264,1.59079987984,46.735,44.2336666667,0.697009553388,45.0984,44.2336666667,1.01262834205,46.735,42.5533333333,0.635497934426,45.0984,42.5533333333,1.12364906269,43.0865,42.5533333333,0.773435332203,46.735,40.9503333333,0.627933068285,45.0984,40.9503333333,0.958560835031,43.0865,40.9503333333,1.2946475541,41.4730909091,40.9503333333,1.00271801409,46.735,40.1884,0.591687323005,45.0984,40.1884,1.31394447168,43.0865,40.1884,0.922881232636,41.4730909091,40.1884,1.15949960051,40.4591428571,40.1884,1.29592372474,46.735,39.4413333333,0.908308629182,45.0984,39.4413333333,1.3303694697,43.0865,39.4413333333,1.0270974849,41.4730909091,39.4413333333,1.5685913245,40.4591428571,39.4413333333,1.30997133767,39.7317647059,39.4413333333,1.19267199195,46.735,38.870952381,1.25244691952,45.0984,38.870952381,2.04570301039,43.0865,38.870952381,1.18520288027,41.4730909091,38.870952381,1.14447280171,40.4591428571,38.870952381,0.988941214428,39.7317647059,38.870952381,1.11673165926,39.0264,38.870952381,1.04317364558,46.735,37.734,0.927959932634,45.0984,37.734,1.75562736874,43.0865,37.734,1.14147208398,41.4730909091,37.734,0.984785763332,40.4591428571,37.734,0.790209319852,39.7317647059,37.734,0.675141382632,39.0264,37.734,1.12493376457,38.199826087,37.734,1.84858264942
