,indexed,inst_price,sa_20_100,la_20_100,20_100,sa_10_30,la_10_30,10_30,sa_25_30,la_25_30,25_30,sa_10_45,la_10_45,10_45,sa_25_45,la_25_45,25_45,sa_40_45,la_40_45,40_45,sa_10_60,la_10_60,10_60,sa_25_60,la_25_60,25_60,sa_40_60,la_40_60,40_60,sa_55_60,la_55_60,55_60,sa_10_75,la_10_75,10_75,sa_25_75,la_25_75,25_75,sa_40_75,la_40_75,40_75,sa_55_75,la_55_75,55_75,sa_70_75,la_70_75,70_75,sa_10_90,la_10_90,10_90,sa_25_90,la_25_90,25_90,sa_40_90,la_40_90,40_90,sa_55_90,la_55_90,55_90,sa_70_90,la_70_90,70_90,sa_85_90,la_85_90,85_90,sa_10_105,la_10_105,10_105,sa_25_105,la_25_105,25_105,sa_40_105,la_40_105,40_105,sa_55_105,la_55_105,55_105,sa_70_105,la_70_105,70_105,sa_85_105,la_85_105,85_105,sa_100_105,la_100_105,100_105,sa_10_120,la_10_120,10_120,sa_25_120,la_25_120,25_120,sa_40_120,la_40_120,40_120,sa_55_120,la_55_120,55_120,sa_70_120,la_70_120,70_120,sa_85_120,la_85_120,85_120,sa_100_120,la_100_120,100_120,sa_115_120,la_115_120,115_120
2015-05-18,1.87457142857,65.61,64.9935,61.4645,0.72086963052,65.062,63.7596666667,0.722474879942,64.4816,63.7596666667,0.520487676543,65.062,62.0613333333,0.74986559163,64.4816,62.0613333333,0.756241734455,62.27675,62.0613333333,1.02783584988,65.062,61.1873333333,0.683029275079,64.4816,61.1873333333,0.807813881215,62.27675,61.1873333333,1.15297037257,61.2412727273,61.1873333333,0.955090622707,65.062,60.6097333333,0.583254969794,64.4816,60.6097333333,0.623185385874,62.27675,60.6097333333,1.26691768481,61.2412727273,60.6097333333,1.1149506948,60.8114285714,60.6097333333,1.08784765717,65.062,60.9811111111,0.508046043351,64.4816,60.9811111111,0.691087513086,62.27675,60.9811111111,1.11455191671,61.2412727273,60.9811111111,0.955471602257,60.8114285714,60.9811111111,0.831592067755,60.8145882353,60.9811111111,1.00110031148,65.062,61.688952381,0.629384929474,64.4816,61.688952381,0.736561506721,62.27675,61.688952381,1.23901131596,61.2412727273,61.688952381,0.934931389491,60.8114285714,61.688952381,0.865404517683,60.8145882353,61.688952381,0.856182891996,61.4645,61.688952381,1.16894663521,65.062,62.4405833333,0.643656544643,64.4816,62.4405833333,0.897258411477,62.27675,62.4405833333,1.26575167409,61.2412727273,62.4405833333,1.07239535215,60.8114285714,62.4405833333,0.915011119139,60.8145882353,62.4405833333,1.1786324822,61.4645,62.4405833333,1.20300331897,62.1426086957,62.4405833333,1.3406211657
2015-05-19,1.878,65.73,65.0995,61.4588,0.722188093493,65.249,64.0033333333,0.723796278899,64.642,64.0033333333,0.521439643029,65.249,62.1946666667,0.751237087911,64.642,62.1946666667,0.757624892634,62.42925,62.1946666667,1.02971575084,65.249,61.2683333333,0.68427852844,64.642,61.2683333333,0.809291364309,62.42925,61.2683333333,1.15507914326,61.3523636364,61.2683333333,0.956837473411,65.249,60.6641333333,0.584321737,64.642,60.6641333333,0.624325185391,62.42925,60.6641333333,1.26923486393,61.3523636364,60.6641333333,1.11698992789,60.9377142857,60.6641333333,1.08983731909,65.249,61.0071111111,0.508975254221,64.642,61.0071111111,0.69235150488,62.42925,61.0071111111,1.11659042044,61.3523636364,61.0071111111,0.957219149769,60.9377142857,61.0071111111,0.830071094608,60.8414117647,61.0071111111,0.999269309535,65.249,61.7020952381,0.630536067891,64.642,61.7020952381,0.73790866997,62.42925,61.7020952381,1.24127745463,61.3523636364,61.7020952381,0.933221409812,60.9377142857,61.7020952381,0.863821701921,60.8414117647,61.7020952381,0.854616942491,61.4588,61.7020952381,1.16680864411,65.249,62.4110833333,0.644833785694,64.642,62.4110833333,0.898899487675,62.42925,62.4110833333,1.26343662759,61.3523636364,62.4110833333,1.07043395233,60.9377142857,62.4110833333,0.913337573425,60.8414117647,62.4110833333,1.17647677578,61.4588,62.4110833333,1.20080303855,62.1129565217,62.4110833333,1.33816918369
2015-05-20,1.88257142857,65.89,65.168,61.4633,0.723946044124,65.444,64.2393333333,0.725558144176,64.7964,64.2393333333,0.522708931678,65.444,62.328,0.753065749619,64.7964,62.328,0.75946910354,62.621,62.328,1.03222228546,65.444,61.3561666667,0.685944199588,64.7964,61.3561666667,0.811261341766,62.621,61.3561666667,1.15789083751,61.4545454545,61.3561666667,0.959166607684,65.444,60.7838666667,0.585744093274,64.7964,60.7838666667,0.62584491808,62.621,60.7838666667,1.27232443609,61.4545454545,60.7838666667,1.11970890535,61.0691428571,60.7838666667,1.09249020166,65.444,61.0314444444,0.510214202048,64.7964,61.0314444444,0.694036827271,62.621,61.0314444444,1.11930842542,61.4545454545,61.0314444444,0.959549213119,61.0691428571,61.0314444444,0.82805053512,60.8789411765,61.0314444444,0.996836887665,65.444,61.699047619,0.632070919113,64.7964,61.699047619,0.739704887637,62.621,61.699047619,1.24429897285,61.4545454545,61.699047619,0.930949761774,61.0691428571,61.699047619,0.861718986688,60.8789411765,61.699047619,0.852536633488,61.4633,61.699047619,1.1639683979,65.444,62.3893333333,0.646403440429,64.7964,62.3893333333,0.901087589273,62.621,62.3893333333,1.26651208568,61.4545454545,62.3893333333,1.06782830145,61.0691428571,62.3893333333,0.911114326631,60.8789411765,62.3893333333,1.17361299541,61.4633,62.3893333333,1.19788004317,62.0982608696,62.3893333333,1.33491181157
2015-05-21,1.87571428571,65.65,65.238,61.4654,0.721309118178,65.539,64.417,0.722915346261,64.9188,64.417,0.520804998705,65.539,62.4271111111,0.750322757057,64.9188,62.4271111111,0.756702787181,62.8305,62.4271111111,1.02846248354,65.539,61.4416666667,0.683445692866,64.9188,61.4416666667,0.80830637558,62.8305,61.4416666667,1.15367329614,61.6143636364,61.4416666667,0.955672906275,65.539,60.886,0.583610558863,64.9188,60.886,0.623565319046,62.8305,60.886,1.26769007785,61.6143636364,60.886,1.11563043916,61.192,60.886,1.08851087781,65.539,61.0621111111,0.508355780307,64.9188,61.0621111111,0.691508843684,62.8305,61.0621111111,1.11523141795,61.6143636364,61.0621111111,0.956054118094,61.192,61.0621111111,0.825034415399,60.9103529412,61.0621111111,1.0004678006,65.539,61.6937142857,0.62976864228,64.9188,61.6937142857,0.737010561137,62.8305,61.6937142857,1.23976669552,61.6143636364,61.6937142857,0.934340685174,61.192,61.6937142857,0.864857741534,60.9103529412,61.6937142857,0.855641942215,61.4654,61.6937142857,1.16820807639,65.539,62.3566666667,0.644048958327,64.9188,62.3566666667,0.897805436876,62.8305,62.3566666667,1.26189889855,61.6143636364,62.3566666667,1.07171779595,61.192,62.3566666667,0.914433000761,60.9103529412,62.3566666667,1.17788780371,61.4654,62.3566666667,1.2022432426,62.0862608696,62.3566666667,1.33977414022
2015-05-22,1.87085714286,65.48,65.2085,61.4613,0.719441295633,65.563,64.533,0.721043364405,65.0464,64.533,0.519456379516,65.563,62.54,0.748379803992,65.0464,62.54,0.754743313094,63.02625,62.54,1.02579929051,65.563,61.5246666667,0.681675917272,65.0464,61.5246666667,0.806213274531,63.02625,61.5246666667,1.150685871,61.7932727273,61.5246666667,0.95319820111,65.563,61.0004,0.582099305321,65.0464,61.0004,0.621950603064,63.02625,61.0004,1.26440740743,61.7932727273,61.0004,1.11274152561,61.2981428571,61.0004,1.08569219008,65.563,61.0725555556,0.507039398241,65.0464,61.0725555556,0.689718188643,63.02625,61.0725555556,1.11234353766,61.7932727273,61.0725555556,0.953578425785,61.2981428571,61.0725555556,0.822897997263,60.9462352941,61.0725555556,1.00305850168,65.563,61.6794285714,0.628137862856,65.0464,61.6794285714,0.735102079867,63.02625,61.6794285714,1.23655633241,61.7932727273,61.6794285714,0.936760150771,61.2981428571,61.6794285714,0.867097281763,60.9462352941,61.6794285714,0.857857618227,61.4613,61.6794285714,1.17123313919,65.563,62.3214166667,0.642381200171,65.0464,62.3214166667,0.895480578928,63.02625,62.3214166667,1.25863122432,61.7932727273,62.3214166667,1.07449299816,61.2981428571,62.3214166667,0.916800915614,60.9462352941,62.3214166667,1.18093793206,61.4613,62.3214166667,1.20535643912,62.0880869565,62.3214166667,1.34324347158
2015-05-25,1.87085714286,65.48,65.2315,61.4696,0.719441295633,65.591,64.6756666667,0.721043364405,65.124,64.6756666667,0.519456379516,65.591,62.6511111111,0.748379803992,65.124,62.6511111111,0.754743313094,63.20725,62.6511111111,1.02579929051,65.591,61.6083333333,0.681675917272,65.124,61.6083333333,0.806213274531,63.20725,61.6083333333,1.150685871,61.974,61.6083333333,0.95319820111,65.591,61.1337333333,0.582099305321,65.124,61.1337333333,0.621950603064,63.20725,61.1337333333,1.26440740743,61.974,61.1337333333,1.11274152561,61.4042857143,61.1337333333,1.08569219008,65.591,61.083,0.507039398241,65.124,61.083,0.689718188643,63.20725,61.083,1.11234353766,61.974,61.083,0.953578425785,61.4042857143,61.083,0.822897997263,60.9774117647,61.083,1.00305850168,65.591,61.6636190476,0.628137862856,65.124,61.6636190476,0.735102079867,63.20725,61.6636190476,1.23655633241,61.974,61.6636190476,0.936760150771,61.4042857143,61.6636190476,0.867097281763,60.9774117647,61.6636190476,0.857857618227,61.4696,61.6636190476,1.17123313919,65.591,62.2885833333,0.642381200171,65.124,62.2885833333,0.895480578928,63.20725,62.2885833333,1.25863122432,61.974,62.2885833333,1.07449299816,61.4042857143,62.2885833333,0.916800915614,60.9774117647,62.2885833333,1.18093793206,61.4696,62.2885833333,1.20535643912,62.0868695652,62.2885833333,1.34324347158
2015-05-26,1.88857142857,66.1,65.212,61.4873,0.726253354327,65.72,64.8216666667,0.727870592351,65.2236,64.8216666667,0.52437487303,65.72,62.7948888889,0.755465868111,65.2236,62.7948888889,0.761889630353,63.39625,62.7948888889,1.03551211214,65.72,61.7163333333,0.68813039297,65.2236,61.7163333333,0.813846937179,63.39625,61.7163333333,1.16158118621,62.1605454545,61.7163333333,0.962223596417,65.72,61.2565333333,0.587610935885,65.2236,61.2565333333,0.627839567234,63.39625,61.2565333333,1.27637949955,62.1605454545,61.2565333333,1.12327756327,61.5097142857,61.2565333333,1.09597211002,65.72,61.1124444444,0.511840321071,65.2236,61.1124444444,0.69624881291,63.39625,61.1124444444,1.12287580695,62.1605454545,61.1124444444,0.962607421265,61.5097142857,61.1124444444,0.830689639876,61.0127058824,61.1124444444,0.993561002122,65.72,61.6617142857,0.634085411343,65.2236,61.6617142857,0.742062423323,63.39625,61.6617142857,1.24826471552,62.1605454545,61.6617142857,0.945629901741,61.5097142857,61.6617142857,0.858887136456,61.0127058824,61.6617142857,0.849734959044,61.4873,61.6617142857,1.16014327135,65.72,62.26325,0.648463612268,65.2236,62.26325,0.90395947262,63.39625,62.26325,1.27054862443,62.1605454545,62.26325,1.06431911821,61.5097142857,62.26325,0.908120149461,61.0127058824,62.26325,1.169756174,61.4873,62.26325,1.19394347345,62.0942608696,62.26325,1.33052491703
2015-05-27,1.92514285714,67.38,65.2995,61.4918,0.740316959373,65.928,65.0,0.741965514563,65.338,65.0,0.53452918222,65.928,62.9984444444,0.770095161774,65.338,62.9984444444,0.776643317597,63.65325,62.9984444444,1.05556438904,65.928,61.8348333333,0.701455762153,65.338,61.8348333333,0.82960675684,63.65325,61.8348333333,1.18407474019,62.3561818182,61.8348333333,0.980856670599,65.928,61.3990666667,0.59898978608,65.338,61.3990666667,0.639997428748,63.65325,61.3990666667,1.30109607685,62.3561818182,61.3990666667,1.14502938295,61.626,61.3990666667,1.11719517055,65.928,61.1644444444,0.521751903688,65.338,61.1644444444,0.70973139204,63.65325,61.1644444444,1.14461984679,62.3561818182,61.1644444444,0.981247928061,61.626,61.1644444444,0.846775611723,61.0777647059,61.1644444444,0.974321091642,65.928,61.6801904762,0.646364221124,65.338,61.6801904762,0.756432164652,63.65325,61.6801904762,1.2724368613,62.3561818182,61.6801904762,0.963941645678,61.626,61.6801904762,0.842255131393,61.0777647059,61.6801904762,0.833280182227,61.4918,61.6801904762,1.13767756201,65.928,62.2615833333,0.661020850145,65.338,62.2615833333,0.921464285403,63.65325,62.2615833333,1.29515228917,62.3561818182,62.2615833333,1.04370900518,61.626,62.2615833333,0.89053476684,61.0777647059,62.2615833333,1.14710431466,61.4918,62.2615833333,1.17082323674,62.1013043478,62.2615833333,1.30475983543
2015-05-28,1.92771428571,67.47,65.44,61.4902,0.741305806603,66.078,65.1626666667,0.742956563781,65.4668,65.1626666667,0.535243157085,66.078,63.2251111111,0.771123783985,65.4668,63.2251111111,0.777680686232,63.91475,63.2251111111,1.05697431476,66.078,62.0116666667,0.702392702173,65.4668,62.0116666667,0.83071486916,63.91475,62.0116666667,1.18565631821,62.5283636364,62.0116666667,0.982166808627,66.078,61.538,0.599789861485,65.4668,61.538,0.640852278386,63.91475,61.538,1.30283396119,62.5283636364,61.538,1.14655880777,61.747,61.538,1.11868741699,66.078,61.2143333333,0.522448811841,65.4668,61.2143333333,0.710679385885,63.91475,61.2143333333,1.14614872459,62.5283636364,61.2143333333,0.982558588695,61.747,61.2143333333,0.847906656618,61.1289411765,61.2143333333,0.973019683238,66.078,61.6995238095,0.647227574937,65.4668,61.6995238095,0.75744253709,63.91475,61.6995238095,1.2741364653,62.5283636364,61.6995238095,0.965229190173,61.747,61.6995238095,0.841130124539,61.1289411765,61.6995238095,0.832167163284,61.4902,61.6995238095,1.13615795707,66.078,62.26525,0.661903780934,65.4668,62.26525,0.922695092552,63.91475,62.26525,1.29688223435,62.5283636364,62.26525,1.04510309557,61.747,62.26525,0.889345272494,61.1289411765,62.26525,1.14557211833,61.4902,62.26525,1.16925935887,62.0973913043,62.26525,1.30301705737
2015-05-29,1.90257142857,66.59,65.5535,61.4983,0.731637078134,66.138,65.306,0.733266304761,65.4876,65.306,0.528262069516,66.138,63.4237777778,0.761066144591,65.4876,63.4237777778,0.767537526251,64.15425,63.4237777778,1.04318837439,66.138,62.1941666667,0.69323151086,65.4876,62.1941666667,0.819879993143,64.15425,62.1941666667,1.17019199984,62.6845454545,62.1941666667,0.969356570127,66.138,61.6518666667,0.591966901975,65.4876,61.6518666667,0.632493748595,64.15425,61.6518666667,1.2858413143,62.6845454545,61.6518666667,1.13160443174,61.8225714286,61.6518666667,1.10409656288,66.138,61.2605555556,0.515634598792,65.4876,61.2605555556,0.701410112733,64.15425,61.2605555556,1.1311996972,62.6845454545,61.2605555556,0.969743240273,61.8225714286,61.2605555556,0.836847550974,61.2023529412,61.2605555556,0.985710617301,66.138,61.7061904762,0.638785893212,65.4876,61.7061904762,0.747563339926,64.15425,61.7061904762,1.25751811507,62.6845454545,61.7061904762,0.952639866217,61.8225714286,61.7061904762,0.830159404077,61.2023529412,61.7061904762,0.843020981332,61.4983,61.7061904762,1.15097667654,66.138,62.27625,0.653270679893,65.4876,62.27625,0.910660533763,64.15425,62.27625,1.27996721484,62.6845454545,62.27625,1.03147198954,61.8225714286,62.27625,0.90094485512,61.2023529412,62.27625,1.16051362514,61.4983,62.27625,1.18450981442,62.0876521739,62.27625,1.32001209236
2015-06-01,1.91228571429,66.93,65.666,61.51,0.735372723224,66.27,65.419,0.737010268473,65.564,65.419,0.530959307895,66.27,63.6168888889,0.764952050721,65.564,63.6168888889,0.771456474426,64.38725,63.6168888889,1.04851476044,66.27,62.384,0.696771062049,65.564,62.384,0.824066195241,64.38725,62.384,1.17616685012,62.8265454545,62.384,0.974305980457,66.27,61.7702666667,0.594989409058,65.564,61.7702666667,0.63572318056,64.38725,61.7702666667,1.29240665515,62.8265454545,61.7702666667,1.13738225884,61.9134285714,61.7702666667,1.10973393833,66.27,61.3061111111,0.518267362924,65.564,61.3061111111,0.704991422814,64.38725,61.3061111111,1.13697545778,62.8265454545,61.3061111111,0.97469462489,61.9134285714,61.3061111111,0.841120387246,61.2756470588,61.3061111111,0.980677705304,66.27,61.7279047619,0.64204745206,65.564,61.7279047619,0.751380302466,64.38725,61.7279047619,1.2639388413,62.8265454545,61.7279047619,0.9575039232,61.9134285714,61.7279047619,0.834398091528,61.2756470588,61.7279047619,0.838716624316,61.51,61.7279047619,1.14509993724,66.27,62.2871666667,0.656606196204,65.564,62.2871666667,0.915310249659,64.38725,62.2871666667,1.28650256328,62.8265454545,62.2871666667,1.03673855323,61.9134285714,62.2871666667,0.896344746234,61.2756470588,62.2871666667,1.1545881914,61.51,62.2871666667,1.17846185921,62.0873043478,62.2871666667,1.3132722799
2015-06-02,1.90342857143,66.62,65.804,61.5423,0.731966693877,66.359,65.5193333333,0.7335966545,65.5692,65.5193333333,0.528500061138,66.359,63.7964444444,0.761409018662,65.5692,63.7964444444,0.767883315796,64.59225,63.7964444444,1.04365834963,66.359,62.5636666667,0.6935438242,65.5692,62.5636666667,0.820249363917,64.59225,62.5636666667,1.17071919252,62.9518181818,62.5636666667,0.969793282803,66.359,61.8756,0.592233593777,65.5692,61.8756,0.632778698474,64.59225,61.8756,1.28642060908,62.9518181818,61.8756,1.13211424002,61.9955714286,61.8756,1.10459397836,66.359,61.3452222222,0.515866901509,65.5692,61.3452222222,0.701726110681,64.59225,61.3452222222,1.13170932314,62.9518181818,61.3452222222,0.970180127151,61.9955714286,61.3452222222,0.837224565939,61.3341176471,61.3452222222,0.985219914906,66.359,61.7497142857,0.639073677817,65.5692,61.7497142857,0.747900130738,64.59225,61.7497142857,1.25808464974,62.9518181818,61.7497142857,0.953069047715,61.9955714286,61.7497142857,0.830533405911,61.3341176471,61.7497142857,0.842601312103,61.5423,61.7497142857,1.15040370207,66.359,62.2985833333,0.653564990156,65.5692,62.2985833333,0.911070802813,64.59225,62.2985833333,1.28054386323,62.9518181818,62.2985833333,1.03193668634,61.9955714286,62.2985833333,0.900496350467,61.3341176471,62.2985833333,1.15993590303,61.5423,62.2985833333,1.18392014662,62.1070434783,62.2985833333,1.31935496938
2015-06-03,1.91457142857,67.01,65.9575,61.5754,0.736251698539,66.471,65.6023333333,0.737891201111,65.6244,65.6023333333,0.53159395222,66.471,64.0166666667,0.765866381575,65.6244,64.0166666667,0.772378579878,64.79725,64.0166666667,1.04976802775,66.471,62.7368333333,0.697603897623,65.6244,62.7368333333,0.82505118397,64.79725,62.7368333333,1.17757269724,63.0812727273,62.7368333333,0.975470547593,66.471,61.9792,0.595700587196,65.6244,61.9792,0.636483046904,64.79725,61.9792,1.29395144123,63.0812727273,61.9792,1.13874174757,62.0868571429,61.9792,1.11106037962,66.471,61.4025555556,0.518886836838,65.6244,61.4025555556,0.70583408401,64.79725,61.4025555556,1.13833446027,63.0812727273,61.4025555556,0.975859656565,62.0868571429,61.4025555556,0.842125760486,61.4529411765,61.4025555556,0.979452341102,66.471,61.7504761905,0.642814877672,65.6244,61.7504761905,0.7522784113,64.79725,61.7504761905,1.26544960041,63.0812727273,61.7504761905,0.958648407196,62.0868571429,61.7504761905,0.835395429752,61.4529411765,61.7504761905,0.837668641557,61.5754,61.7504761905,1.14366912621,66.471,62.30225,0.657391023572,65.6244,62.30225,0.916404300458,64.79725,62.30225,1.28804029233,63.0812727273,62.30225,1.03797774469,62.0868571429,62.30225,0.895224756701,61.4529411765,62.30225,1.15314552473,61.5754,62.30225,1.17698936222,62.114,62.30225,1.31163133627
2015-06-04,1.92628571429,67.42,66.0935,61.6207,0.740756447031,66.648,65.708,0.742405980882,65.7348,65.708,0.534846504382,66.648,64.248,0.770552327201,65.7348,64.248,0.777104370324,64.97475,64.248,1.0561910227,66.648,62.8938333333,0.70187217994,65.7348,62.8938333333,0.830099251205,64.97475,62.8938333333,1.18477766376,63.1945454545,62.8938333333,0.981438954167,66.648,62.0914666667,0.599345375149,65.7348,62.0914666667,0.64037736192,64.97475,62.0914666667,1.30186846989,63.1945454545,62.0914666667,1.14570912732,62.1854285714,62.0914666667,1.11785839119,66.648,61.4503333333,0.522061640645,65.7348,61.4503333333,0.710152722638,64.97475,61.4503333333,1.14529934803,63.1945454545,61.4503333333,0.981830443898,62.1854285714,61.4503333333,0.847278298343,61.5638823529,61.4503333333,0.985445110239,66.648,61.7484761905,0.64674793393,65.7348,61.7484761905,0.756881219069,64.97475,61.7484761905,1.27319224085,63.1945454545,61.7484761905,0.964513887676,62.1854285714,61.7484761905,0.840506788149,61.5638823529,61.7484761905,0.832543374537,61.6207,61.7484761905,1.13667159836,66.648,62.2980833333,0.661413263829,65.7348,62.2980833333,0.922011310802,64.97475,62.2980833333,1.29592115369,63.1945454545,62.2980833333,1.04432860091,62.1854285714,62.2980833333,0.889747333179,61.5638823529,62.2980833333,1.14609001563,61.6207,62.2980833333,1.16978796484,62.1245217391,62.2980833333,1.30360613334
2015-06-05,1.92571428571,67.4,66.2015,61.6493,0.740536703202,66.84,65.7523333333,0.742185747723,65.858,65.7523333333,0.534687843301,66.84,64.4788888889,0.770323744488,65.858,64.4788888889,0.776873843961,65.10975,64.4788888889,1.05587770587,66.84,63.0505,0.701663971046,65.858,63.0505,0.829853004023,65.10975,63.0505,1.18442620197,63.3218181818,63.0505,0.981147812383,66.84,62.1728,0.599167580615,65.858,62.1728,0.640187395334,65.10975,62.1728,1.30148227337,63.3218181818,62.1728,1.14536925513,62.284,62.1728,1.11752678087,66.84,61.5286666667,0.521906772166,65.858,61.5286666667,0.709942057339,65.10975,61.5286666667,1.14495959741,63.3218181818,61.5286666667,0.981539185979,62.284,61.5286666667,0.847026955033,61.6874117647,61.5286666667,0.985152780037,66.84,61.7639047619,0.646556077527,65.858,61.7639047619,0.756656691861,65.10975,61.7639047619,1.27281455107,63.3218181818,61.7639047619,0.964227766677,62.284,61.7639047619,0.840257453593,61.6874117647,61.7639047619,0.832790346763,61.6493,61.7639047619,1.13700878958,66.84,62.2955,0.661217056987,65.858,62.2955,0.921737798103,65.10975,62.2955,1.29553672143,63.3218181818,62.2955,1.04401880305,62.284,62.2955,0.890011274838,61.6874117647,62.2955,1.1464300008,61.6493,62.2955,1.17013497995,62.128173913,62.2955,1.30399284534
2015-06-08,1.93685714286,67.79,66.331,61.6818,0.744821707864,67.071,65.8446666667,0.746480294334,65.9824,65.8446666667,0.537781734382,67.071,64.7051111111,0.774781107401,65.9824,64.7051111111,0.781369108043,65.2745,64.7051111111,1.06198738399,67.071,63.195,0.705724044469,65.9824,63.195,0.834654824075,65.2745,63.195,1.1912797067,63.4547272727,63.195,0.986825077172,67.071,62.2690666667,0.602634574034,65.9824,62.2690666667,0.643891743764,65.2745,62.2690666667,1.30901310552,63.4547272727,62.2690666667,1.15199676269,62.3887142857,62.2690666667,1.12399318213,67.071,61.6074444444,0.524926707495,65.9824,61.6074444444,0.714050030668,65.2745,61.6074444444,1.15158473455,63.4547272727,61.6074444444,0.987218715394,62.3887142857,61.6074444444,0.85192814958,61.8322352941,61.6074444444,0.990853218972,67.071,61.7832380952,0.650297277382,65.9824,61.7832380952,0.761034972422,65.2745,61.7832380952,1.28017950174,63.4547272727,61.7832380952,0.969807126157,62.3887142857,61.7832380952,0.845119477435,61.8322352941,61.7832380952,0.827971530217,61.6818,61.7832380952,1.1304296586,67.071,62.3023333333,0.665043090403,65.9824,62.3023333333,0.927071295748,65.2745,62.3023333333,1.30303315053,63.4547272727,62.3023333333,1.0500598614,62.3887142857,62.3023333333,0.884861357966,61.8322352941,62.3023333333,1.13979635539,61.6818,62.3023333333,1.16336416924,62.133826087,62.3023333333,1.29644748614
2015-06-09,1.93342857143,67.67,66.474,61.724,0.743503244891,67.228,65.884,0.745158895377,66.1348,65.884,0.536829767896,67.228,64.9106666667,0.77340961112,66.1348,64.9106666667,0.779985949864,65.42325,64.9106666667,1.06010748303,67.228,63.3273333333,0.704474791108,66.1348,63.3273333333,0.833177340982,65.42325,63.3273333333,1.18917093602,63.6009090909,63.3273333333,0.985078226468,67.228,62.3597333333,0.601567806828,66.1348,62.3597333333,0.642751944247,65.42325,62.3597333333,1.3066959264,63.6009090909,62.3597333333,1.1499575296,62.5037142857,62.3597333333,1.1220035202,67.228,61.6743333333,0.523997496625,66.1348,61.6743333333,0.712786038874,65.42325,61.6743333333,1.14954623081,63.6009090909,61.6743333333,0.985471167882,62.5037142857,61.6743333333,0.850420089719,61.9590588235,61.6743333333,0.989099237761,67.228,61.824,0.649146138965,66.1348,61.824,0.759687809172,65.42325,61.824,1.27791336307,63.6009090909,61.824,0.968090400163,62.5037142857,61.824,0.843623470099,61.9590588235,61.824,0.826505877707,61.724,61.824,1.1324307142,67.228,62.33,0.663865849352,66.1348,62.33,0.925430219549,65.42325,62.33,1.30072655696,63.6009090909,62.33,1.04820107422,62.5037142857,62.33,0.883295000642,61.9590588235,62.33,1.14181399166,61.724,62.33,1.16542352461,62.1457391304,62.33,1.29874242195
2015-06-10,1.94971428571,68.24,66.621,61.7794,0.749765944013,67.314,65.971,0.751435540424,66.3068,65.971,0.541351608707,67.314,65.1202222222,0.779924218455,66.3068,65.1202222222,0.786555951215,65.5785,65.1202222222,1.06903701259,67.314,63.4665,0.710408744573,66.3068,63.4665,0.840195385675,65.5785,63.4665,1.19918759678,63.7830909091,63.4665,0.993375767315,67.314,62.4613333333,0.606634951055,66.3068,62.4613333333,0.648165991953,65.5785,62.4613333333,1.31770252723,63.7830909091,62.4613333333,1.1596438868,62.6175714286,62.4613333333,1.13145441434,67.314,61.8002222222,0.528411248259,66.3068,61.8002222222,0.718789999893,65.5785,61.8002222222,1.15922912355,63.7830909091,61.8002222222,0.993772018564,62.6175714286,61.8002222222,0.857583374057,62.0949411765,61.8002222222,0.997430648512,67.314,61.8672380952,0.654614046446,66.3068,61.8672380952,0.766086834608,65.5785,61.8672380952,1.28867752174,63.7830909091,61.8672380952,0.976244848635,62.6175714286,61.8672380952,0.850729504944,62.0949411765,61.8672380952,0.833467727128,61.7794,61.8672380952,1.1228919894,67.314,62.3469166667,0.669457744344,66.3068,62.3469166667,0.933225331492,65.5785,62.3469166667,1.31168287642,63.7830909091,62.3469166667,1.05703031335,62.6175714286,62.3469166667,0.890735197928,62.0949411765,62.3469166667,1.13219622936,61.7794,62.3469166667,1.15560689376,62.1700869565,62.3469166667,1.28780281532
2015-06-11,1.944,68.04,66.7245,61.83,0.747568505725,67.371,66.0836666667,0.749233208829,66.4404,66.0836666667,0.539764997896,67.371,65.2917777778,0.77763839132,66.4404,65.2917777778,0.784250687583,65.71475,65.2917777778,1.06590384432,67.371,63.5806666667,0.708326655638,66.4404,63.5806666667,0.837732913853,65.71475,63.5806666667,1.19567297897,63.9789090909,63.5806666667,0.990464349474,67.371,62.5616,0.604857005712,66.4404,62.5616,0.646266326091,65.71475,62.5616,1.31384056202,63.9789090909,62.5616,1.15624516498,62.7772857143,62.5616,1.12813831114,67.371,61.9118888889,0.526862563475,66.4404,61.9118888889,0.716683346904,65.71475,61.9118888889,1.15583161733,63.9789090909,61.9118888889,0.990859439377,62.7772857143,61.9118888889,0.855069940956,62.2242352941,61.9118888889,0.994507346494,67.371,61.9162857143,0.652695482417,66.4404,61.9162857143,0.763841562525,65.71475,61.9162857143,1.28490062396,63.9789090909,61.9162857143,0.973383638645,62.7772857143,61.9162857143,0.848236159384,62.2242352941,61.9162857143,0.831024972945,61.83,61.9162857143,1.12618299757,67.371,62.3621666667,0.667495675926,66.4404,62.3621666667,0.930490204494,65.71475,62.3621666667,1.3078385538,63.9789090909,62.3621666667,1.05393233471,62.7772857143,62.3621666667,0.888124602389,62.2242352941,62.3621666667,1.1355145067,61.83,62.3621666667,1.15899378384,62.1926956522,62.3621666667,1.29157714948
