,indexed,inst_price,sa_20_100,la_20_100,20_100,sa_10_30,la_10_30,10_30,sa_25_30,la_25_30,25_30,sa_10_45,la_10_45,10_45,sa_25_45,la_25_45,25_45,sa_40_45,la_40_45,40_45,sa_10_60,la_10_60,10_60,sa_25_60,la_25_60,25_60,sa_40_60,la_40_60,40_60,sa_55_60,la_55_60,55_60,sa_10_75,la_10_75,10_75,sa_25_75,la_25_75,25_75,sa_40_75,la_40_75,40_75,sa_55_75,la_55_75,55_75,sa_70_75,la_70_75,70_75,sa_10_90,la_10_90,10_90,sa_25_90,la_25_90,25_90,sa_40_90,la_40_90,40_90,sa_55_90,la_55_90,55_90,sa_70_90,la_70_90,70_90,sa_85_90,la_85_90,85_90,sa_10_105,la_10_105,10_105,sa_25_105,la_25_105,25_105,sa_40_105,la_40_105,40_105,sa_55_105,la_55_105,55_105,sa_70_105,la_70_105,70_105,sa_85_105,la_85_105,85_105,sa_100_105,la_100_105,100_105,sa_10_120,la_10_120,10_120,sa_25_120,la_25_120,25_120,sa_40_120,la_40_120,40_120,sa_55_120,la_55_120,55_120,sa_70_120,la_70_120,70_120,sa_85_120,la_85_120,85_120,sa_100_120,la_100_120,100_120,sa_115_120,la_115_120,115_120
2010-05-17,0.942902208202,29.89,30.0275,31.3675,0.770756739534,29.469,30.9526666667,0.986525324628,30.382,30.9526666667,0.922273942168,29.469,32.0791111111,1.00759001718,30.382,32.0791111111,0.733892317292,31.93825,32.0791111111,0.642000605777,29.469,31.7828333333,0.781953377786,30.382,31.7828333333,0.611874694866,31.93825,31.7828333333,0.663672707029,31.9663636364,31.7828333333,0.694739662739,29.469,31.2764,0.755059378947,30.382,31.2764,0.636296378825,31.93825,31.2764,0.650429985703,31.9663636364,31.2764,0.912180012925,31.3868571429,31.2764,1.03145273129,29.469,31.2393333333,0.817809845948,30.382,31.2393333333,0.582440014909,31.93825,31.2393333333,0.942902208202,31.9663636364,31.2393333333,1.06231096068,31.3868571429,31.2393333333,1.06231096068,31.2476470588,31.2393333333,1.06231096068,29.469,31.4803809524,0.851877072671,30.382,31.4803809524,0.870109333866,31.93825,31.4803809524,0.942902208202,31.9663636364,31.4803809524,0.942902208202,31.3868571429,31.4803809524,1.03014045047,31.2476470588,31.4803809524,1.00270646967,31.3675,31.4803809524,0.854539665216,29.469,31.4645833333,0.818745790955,30.382,31.4645833333,0.84212771314,31.93825,31.4645833333,0.942902208202,31.9663636364,31.4645833333,0.942902208202,31.3868571429,31.4645833333,0.878275676315,31.2476470588,31.4645833333,0.870109333866,31.3675,31.4645833333,0.9150411064,31.5534782609,31.4645833333,0.831260956127
2010-05-18,0.941324921136,29.84,29.921,31.3373,0.772046061614,29.563,30.777,0.988175584455,30.2816,30.777,0.923816722266,29.563,32.0322222222,1.00927551403,30.2816,32.0322222222,0.735119972557,31.8095,32.0322222222,0.643074544562,29.563,31.7971666667,0.783261429606,30.2816,31.7971666667,0.612898239019,31.8095,31.7971666667,0.662562515148,31.9447272727,31.7971666667,0.693577502045,29.563,31.2705333333,0.756322442479,30.2816,31.2705333333,0.637360775578,31.8095,31.2705333333,0.649341946249,31.9447272727,31.2705333333,0.910654117955,31.3992857143,31.2705333333,1.0331781457,29.563,31.2307777778,0.819177878478,30.2816,31.2307777778,0.583414320722,31.8095,31.2307777778,0.941324921136,31.9447272727,31.2307777778,1.06408799474,31.3992857143,31.2307777778,1.06408799474,31.2144705882,31.2307777778,1.06408799474,29.563,31.4414285714,0.853302092866,30.2816,31.4414285714,0.871564852993,31.8095,31.4414285714,0.941324921136,31.9447272727,31.4414285714,0.941324921136,31.3992857143,31.4414285714,1.03186366969,31.2144705882,31.4414285714,1.00438379732,31.3373,31.4414285714,0.855969139397,29.563,31.46475,0.820115389133,30.2816,31.46475,0.843536424604,31.8095,31.46475,0.941324921136,31.9447272727,31.46475,0.941324921136,31.3992857143,31.46475,0.879744856102,31.2144705882,31.46475,0.871564852993,31.3373,31.46475,0.916571787408,31.548,31.46475,0.829870422577
2010-05-19,0.945741324921,29.98,29.866,31.3156,0.768423861593,29.639,30.633,0.983539371927,30.2052,30.633,0.919482461504,29.639,31.9931111111,1.00454030719,30.2052,31.9931111111,0.731671018262,31.69875,31.9931111111,0.64005743879,29.639,31.8041666667,0.779586610566,30.2052,31.8041666667,0.610022711088,31.69875,31.8041666667,0.665671052417,31.9210909091,31.8041666667,0.696831551987,29.639,31.2658666667,0.752774012789,30.2052,31.2658666667,0.634370477033,31.69875,31.2658666667,0.652388456721,31.9210909091,31.2658666667,0.91492662387,31.4182857143,31.2658666667,1.02833079515,29.639,31.2222222222,0.815334550629,30.2052,31.2222222222,0.580677122166,31.69875,31.2222222222,0.945741324921,31.9210909091,31.2222222222,1.05909562479,31.4182857143,31.2222222222,1.05909562479,31.1850588235,31.2222222222,1.05909562479,29.639,31.4054285714,0.849298664816,30.2052,31.4054285714,0.867475741752,31.69875,31.4054285714,0.945741324921,31.9210909091,31.4054285714,0.945741324921,31.4182857143,31.4054285714,1.02702248625,31.1850588235,31.4054285714,0.999671540901,31.3156,31.4054285714,0.851953198394,29.639,31.4665833333,0.816267662777,30.2052,31.4665833333,0.839578814032,31.69875,31.4665833333,0.945741324921,31.9210909091,31.4665833333,0.945741324921,31.4182857143,31.4665833333,0.87561736683,31.1850588235,31.4665833333,0.867475741752,31.3156,31.4665833333,0.912271517628,31.5437391304,31.4665833333,0.833763916517
2010-05-20,0.916403785489,29.05,29.781,31.2891,0.792260892657,29.668,30.479,1.0140494325,30.1104,30.479,0.948005433125,29.668,31.9,1.03570183106,30.1104,31.9,0.754367951117,31.55525,31.9,0.659912456071,29.668,31.7888333333,0.803769917698,30.1104,31.7888333333,0.628946030678,31.55525,31.7888333333,0.686320621421,31.892,31.7888333333,0.675215363083,29.668,31.2634666667,0.776125574893,30.1104,31.2634666667,0.65404908089,31.55525,31.2634666667,0.632150922873,31.892,31.2634666667,0.886544977433,31.4211428571,31.2634666667,1.06023031615,29.668,31.196,0.840626783187,30.1104,31.196,0.59869012162,31.55525,31.196,0.916403785489,31.892,31.196,1.09194949174,31.4211428571,31.196,1.09194949174,31.1517647059,31.196,1.09194949174,29.668,31.3603809524,0.875644487307,30.1104,31.3603809524,0.894385429538,31.55525,31.3603809524,0.916403785489,31.892,31.3603809524,0.916403785489,31.4211428571,31.3603809524,1.05888142261,31.1517647059,31.3603809524,1.03068203233,31.2891,31.3603809524,0.878381366323,29.668,31.4699166667,0.841588841108,30.1104,31.4699166667,0.865623120138,31.55525,31.4699166667,0.916403785489,31.892,31.4699166667,0.916403785489,31.4211428571,31.4699166667,0.902779613366,31.1517647059,31.4699166667,0.894385429538,31.2891,31.4699166667,0.940570800863,31.5177391304,31.4699166667,0.807899992489
2010-05-21,0.906624605678,28.74,29.67,31.2595,0.800715311821,29.713,30.336,1.02487061405,30.004,30.336,0.958121842222,29.713,31.7728888889,1.04675407091,30.004,31.7728888889,0.762418004984,31.41575,31.7728888889,0.666954551127,29.713,31.768,0.81234715262,30.004,31.768,0.635657675068,31.41575,31.768,0.693644524782,31.844,31.768,0.668009966782,29.713,31.2518666667,0.784407809944,30.004,31.2518666667,0.661028606366,31.41575,31.2518666667,0.625405078257,31.844,31.2518666667,0.87708442862,31.4227142857,31.2518666667,1.07154430575,29.713,31.1668888889,0.849597327173,30.004,31.1668888889,0.605078897444,31.41575,31.1668888889,0.906624605678,31.844,31.1668888889,1.1036019648,31.4227142857,31.1668888889,1.1036019648,31.1216470588,31.1668888889,1.1036019648,29.713,31.3123809524,0.884988714194,30.004,31.3123809524,0.903929645826,31.41575,31.3123809524,0.906624605678,31.844,31.3123809524,0.906624605678,31.4227142857,31.3123809524,1.07018101783,31.1216470588,31.3123809524,1.04168070462,31.2595,31.3123809524,0.887754799148,29.713,31.4679166667,0.850569651461,30.004,31.4679166667,0.874860406446,31.41575,31.4679166667,0.906624605678,31.844,31.4679166667,0.906624605678,31.4227142857,31.4679166667,0.912413406142,31.1216470588,31.4679166667,0.903929645826,31.2595,31.4679166667,0.950607873092,31.4914782609,31.4679166667,0.79927868448
2010-05-24,0.901892744479,28.59,29.593,31.2154,0.804894410526,29.626,30.1916666667,1.0302196256,29.87,30.1916666667,0.963122478142,29.626,31.6384444444,1.05221729675,29.87,31.6384444444,0.766397222129,31.2575,31.6384444444,0.670435524776,29.626,31.7391666667,0.816586960306,29.87,31.7391666667,0.638975303852,31.2575,31.7391666667,0.69726479892,31.7961818182,31.7391666667,0.664523484701,29.626,31.2437333333,0.788501796426,29.87,31.2437333333,0.664478651284,31.2575,31.2437333333,0.622140959895,31.7961818182,31.2437333333,0.872506743711,31.4221428571,31.2437333333,1.07713691695,29.626,31.1361111111,0.854031551219,29.87,31.1361111111,0.608236929268,31.2575,31.1361111111,0.901892744479,31.7961818182,31.1361111111,1.10936189155,31.4221428571,31.1361111111,1.10936189155,31.0936470588,31.1361111111,1.10936189155,29.626,31.2661904762,0.889607653203,29.87,31.2661904762,0.908647441472,31.2575,31.2661904762,0.901892744479,31.7961818182,31.2661904762,0.901892744479,31.4221428571,31.2661904762,1.07576651375,31.0936470588,31.2661904762,1.04711745151,31.2154,31.2661904762,0.892388174926,29.626,31.4570833333,0.855008950268,29.87,31.4570833333,0.879426483724,31.2575,31.4570833333,0.911356466877,31.7961818182,31.4570833333,0.901892744479,31.4221428571,31.4570833333,0.917175480287,31.0936470588,31.4570833333,0.908647441472,31.2154,31.4570833333,0.955569292054,31.4583478261,31.4570833333,0.79510708383
2010-05-25,0.892429022082,28.29,29.507,31.173,0.813340312,29.494,30.0563333333,1.04102990499,29.7228,30.0563333333,0.973228695121,29.494,31.4895555556,1.06325840165,29.7228,31.4895555556,0.774439165698,31.08025,31.4895555556,0.677470525036,29.494,31.6935,0.825155553804,29.7228,31.6935,0.645680186369,31.08025,31.6935,0.704581323568,31.7427272727,31.6935,0.657550520538,29.494,31.2346666667,0.796775687259,29.7228,31.2346666667,0.671451145002,31.08025,31.2346666667,0.61561272317,31.7427272727,31.2346666667,0.863351373892,31.4155714286,31.2346666667,1.08843950789,29.494,31.0875555556,0.862993057528,29.7228,31.0875555556,0.614619268505,31.08025,31.0875555556,0.892429022082,31.7427272727,31.0875555556,1.12100262494,31.4155714286,31.0875555556,1.12100262494,31.0676470588,31.0875555556,1.12100262494,29.494,31.2226666667,0.898942465934,29.7228,31.2226666667,0.918182042117,31.08025,31.2226666667,0.911356466877,31.7427272727,31.2226666667,0.892429022082,31.4155714286,31.2226666667,1.08705472481,31.0676470588,31.2226666667,1.05810504282,31.173,31.2226666667,0.90175216417,29.494,31.4389166667,0.863980712601,29.7228,31.4389166667,0.888654463616,31.08025,31.4389166667,0.920919493812,31.7427272727,31.4389166667,0.892429022082,31.4155714286,31.4389166667,0.926799567174,31.0676470588,31.4389166667,0.918182042117,31.173,31.4389166667,0.965596252097,31.4152173913,31.4389166667,0.786763882531
2010-05-26,0.901261829653,28.57,29.4105,31.1347,0.805290284168,29.3,29.9456666667,1.03072632163,29.6224,29.9456666667,0.963596173572,29.3,31.3597777778,1.05273481196,29.6224,31.3597777778,0.766774161584,30.91675,31.3597777778,0.6707652671,29.3,31.6483333333,0.816988584731,29.6224,31.6483333333,0.639289573001,30.91675,31.6483333333,0.697607736767,31.6867272727,31.6483333333,0.664058620423,29.3,31.2336,0.78888960764,29.6224,31.2336,0.664805463821,30.91675,31.2336,0.609519702226,31.6867272727,31.2336,0.871896385723,31.4007142857,31.2336,1.07766668845,29.3,31.0441111111,0.85445159213,29.6224,31.0441111111,0.608536080269,30.91675,31.0441111111,0.883596214511,31.6867272727,31.0441111111,1.10990751235,31.4007142857,31.0441111111,1.10990751235,31.0457647059,31.0441111111,1.10990751235,29.3,31.1885714286,0.890045191616,29.6224,31.1885714286,0.909094344281,30.91675,31.1885714286,0.902336325105,31.6867272727,31.1885714286,0.901261829653,31.4007142857,31.1885714286,1.07629561123,31.0457647059,31.1885714286,1.04763245844,31.1347,31.1885714286,0.892827080891,29.3,31.4230833333,0.855429471896,29.6224,31.4230833333,0.879859014701,30.91675,31.4230833333,0.911804702074,31.6867272727,31.4230833333,0.901261829653,31.4007142857,31.4230833333,0.917626577467,31.0457647059,31.4230833333,0.909094344281,31.1347,31.4230833333,0.956039272578,31.3723478261,31.4230833333,0.778976894651
2010-05-27,0.921451104101,29.21,29.309,31.0925,0.787250879833,29.194,29.872,1.00763689755,29.5608,29.872,0.942010540002,29.194,31.2357777778,1.02915237305,29.5608,31.2357777778,0.749597561535,30.77375,31.2357777778,0.655739373822,29.194,31.6243333333,0.79868712536,29.5608,31.6243333333,0.624968770525,30.77375,31.6243333333,0.681980542103,31.6234545455,31.6243333333,0.678934277303,29.194,31.2384,0.771217596828,29.5608,31.2384,0.649913076812,30.77375,31.2384,0.5958657782,31.6234545455,31.2384,0.891427841336,31.3931428571,31.2384,1.05352574758,29.194,31.0144444444,0.835310919432,29.5608,31.0144444444,0.594904190477,30.77375,31.0144444444,0.863802669629,31.6234545455,31.0144444444,1.08504434092,31.3931428571,31.0144444444,1.08504434092,31.0322352941,31.0144444444,1.08504434092,29.194,31.1648571429,0.870107182423,29.5608,31.1648571429,0.888729612732,30.77375,31.1648571429,0.882122980756,31.6234545455,31.1648571429,0.921451104101,31.3931428571,31.1648571429,1.05218538403,31.0322352941,31.1648571429,1.02416431797,31.0925,31.1648571429,0.872826754262,29.194,31.3995,0.836266893597,29.5608,31.3995,0.86014918728,30.77375,31.3995,0.891379255475,31.6234545455,31.3995,0.921451104101,31.3931428571,31.3995,0.897070714338,31.0322352941,31.3995,0.888729612732,31.0925,31.3995,0.934622922055,31.3413913043,31.3995,0.761526939713
2010-05-28,0.919873817035,29.16,29.2895,31.0571,0.788598450664,29.132,29.7973333333,1.00936171251,29.4888,29.7973333333,0.94362301953,29.132,31.1211111111,1.03091401696,29.4888,31.1211111111,0.750880679579,30.6295,31.1211111111,0.656861830812,29.132,31.5873333333,0.8000542721,29.4888,31.5873333333,0.626038556165,30.6295,31.5873333333,0.683147917218,31.5747272727,31.5873333333,0.680096437997,29.132,31.2454666667,0.772537722807,29.4888,31.2454666667,0.651025560682,30.6295,31.2454666667,0.596885747009,31.5747272727,31.2454666667,0.889901946366,31.3964285714,31.2454666667,1.05532911243,29.132,30.9906666667,0.836740756679,29.4888,30.9906666667,0.595922513295,30.6295,30.9906666667,0.865281277417,31.5747272727,30.9906666667,1.08690165749,31.3964285714,30.9906666667,1.08690165749,31.0227058824,30.9906666667,1.08690165749,29.132,31.1406666667,0.871596581914,29.4888,31.1406666667,0.890250889029,30.6295,31.1406666667,0.8836329482,31.5747272727,31.1406666667,0.919873817035,31.3964285714,31.1406666667,1.05398645453,31.0227058824,31.1406666667,1.02591742361,31.0571,31.1406666667,0.87432080896,29.132,31.3778333333,0.837698367225,29.4888,31.3778333333,0.861621541247,30.6295,31.3778333333,0.892905067278,31.5747272727,31.3778333333,0.919873817035,31.3964285714,31.3778333333,0.898606268454,31.0227058824,31.3778333333,0.890250889029,31.0571,31.3778333333,0.936222755882,31.3122608696,31.3778333333,0.762830477782
2010-05-31,0.919873817035,29.16,29.264,31.0213,0.788598450664,29.059,29.7046666667,1.00936171251,29.45,29.7046666667,0.94362301953,29.059,30.9931111111,1.03091401696,29.45,30.9931111111,0.750880679579,30.47925,30.9931111111,0.656861830812,29.059,31.553,0.8000542721,29.45,31.553,0.626038556165,30.47925,31.553,0.683147917218,31.53,31.553,0.680096437997,29.059,31.2525333333,0.772537722807,29.45,31.2525333333,0.651025560682,30.47925,31.2525333333,0.596885747009,31.53,31.2525333333,0.889901946366,31.3937142857,31.2525333333,1.05532911243,29.059,30.9705555556,0.836740756679,29.45,30.9705555556,0.595922513295,30.47925,30.9705555556,0.865281277417,31.53,30.9705555556,1.08690165749,31.3937142857,30.9705555556,1.08690165749,31.0155294118,30.9705555556,1.08690165749,29.059,31.1040952381,0.871596581914,29.45,31.1040952381,0.890250889029,30.47925,31.1040952381,0.8836329482,31.53,31.1040952381,0.919873817035,31.3937142857,31.1040952381,1.05398645453,31.0155294118,31.1040952381,1.02591742361,31.0213,31.1040952381,0.87432080896,29.059,31.3508333333,0.837698367225,29.45,31.3508333333,0.861621541247,30.47925,31.3508333333,0.892905067278,31.53,31.3508333333,0.919873817035,31.3937142857,31.3508333333,0.898606268454,31.0155294118,31.3508333333,0.890250889029,31.0213,31.3508333333,0.936222755882,31.269826087,31.3508333333,0.762830477782
2010-06-01,0.908201892744,28.79,29.2585,31.0031,0.798604672432,28.954,29.5986666667,1.02216911421,29.4012,29.5986666667,0.955596288296,28.954,30.8466666667,1.04399488754,29.4012,30.8466666667,0.760408315088,30.32125,30.8466666667,0.66519649739,28.954,31.5123333333,0.81020585237,29.4012,31.5123333333,0.633982118091,30.32125,31.5123333333,0.691816117814,31.4725454545,31.5123333333,0.688725919549,28.954,31.2530666667,0.782340156189,29.4012,31.2530666667,0.659286173078,30.32125,31.2530666667,0.604459400178,31.4725454545,31.2530666667,0.87861032359,31.391,31.2530666667,1.06871977675,28.954,30.9515555556,0.847357837611,29.4012,30.9515555556,0.603483944362,30.32125,30.9515555556,0.876260498015,31.4725454545,30.9515555556,1.10069293366,31.391,30.9515555556,1.10069293366,30.998,30.9515555556,1.10069293366,28.954,31.0684761905,0.882655934976,29.4012,31.0684761905,0.901546939405,30.32125,31.0684761905,0.894845026074,31.4725454545,31.0684761905,0.908201892744,31.391,31.0684761905,1.06736008238,30.998,31.0684761905,1.03893489435,31.0031,31.0684761905,0.88541472869,28.954,31.3136666667,0.848327598908,29.4012,31.3136666667,0.872554324863,30.32125,31.3136666667,0.904234795498,31.4725454545,31.3136666667,0.908201892744,31.391,31.3136666667,0.910008337018,30.998,31.3136666667,0.901546939405,31.0031,31.3136666667,0.948102125556,31.2251304348,31.3136666667,0.772509739674
2010-06-02,0.934069400631,29.61,29.278,30.9917,0.775858724833,28.917,29.5496666667,0.993055579174,29.3656,29.5496666667,0.928378887935,28.917,30.7244444444,1.01425970839,29.3656,30.7244444444,0.73875028041,30.204,30.7244444444,0.646250296353,28.917,31.4783333333,0.787129478666,29.3656,31.4783333333,0.615924968497,30.204,31.4783333333,0.672111733771,31.4338181818,31.4783333333,0.669109550878,28.917,31.2530666667,0.76005745636,29.3656,31.2530666667,0.640508310559,30.204,31.2530666667,0.587243119937,31.4338181818,31.2530666667,0.903635001094,31.3917142857,31.2530666667,1.03828038054,28.917,30.9424444444,0.823223296908,29.3656,30.9424444444,0.586295447163,30.204,30.9424444444,0.851302748505,31.4338181818,30.9424444444,1.06934287442,31.3917142857,30.9424444444,1.06934287442,30.9895294118,30.9424444444,1.06934287442,28.917,31.0419047619,0.857516029916,29.3656,31.0419047619,0.875868978644,30.204,31.0419047619,0.869357949958,31.4338181818,31.0419047619,0.934069400631,31.3917142857,31.0419047619,1.03695941313,30.9895294118,31.0419047619,1.00934383449,30.9917,31.0419047619,0.860196247358,28.917,31.28125,0.824165437355,29.3656,31.28125,0.847702134992,30.204,31.28125,0.878480278919,31.4338181818,31.28125,0.934069400631,31.3917142857,31.28125,0.884089377784,30.9895294118,31.28125,0.875868978644,30.9917,31.28125,0.921098174776,31.1890434783,31.28125,0.750507030868
2010-06-03,0.959621451104,30.42,29.361,30.9818,0.754634625977,29.054,29.5386666667,0.965889925033,29.3328,29.5386666667,0.902982504982,29.054,30.6242222222,0.986514002084,29.3328,30.6242222222,0.718541306174,30.12275,30.6242222222,0.628571716817,29.054,31.4405,0.765597061316,29.3328,31.4405,0.5990759572,30.12275,31.4405,0.6537256985,31.3825454545,31.4405,0.650805642192,29.054,31.2621333333,0.73926561105,29.3328,31.2621333333,0.622986806622,30.12275,31.2621333333,0.571178718479,31.3825454545,31.2621333333,0.928354499604,31.3981428571,31.2621333333,1.00987757378,29.054,30.9431111111,0.80070351067,29.3328,30.9431111111,0.570256969885,30.12275,30.9431111111,0.828014831373,31.3825454545,30.9431111111,1.04009033378,31.3981428571,30.9431111111,1.04009033378,31.0035294118,30.9431111111,1.04009033378,29.054,31.0132380952,0.834058144599,29.3328,31.0132380952,0.851909036979,30.12275,31.0132380952,0.84557612154,31.3825454545,31.0132380952,0.959621451104,31.3981428571,31.0132380952,1.00859274226,31.0035294118,31.0132380952,0.981732604976,30.9818,31.0132380952,0.836665043023,29.054,31.2616666667,0.801619878278,29.3328,31.2616666667,0.824512714886,30.12275,31.2616666667,0.854448903508,31.3825454545,31.2616666667,0.959621451104,31.3981428571,31.2616666667,0.859904561978,31.0035294118,31.2616666667,0.851909036979,30.9818,31.2616666667,0.895900960268,31.159826087,31.2616666667,0.729976443397
2010-06-04,0.952996845426,30.21,29.457,30.9703,0.759844135229,29.201,29.5136666667,0.9725578042,29.3592,29.5136666667,0.909216112019,29.201,30.5193333333,0.993324256536,29.3592,30.5193333333,0.723501650497,30.05225,30.5193333333,0.6329109693,29.201,31.4133333333,0.77088224813,29.3592,31.4133333333,0.603211590041,30.05225,31.4133333333,0.6582385978,31.3052727273,31.4133333333,0.655298383311,29.201,31.2792,0.744369022566,29.3592,31.2792,0.627287504498,30.05225,31.2792,0.575121766832,31.3052727273,31.2792,0.921945740731,31.4012857143,31.2792,1.01684911521,29.201,30.9457777778,0.806231049698,29.3592,30.9457777778,0.574193655081,30.05225,30.9457777778,0.833730910091,31.3052727273,30.9457777778,1.04727044457,31.4012857143,30.9457777778,1.04727044457,31.0105882353,30.9457777778,1.04727044457,29.201,30.9895238095,0.839815942442,29.3592,30.9895238095,0.857790065833,30.05225,30.9895238095,0.851413432044,31.3052727273,30.9895238095,0.952996845426,31.4012857143,30.9895238095,1.01555541405,31.0105882353,30.9895238095,0.988509851756,30.9703,30.9895238095,0.842440837206,29.201,31.2425,0.807153743316,29.3592,31.2425,0.830204617257,30.05225,31.2425,0.860347465958,31.3052727273,31.2425,0.952996845426,31.4012857143,31.2425,0.865840786765,31.0105882353,31.2425,0.857790065833,30.9703,31.2425,0.902085680901,31.1287826087,31.2425,0.73501572851
2010-06-07,0.929652996845,29.47,29.4575,30.9514,0.778456669492,29.289,29.4916666667,0.996380802383,29.3512,29.4916666667,0.931487542767,29.289,30.3926666667,1.01765593313,29.3512,30.3926666667,0.741223968318,29.966,30.3926666667,0.648414250243,29.289,31.3775,0.789765163179,29.3512,31.3775,0.617987378741,29.966,31.3775,0.674362284075,31.2112727273,31.3775,0.671350048444,29.289,31.2808,0.762602490845,29.3512,31.2808,0.642653037545,29.966,31.2808,0.589209489687,31.2112727273,31.2808,0.899362495179,31.3891428571,31.2808,1.04175703793,29.289,30.9424444444,0.82597984072,29.3512,30.9424444444,0.588258643653,29.966,30.9424444444,0.8541533157,31.2112727273,30.9424444444,1.07292354384,31.3891428571,30.9424444444,1.07292354384,31.0137647059,30.9424444444,1.07292354384,29.289,30.9583809524,0.860387402137,29.3512,30.9583809524,0.878801805281,29.966,30.9583809524,0.87226897457,31.2112727273,30.9583809524,0.929652996845,31.3891428571,30.9583809524,1.0404316473,31.0137647059,30.9583809524,1.01272359854,30.9514,30.9583809524,0.863076594225,29.289,31.2044166667,0.826925135903,29.3512,31.2044166667,0.850540645618,29.966,31.2044166667,0.881421849434,31.2112727273,31.2044166667,0.929652996845,31.3891428571,31.2044166667,0.887049730234,31.0137647059,31.2044166667,0.878801805281,30.9514,31.2044166667,0.924182450311,31.0942608696,31.2044166667,0.753020085977
2010-06-08,0.928075709779,29.42,29.448,30.919,0.779777430723,29.402,29.472,0.998071302556,29.372,29.472,0.933067942398,29.402,30.2662222222,1.01938252955,29.372,30.2662222222,0.742481559034,29.89275,30.2662222222,0.649514376219,29.402,31.3353333333,0.79110511086,29.372,31.3353333333,0.61903588125,29.89275,31.3353333333,0.67550643454,31.11,31.3353333333,0.672489088228,29.402,31.2866666667,0.763896353231,29.372,31.2866666667,0.643743388813,29.89275,31.2866666667,0.590209166459,31.11,31.2866666667,0.900888390148,31.3661428571,31.2866666667,1.04352452527,29.402,30.9328888889,0.827381231696,29.372,30.9328888889,0.589256707182,29.89275,30.9328888889,0.855602506938,31.11,30.9328888889,1.07474390954,31.3661428571,30.9328888889,1.07474390954,31.0190588235,30.9328888889,1.07474390954,29.402,30.947047619,0.86184717038,29.372,30.947047619,0.880292816149,29.89275,30.947047619,0.873748901571,31.11,30.947047619,0.928075709779,31.3661428571,30.947047619,1.04219688592,31.0190588235,30.947047619,1.01444182656,30.919,30.947047619,0.86454092506,29.402,31.1668333333,0.828328130704,29.372,31.1668333333,0.851983707453,29.89275,31.1668333333,0.882917305575,31.11,31.1668333333,0.928075709779,31.3661428571,31.1668333333,0.888554734866,31.0190588235,31.1668333333,0.880292816149,30.919,31.1668333333,0.925750455825,31.0643478261,31.1668333333,0.754297690467
2010-06-09,0.908832807571,28.81,29.363,30.8823,0.79594548758,29.426,29.4156666667,1.01876550699,29.3556,29.4156666667,0.952414354528,29.426,30.1442222222,1.04051860511,29.3556,30.1442222222,0.757876316037,29.81575,30.1442222222,0.662981533578,29.426,31.2865,0.807508038039,29.3556,31.2865,0.631871091568,29.81575,31.2865,0.689512516289,31.0081818182,31.2865,0.686432607732,29.426,31.2766666667,0.77973512874,29.3556,31.2766666667,0.657090889397,29.81575,31.2766666667,0.602446678069,31.0081818182,31.2766666667,0.919567585185,31.3308571429,31.2766666667,1.06516116566,29.426,30.916,0.844536315018,29.3556,30.916,0.601474470315,29.81575,30.916,0.873342735668,31.0081818182,30.916,1.09702785872,31.3308571429,30.916,1.09702785872,31.0209411765,30.916,1.09702785872,29.426,30.9285714286,0.879716877176,29.3556,30.9285714286,0.89854497855,29.81575,30.9285714286,0.891865381175,31.0081818182,30.9285714286,0.908832807571,31.3308571429,30.9285714286,1.06380599879,31.0209411765,30.9285714286,1.03547546063,30.8823,30.9285714286,0.882466484689,29.426,31.1255833333,0.845502847214,29.3556,31.1255833333,0.869648903291,29.81575,31.1255833333,0.901223884651,31.0081818182,31.1255833333,0.947318611987,31.3308571429,31.1255833333,0.906978201497,31.0209411765,31.1255833333,0.89854497855,30.8823,31.1255833333,0.944945145766,31.0353043478,31.1255833333,0.769937445435
2010-06-10,0.910094637224,28.85,29.292,30.852,0.79484039145,29.39,29.336,1.01735104603,29.3592,29.336,0.951092015959,29.39,30.0371111111,1.039073942,29.3592,30.0371111111,0.756824075403,29.7515,30.0371111111,0.662061045506,29.39,31.2133333333,0.806386888386,29.3592,31.2133333333,0.630993797446,29.7515,31.2133333333,0.688555192421,30.9001818182,31.2133333333,0.685479560029,29.39,31.2617333333,0.778652539183,29.3592,31.2617333333,0.656178579936,29.7515,31.2617333333,0.601610237002,30.9001818182,31.2617333333,0.918290851294,31.3051428571,31.2617333333,1.06368228866,29.39,30.9117777778,0.843363755052,29.3592,30.9117777778,0.600639379068,29.7515,30.9117777778,0.872130180672,30.9001818182,30.9117777778,1.09550473778,31.3051428571,30.9117777778,1.09550473778,31.0209411765,30.9117777778,1.09550473778,29.39,30.9041904762,0.878495472278,29.3592,30.9041904762,0.897297432589,29.7515,30.9041904762,0.890627109213,30.9001818182,30.9041904762,0.910094637224,31.3051428571,30.9041904762,1.0623290033,31.0209411765,30.9041904762,1.03403779946,30.852,30.9041904762,0.881241262218,29.39,31.0845,0.844328945309,29.3592,31.0845,0.868441476837,29.7515,31.0845,0.899972619278,30.9001818182,31.0845,0.946003348382,31.3051428571,31.0845,0.905718946792,31.0209411765,31.0845,0.897297432589,30.852,31.0845,0.943633177497,31.0105217391,31.0845,0.768868459048
