,indexed,inst_price,sa_20_100,la_20_100,20_100,sa_10_30,la_10_30,10_30,sa_25_30,la_25_30,25_30,sa_10_45,la_10_45,10_45,sa_25_45,la_25_45,25_45,sa_40_45,la_40_45,40_45,sa_10_60,la_10_60,10_60,sa_25_60,la_25_60,25_60,sa_40_60,la_40_60,40_60,sa_55_60,la_55_60,55_60,sa_10_75,la_10_75,10_75,sa_25_75,la_25_75,25_75,sa_40_75,la_40_75,40_75,sa_55_75,la_55_75,55_75,sa_70_75,la_70_75,70_75,sa_10_90,la_10_90,10_90,sa_25_90,la_25_90,25_90,sa_40_90,la_40_90,40_90,sa_55_90,la_55_90,55_90,sa_70_90,la_70_90,70_90,sa_85_90,la_85_90,85_90,sa_10_105,la_10_105,10_105,sa_25_105,la_25_105,25_105,sa_40_105,la_40_105,40_105,sa_55_105,la_55_105,55_105,sa_70_105,la_70_105,70_105,sa_85_105,la_85_105,85_105,sa_100_105,la_100_105,100_105,sa_10_120,la_10_120,10_120,sa_25_120,la_25_120,25_120,sa_40_120,la_40_120,40_120,sa_55_120,la_55_120,55_120,sa_70_120,la_70_120,70_120,sa_85_120,la_85_120,85_120,sa_100_120,la_100_120,100_120,sa_115_120,la_115_120,115_120
2016-02-08,1.6518783542,46.17,44.2035,43.4008,0.623435972288,45.329,43.9973333333,0.657506554347,44.0924,43.9973333333,0.613735723077,45.329,43.6433333333,0.535228295276,44.0924,43.6433333333,0.736570261636,43.835,43.6433333333,0.678073747299,45.329,43.5501666667,0.420155648503,44.0924,43.5501666667,0.744076093084,43.835,43.5501666667,0.460412206701,43.5596363636,43.5501666667,0.416604347755,45.329,43.5856,0.389327084241,44.0924,43.5856,0.432172893235,43.835,43.5856,0.539441149838,43.5596363636,43.5856,0.505403175677,43.5627142857,43.5856,0.503972366773,45.329,43.6015555556,0.381650707389,44.0924,43.6015555556,0.557861831729,43.835,43.6015555556,0.579372149279,43.5596363636,43.6015555556,0.739186417251,43.5627142857,43.6015555556,0.756484350034,43.6430588235,43.6015555556,0.857378258741,45.329,43.2447619048,0.408232825488,44.0924,43.2447619048,0.515845848354,43.835,43.2447619048,0.613374402099,43.5596363636,43.2447619048,0.807673755407,43.5627142857,43.2447619048,0.827375880734,43.6430588235,43.2447619048,0.776339085237,43.4008,43.2447619048,0.564572411627,45.329,42.7636666667,0.393756566202,44.0924,42.7636666667,0.396332101941,43.835,42.7636666667,0.756395031287,43.5596363636,42.7636666667,0.842098882387,43.5627142857,42.7636666667,0.718166534199,43.6430588235,42.7636666667,0.567580744504,43.4008,42.7636666667,0.436142818056,42.8603478261,42.7636666667,0.382848482549
2016-02-09,1.64865831843,46.08,44.3385,43.4566,0.622220697489,45.661,44.0626666667,0.656224865158,44.194,44.0626666667,0.612539357145,45.661,43.7175555556,0.534184965266,44.194,43.7175555556,0.735134452159,43.9385,43.7175555556,0.676751966116,45.661,43.6038333333,0.419336631644,44.194,43.6038333333,0.742625652357,43.9385,43.6038333333,0.459514717019,43.6116363636,43.6038333333,0.41579225351,45.661,43.6068,0.388568162049,44.194,43.6068,0.431330450948,43.9385,43.6068,0.538389607636,43.6116363636,43.6068,0.506388367052,43.5942857143,43.6068,0.504954769047,45.661,43.6434444444,0.380906748895,44.194,43.6434444444,0.556774381765,43.9385,43.6434444444,0.578242768871,43.6116363636,43.6434444444,0.740627326447,43.5942857143,43.6434444444,0.755009721671,43.6716470588,43.6434444444,0.855706956092,45.661,43.3102857143,0.40743705,44.194,43.3102857143,0.514840300891,43.9385,43.3102857143,0.612178740496,43.6116363636,43.3102857143,0.806099342629,43.5942857143,43.3102857143,0.825763062253,43.6716470588,43.3102857143,0.774825753687,43.4566,43.3102857143,0.56347188061,45.661,42.81625,0.392989009543,44.194,42.81625,0.395559524744,43.9385,42.81625,0.754920577035,43.6116363636,42.81625,0.840457364097,43.5942857143,42.81625,0.716766599435,43.6716470588,42.81625,0.566474349291,43.4566,42.81625,0.435292637124,42.9208695652,42.81625,0.382102189211
2016-02-10,1.65295169946,46.2,44.4915,43.5106,0.623841063888,45.961,44.136,0.657933784077,44.2892,44.136,0.614134511721,45.961,43.798,0.535576071946,44.2892,43.798,0.737048864795,44.0185,43.798,0.678514341027,45.961,43.6535,0.420428654122,44.2892,43.6535,0.744559573327,44.0185,43.6535,0.460711369928,43.6669090909,43.6535,0.416875045837,45.961,43.6357333333,0.389580058304,44.2892,43.6357333333,0.432453707331,44.0185,43.6357333333,0.539791663906,43.6669090909,43.6357333333,0.507707086758,43.6227142857,43.6357333333,0.503639782669,45.961,43.6877777778,0.381898693554,44.2892,43.6877777778,0.558224315051,44.0185,43.6877777778,0.579748609415,43.6669090909,43.6877777778,0.738698609451,43.6227142857,43.6877777778,0.756975892821,43.7047058824,43.6877777778,0.857935359624,45.961,43.3722857143,0.408498083984,44.2892,43.3722857143,0.516181030841,44.0185,43.3722857143,0.613772955966,43.6669090909,43.3722857143,0.808198559667,43.6227142857,43.3722857143,0.827913486894,43.7047058824,43.3722857143,0.776843529087,43.5106,43.3722857143,0.564939255299,45.961,42.8633333333,0.394012418422,44.2892,42.8633333333,0.396589627673,44.0185,42.8633333333,0.756886516038,43.6669090909,42.8633333333,0.84264605515,43.6227142857,42.8633333333,0.718633179121,43.7047058824,42.8633333333,0.567949542909,43.5106,42.8633333333,0.4364262117,42.9827826087,42.8633333333,0.383097246996
2016-02-11,1.62325581395,45.37,44.5745,43.5538,0.612633529624,46.113,44.2073333333,0.646113761549,44.35,44.2073333333,0.603101359238,46.113,43.8793333333,0.52595425074,44.35,43.8793333333,0.72380751073,44.052,43.8793333333,0.666324581221,46.113,43.6813333333,0.412875498648,44.35,43.6813333333,0.73118328662,44.052,43.6813333333,0.452434520642,43.7070909091,43.6813333333,0.409385732243,46.113,43.6618666667,0.382581109205,44.35,43.6618666667,0.424684517351,44.052,43.6618666667,0.530094108039,43.7070909091,43.6618666667,0.498585942126,43.642,43.6618666667,0.512687856687,46.113,43.7127777778,0.375037742999,44.35,43.7127777778,0.548195609824,44.052,43.7127777778,0.569333212319,43.7070909091,43.7127777778,0.751969601785,43.642,43.7127777778,0.743376542366,43.7215294118,43.7127777778,0.842522235198,46.113,43.4182857143,0.401159265592,44.35,43.4182857143,0.506907648685,44.052,43.4182857143,0.602746298965,43.7070909091,43.4182857143,0.793678975153,43.642,43.4182857143,0.813039716459,43.7215294118,43.4182857143,0.762887249236,43.5538,43.4182857143,0.5547899137,46.113,42.8995833333,0.386933840342,44.35,42.8995833333,0.389464749081,44.052,42.8995833333,0.743288771269,43.7070909091,42.8995833333,0.827507608704,43.642,42.8995833333,0.705722669626,43.7215294118,42.8995833333,0.557746120385,43.5538,42.8995833333,0.428585654217,43.036,42.8995833333,0.376214763987
2016-02-12,1.61896243292,45.25,44.6615,43.5926,0.611013163224,46.146,44.2746666667,0.64440484263,44.4196,44.2746666667,0.601506204662,46.146,43.9577777778,0.52456314406,44.4196,43.9577777778,0.721893098094,44.10325,43.9577777778,0.664562206309,46.146,43.7003333333,0.411783476169,44.4196,43.7003333333,0.72924936565,44.10325,43.7003333333,0.451237867733,43.7423636364,43.7003333333,0.408302939916,46.146,43.6828,0.38156921295,44.4196,43.6828,0.423561260968,44.10325,43.6828,0.528692051769,43.7423636364,43.6828,0.49726722242,43.6805714286,43.6828,0.514043874822,46.146,43.7364444444,0.37404579834,44.4196,43.7364444444,0.546745676538,44.10325,43.7364444444,0.567827371775,43.7423636364,43.7364444444,0.753958500886,43.6805714286,43.7364444444,0.741410371216,43.7350588235,43.7364444444,0.840293831666,46.146,43.4647619048,0.400098231608,44.4196,43.4647619048,0.505566918735,44.10325,43.4647619048,0.601152083495,43.7423636364,43.4647619048,0.791579758115,43.6805714286,43.4647619048,0.810889291817,43.7350588235,43.4647619048,0.760869473836,43.5926,43.4647619048,0.553322539011,46.146,42.9344166667,0.385910431463,44.4196,42.9344166667,0.388434646152,44.10325,42.9344166667,0.741322832266,43.7423636364,42.9344166667,0.825318917652,43.6805714286,42.9344166667,0.70385608994,43.7350588235,42.9344166667,0.556270926767,43.5926,42.9344166667,0.427452079641,43.094173913,42.9344166667,0.375219706202
2016-02-15,1.61896243292,45.25,44.7485,43.6297,0.611013163224,46.105,44.3486666667,0.64440484263,44.4888,44.3486666667,0.601506204662,46.105,44.0344444444,0.52456314406,44.4888,44.0344444444,0.721893098094,44.163,44.0344444444,0.664562206309,46.105,43.7321666667,0.411783476169,44.4888,43.7321666667,0.72924936565,44.163,43.7321666667,0.451237867733,43.7694545455,43.7321666667,0.408302939916,46.105,43.7005333333,0.38156921295,44.4888,43.7005333333,0.423561260968,44.163,43.7005333333,0.528692051769,43.7694545455,43.7005333333,0.49726722242,43.7107142857,43.7005333333,0.514043874822,46.105,43.7534444444,0.37404579834,44.4888,43.7534444444,0.546745676538,44.163,43.7534444444,0.567827371775,43.7694545455,43.7534444444,0.753958500886,43.7107142857,43.7534444444,0.741410371216,43.7463529412,43.7534444444,0.840293831666,46.105,43.506952381,0.400098231608,44.4888,43.506952381,0.505566918735,44.163,43.506952381,0.601152083495,43.7694545455,43.506952381,0.791579758115,43.7107142857,43.506952381,0.810889291817,43.7463529412,43.506952381,0.760869473836,43.6297,43.506952381,0.553322539011,46.105,42.97575,0.385910431463,44.4888,42.97575,0.388434646152,44.163,42.97575,0.741322832266,43.7694545455,42.97575,0.825318917652,43.7107142857,42.97575,0.70385608994,43.7463529412,42.97575,0.556270926767,43.6297,42.97575,0.427452079641,43.1523478261,42.97575,0.375219706202
2016-02-16,1.63076923077,45.58,44.855,43.6686,0.615469170823,46.025,44.4166666667,0.649104369659,44.5768,44.4166666667,0.605892879746,46.025,44.1153333333,0.528388687431,44.5768,44.1153333333,0.727157732843,44.2225,44.1153333333,0.669408737317,46.025,43.7715,0.414786537985,44.5768,43.7715,0.734567648317,44.2225,43.7715,0.454528663232,43.8012727273,43.7715,0.411280618815,46.025,43.7233333333,0.384351927652,44.5768,43.7233333333,0.42665021602,44.2225,43.7233333333,0.532547706511,43.8012727273,43.7233333333,0.500893701611,43.736,43.7233333333,0.517792703081,46.025,43.7748888889,0.376773646151,44.5768,43.7748888889,0.550732993074,44.2225,43.7748888889,0.571968433271,43.8012727273,43.7748888889,0.759456982771,43.736,43.7748888889,0.746817341879,43.7611764706,43.7748888889,0.846421941378,46.025,43.5553333333,0.403016075065,44.5768,43.5553333333,0.509253926098,44.2225,43.5553333333,0.605536176037,43.8012727273,43.5553333333,0.79735260497,43.736,43.5553333333,0.816802959581,43.7611764706,43.5553333333,0.766418356186,43.6686,43.5553333333,0.557357819406,46.025,43.0295833333,0.38872480588,44.5768,43.0295833333,0.391267429207,44.2225,43.0295833333,0.746729164524,43.8012727273,43.0295833333,0.831337818046,43.736,43.0295833333,0.708989184076,43.7611764706,43.0295833333,0.560327709216,43.6686,43.0295833333,0.430569409725,43.2097391304,43.0295833333,0.37795611511
2016-02-17,1.62110912343,45.31,45.004,43.699,0.611823346424,45.823,44.4663333333,0.64525930209,44.6636,44.4663333333,0.60230378195,45.823,44.1666666667,0.5252586974,44.6636,44.1666666667,0.722850304412,44.259,44.1666666667,0.665443393765,45.823,43.8073333333,0.412329487409,44.6636,43.8073333333,0.730216326135,44.259,43.8073333333,0.451836194187,43.8463636364,43.8073333333,0.408844336079,45.823,43.738,0.382075161077,44.6636,43.738,0.424122889159,44.259,43.738,0.529393079904,43.8463636364,43.738,0.497926582273,43.7515714286,43.738,0.51472547996,45.823,43.7962222222,0.37454177067,44.6636,43.7962222222,0.547470643181,44.259,43.7962222222,0.568580292047,43.8463636364,43.7962222222,0.754958224865,43.7515714286,43.7962222222,0.742393456791,43.7748235294,43.7962222222,0.841408033432,45.823,43.5982857143,0.4006287486,44.6636,43.5982857143,0.50623728371,44.259,43.5982857143,0.60194919123,43.8463636364,43.5982857143,0.792629366634,43.7515714286,43.5982857143,0.811964504138,43.7748235294,43.5982857143,0.761878361536,43.699,43.5982857143,0.554056226355,45.823,43.0815,0.386422135902,44.6636,43.0815,0.388949697617,44.259,43.0815,0.742305801768,43.8463636364,43.0815,0.826413263178,43.7515714286,43.0815,0.704789379783,43.7748235294,43.0815,0.557008523576,43.699,43.0815,0.428018866929,43.2693043478,43.0815,0.375717235095
2016-02-18,1.65581395349,46.28,45.2115,43.744,0.624921308155,45.798,44.5473333333,0.659073063357,44.7664,44.5473333333,0.615197948105,45.798,44.2166666667,0.5365034764,44.7664,44.2166666667,0.738325139885,44.324,44.2166666667,0.679689257635,45.798,43.8593333333,0.421156669108,44.7664,43.8593333333,0.745848853973,44.324,43.8593333333,0.461509138534,43.9196363636,43.8593333333,0.417596907388,45.798,43.7681333333,0.390254655808,44.7664,43.7681333333,0.433202544919,44.324,43.7681333333,0.540726368086,43.9196363636,43.7681333333,0.508586233229,43.7912857143,43.7681333333,0.525744763023,45.798,43.8222222222,0.382559989993,44.7664,43.8222222222,0.559190937242,44.324,43.8222222222,0.580752503111,43.9196363636,43.8222222222,0.771120429193,43.7912857143,43.8222222222,0.758286673588,43.7957647059,43.8222222222,0.859420961978,45.798,43.6480952381,0.409205439974,44.7664,43.6480952381,0.517074850808,44.324,43.6480952381,0.614835766279,43.9196363636,43.6480952381,0.809598037692,43.7912857143,43.6480952381,0.829347103322,43.7957647059,43.6480952381,0.778188712688,43.744,43.6480952381,0.565917505092,45.798,43.1400833333,0.394694691008,44.7664,43.1400833333,0.397276362959,44.324,43.1400833333,0.75819714204,43.9196363636,43.1400833333,0.844105182518,43.7912857143,43.1400833333,0.719877565578,43.7957647059,43.1400833333,0.568933005321,43.744,43.1400833333,0.437181928084,43.3375652174,43.1400833333,0.383760618852
2016-02-19,1.63148479428,45.6,45.344,43.7768,0.61573923189,45.709,44.617,0.649389189479,44.85,44.617,0.606158738842,45.709,44.27,0.528620538544,44.85,44.27,0.727476801615,44.372,44.27,0.669702466469,45.709,43.8975,0.414968541731,44.85,43.8975,0.734889968478,44.372,43.8975,0.454728105384,43.9607272727,43.8975,0.411461084203,45.709,43.8088,0.384520577028,44.85,43.8088,0.426837425417,44.372,43.8088,0.532781382556,43.9607272727,43.8088,0.501113488229,43.8265714286,43.8088,0.518019904793,45.709,43.8388888889,0.376938970261,44.85,43.8388888889,0.550974648622,44.372,43.8388888889,0.572219406695,43.9607272727,43.8388888889,0.759790224097,43.8265714286,43.8388888889,0.74714503707,43.8147058824,43.8388888889,0.846793341966,45.709,43.6883809524,0.403192914062,44.85,43.6883809524,0.50947738109,44.372,43.6883809524,0.605801878616,43.9607272727,43.6883809524,0.797702474477,43.8265714286,43.6883809524,0.817161363688,43.8147058824,43.6883809524,0.766754652086,43.7768,43.6883809524,0.557602381854,45.709,43.19875,0.388895374027,44.85,43.19875,0.391439113028,44.372,43.19875,0.747056821024,43.9607272727,43.19875,0.831702599888,43.8265714286,43.19875,0.709300280691,43.8147058824,43.19875,0.560573574819,43.7768,43.19875,0.430758338821,43.3965217391,43.19875,0.378121958074
2016-02-22,1.65402504472,46.23,45.522,43.8129,0.624246155488,45.715,44.7073333333,0.658361013807,44.9588,44.7073333333,0.614533300365,45.715,44.3448888889,0.535923848616,44.9588,44.3448888889,0.737527467954,44.42675,44.3448888889,0.678954934755,45.715,43.9386666667,0.420701659742,44.9588,43.9386666667,0.745043053569,44.42675,43.9386666667,0.461010533156,44.02,43.9386666667,0.417145743919,45.715,43.85,0.389833032368,44.9588,43.85,0.432734521426,44.42675,43.85,0.540142177973,44.02,43.85,0.508036766685,43.8594285714,43.85,0.525176758741,45.715,43.8604444444,0.382146679719,44.9588,43.8604444444,0.558586798372,44.42675,43.8604444444,0.580125069551,44.02,43.8604444444,0.770287325877,43.8594285714,43.8604444444,0.757467435609,43.8361176471,43.8604444444,0.858492460507,45.715,43.733047619,0.40876334248,44.9588,43.733047619,0.516516213329,44.42675,43.733047619,0.614171509834,44.02,43.733047619,0.808723363927,43.8594285714,43.733047619,0.828451093055,43.8361176471,43.733047619,0.777347972937,43.8129,43.733047619,0.565306098971,45.715,43.2626666667,0.394268270642,44.9588,43.2626666667,0.396847153406,44.42675,43.2626666667,0.757378000788,44.02,43.2626666667,0.843193227913,43.8594285714,43.2626666667,0.719099824042,43.8361176471,43.2626666667,0.568318341313,43.8129,43.2626666667,0.436709605344,43.4595652174,43.2626666667,0.383346011442
2016-02-23,1.66440071556,46.52,45.71,43.855,0.628162040954,45.759,44.812,0.662490901196,45.0816,44.812,0.618388257257,45.759,44.4186666667,0.53928568976,45.0816,44.4186666667,0.742153965157,44.48675,44.4186666667,0.683214007459,45.759,43.9835,0.423340714064,45.0816,43.9835,0.749716695913,44.48675,43.9835,0.463902444352,44.0887272727,43.9835,0.419762492042,45.759,43.8861333333,0.392278448319,45.0816,43.8861333333,0.435449057685,44.48675,43.8861333333,0.543530480625,44.0887272727,43.8861333333,0.51122367264,43.9117142857,43.8861333333,0.528471183574,45.759,43.8848888889,0.38454387931,45.0816,43.8848888889,0.562090803813,44.48675,43.8848888889,0.583764184199,44.0887272727,43.8848888889,0.77511932511,43.9117142857,43.8848888889,0.762219015889,43.86,43.8848888889,0.863877769041,45.759,43.779047619,0.411327507943,45.0816,43.779047619,0.519756310708,44.48675,43.779047619,0.618024197219,44.0887272727,43.779047619,0.813796471769,43.9117142857,43.779047619,0.833647952604,43.86,43.779047619,0.782224263488,43.855,43.779047619,0.56885225447,45.759,43.3255,0.396741508766,45.0816,43.3255,0.399336568818,44.48675,43.3255,0.762129020045,44.0887272727,43.3255,0.848482564623,43.9117142857,43.3255,0.72361072495,43.86,43.3255,0.571883392557,43.855,43.3255,0.439449077236,43.5232173913,43.3255,0.385750734421
2016-02-24,1.69874776386,47.48,45.924,43.9077,0.641124972152,45.887,44.9566666667,0.676162252554,45.2876,44.9566666667,0.631149493864,45.887,44.4993333333,0.550414543203,45.2876,44.4993333333,0.757469266243,44.57375,44.4993333333,0.697313006753,45.887,44.061,0.43207689389,45.2876,44.061,0.76518806367,44.57375,44.061,0.473475667623,44.1778181818,44.061,0.428424830657,45.887,43.9296,0.400373618361,45.2876,43.9296,0.444435108746,44.57375,43.9296,0.554746930785,44.1778181818,43.9296,0.521773430287,43.9725714286,43.9296,0.53937686578,45.887,43.9218888889,0.392479436579,45.2876,43.9218888889,0.5736902701,44.57375,43.9218888889,0.59581090855,44.1778181818,43.9218888889,0.791114908775,43.9725714286,43.9218888889,0.77794838509,43.9005882353,43.9218888889,0.881704997293,45.887,43.8286666667,0.419815779818,45.2876,43.8286666667,0.53048215031,44.57375,43.8286666667,0.63077792098,44.1778181818,43.8286666667,0.830590208073,43.9725714286,43.8286666667,0.850851349735,43.9005882353,43.8286666667,0.79836646669,43.9077,43.8286666667,0.580591251983,45.887,43.4006666667,0.404928779798,45.2876,43.4006666667,0.40757739225,44.57375,43.4006666667,0.777856532067,44.1778181818,43.4006666667,0.865992093041,43.9725714286,43.4006666667,0.738543362438,43.9005882353,43.4006666667,0.5836849415,43.9077,43.4006666667,0.448517673842,43.5909565217,43.4006666667,0.393711196696
2016-02-25,1.72200357782,48.13,46.138,43.9578,0.649901956817,46.163,45.104,0.685418896702,45.5276,45.104,0.639789914484,46.163,44.5982222222,0.557949704389,45.5276,44.5982222222,0.767839001354,44.69625,44.5982222222,0.706859204192,46.163,44.159,0.437992015647,45.5276,44.159,0.775663468923,44.69625,44.159,0.479957537547,44.2945454545,44.159,0.43428995576,46.163,43.9913333333,0.405854723078,45.5276,43.9913333333,0.450519414152,44.69625,43.9913333333,0.562341402246,44.2945454545,43.9913333333,0.528916495361,44.0358571429,43.9913333333,0.546760921441,46.163,43.9622222222,0.397852470146,45.5276,43.9622222222,0.581544075398,44.69625,43.9622222222,0.60396754483,44.2945454545,43.9622222222,0.801945251881,44.0358571429,43.9622222222,0.78859847882,43.9561176471,43.9622222222,0.893775516422,46.163,43.8891428571,0.425563047233,45.5276,43.8891428571,0.537744437541,44.69625,43.8891428571,0.639413254776,44.2945454545,43.8891428571,0.84196096703,44.0358571429,43.8891428571,0.862499483208,43.9561176471,43.8891428571,0.809296083441,43.9578,43.8891428571,0.588539531549,46.163,43.4815,0.410472244559,45.5276,43.4815,0.413157116449,44.69625,43.4815,0.788505368331,44.2945454545,43.4815,0.877847502908,44.0358571429,43.4815,0.748654002404,43.9561176471,43.4815,0.591675573597,43.9578,43.4815,0.454657869462,43.6569565217,43.4815,0.399101093028
2016-02-26,1.6633273703,46.49,46.2165,43.9915,0.627756949354,46.287,45.2033333333,0.662063671466,45.6692,45.2033333333,0.617989468613,46.287,44.6606666667,0.53893791309,45.6692,44.6606666667,0.741675361998,44.77775,44.6606666667,0.682773413731,46.287,44.2115,0.423067708445,45.6692,44.2115,0.74923321567,44.77775,44.2115,0.463603281125,44.3812727273,44.2115,0.41949179396,46.287,44.0361333333,0.392025474255,45.6692,44.0361333333,0.435168243589,44.77775,44.0361333333,0.543179966558,44.3812727273,44.0361333333,0.510893992714,44.0698571429,44.0361333333,0.528130381005,46.287,43.99,0.384295893146,45.6692,43.99,0.561728320492,44.77775,43.99,0.583387724063,44.3812727273,43.99,0.77461946312,44.0698571429,43.99,0.761727473101,43.9891764706,43.99,0.863320668158,46.287,43.9288571429,0.411062249447,45.6692,43.9288571429,0.519421128221,44.77775,43.9288571429,0.617625643352,44.3812727273,43.9288571429,0.813271667509,44.0698571429,43.9288571429,0.833110346444,43.9891764706,43.9288571429,0.781719819638,43.9915,43.9288571429,0.568485410798,46.287,43.5454166667,0.396485656546,45.6692,43.5454166667,0.399079043085,44.77775,43.5454166667,0.761637535294,44.3812727273,43.5454166667,0.84793539186,44.0698571429,43.5454166667,0.723144080029,43.9891764706,43.5454166667,0.571514594152,43.9915,43.5454166667,0.439165683592,43.710173913,43.5454166667,0.385501969975
2016-02-29,1.67978533095,46.95,46.281,44.0238,0.633968353886,46.457,45.318,0.668614527325,45.8404,45.318,0.624104227821,46.457,44.7253333333,0.544270488698,45.8404,44.7253333333,0.749013943769,44.87575,44.7253333333,0.689529184226,46.457,44.2778333333,0.427253794611,45.8404,44.2778333333,0.756646579387,44.87575,44.2778333333,0.468190450609,44.4749090909,44.2778333333,0.42364249788,46.457,44.0764,0.3959044099,45.8404,44.0764,0.439474059723,44.87575,44.0764,0.548554515593,44.4749090909,44.0764,0.51594908492,44.1214285714,44.0764,0.533356020396,46.457,44.0182222222,0.38809834767,45.8404,44.0182222222,0.567286398087,44.87575,44.0182222222,0.589160112815,44.4749090909,44.0182222222,0.782284013626,44.1214285714,44.0182222222,0.76926446251,44.0248235294,44.0182222222,0.871862881696,46.457,43.9700952381,0.415129546387,45.8404,43.9700952381,0.52456059303,44.87575,43.9700952381,0.623736802654,44.4749090909,43.9700952381,0.821318666155,44.1214285714,43.9700952381,0.841353640902,44.0248235294,43.9700952381,0.789454625339,44.0238,43.9700952381,0.574110347106,46.457,43.6118333333,0.400408723916,45.8404,43.6118333333,0.40302777098,44.87575,43.6118333333,0.769173634805,44.4749090909,43.6118333333,0.856325374227,44.1214285714,43.6118333333,0.730299302159,44.0248235294,43.6118333333,0.577169503021,44.0238,43.6118333333,0.443511052799,43.7634782609,43.6118333333,0.389316358148
2016-03-01,1.67906976744,46.93,46.3085,44.0566,0.63369829282,46.592,45.434,0.668329707505,46.0072,45.434,0.623838368725,46.592,44.7877777778,0.544038637585,46.0072,44.7877777778,0.748694874996,44.9605,44.7877777778,0.689235455074,46.592,44.3476666667,0.427071790865,46.0072,44.3476666667,0.756324259226,44.9605,44.3476666667,0.467991008458,44.5656363636,44.3476666667,0.423462032492,46.592,44.1306666667,0.395735760524,46.0072,44.1306666667,0.439286850325,44.9605,44.1306666667,0.548320839548,44.5656363636,44.1306666667,0.515729298302,44.1744285714,44.1306666667,0.533128818683,46.592,44.0453333333,0.38793302356,46.0072,44.0453333333,0.56704474254,44.9605,44.0453333333,0.588909139391,44.5656363636,44.0453333333,0.7819507723,44.1744285714,44.0453333333,0.768936767318,44.0608235294,44.0453333333,0.871491481107,46.592,44.0140952381,0.414952707389,46.0072,44.0140952381,0.524337138038,44.9605,44.0140952381,0.623471100075,44.5656363636,44.0140952381,0.820968796649,44.1744285714,44.0140952381,0.840995236795,44.0608235294,44.0140952381,0.789118329439,44.0566,44.0140952381,0.573865784658,46.592,43.67625,0.400238155769,46.0072,43.67625,0.402856087158,44.9605,43.67625,0.768845978304,44.5656363636,43.67625,0.855960592385,44.1744285714,43.67625,0.729988205544,44.0608235294,43.67625,0.576923637418,44.0566,43.67625,0.443322123703,43.8193913043,43.67625,0.389150515184
2016-03-02,1.6801431127,46.96,46.29,44.0923,0.63410338442,46.757,45.5883333333,0.668756937235,46.1576,45.5883333333,0.624237157369,46.757,44.8535555556,0.544386414255,46.1576,44.8535555556,0.749173478155,45.039,44.8535555556,0.689676048802,46.757,44.4206666667,0.427344796484,46.1576,44.4206666667,0.756807739468,45.039,44.4206666667,0.468290171685,44.6376363636,44.4206666667,0.423732730574,46.757,44.1805333333,0.395988734588,46.1576,44.1805333333,0.439567664421,45.039,44.1805333333,0.548671353615,44.6376363636,44.1805333333,0.516058978229,44.2287142857,44.1805333333,0.533469621252,46.757,44.0778888889,0.388181009725,46.1576,44.0778888889,0.567407225861,45.039,44.0778888889,0.589285599527,44.6376363636,44.0778888889,0.78245063429,44.2287142857,44.0778888889,0.769428310106,44.0931764706,44.0778888889,0.87204858199,46.757,44.0593333333,0.415217965885,46.1576,44.0593333333,0.524672320526,45.039,44.0593333333,0.623869653943,44.6376363636,44.0593333333,0.821493600908,44.2287142857,44.0593333333,0.841532842956,44.0931764706,44.0593333333,0.789622773289,44.0923,44.0593333333,0.57423262833,46.757,43.7368333333,0.400494007989,46.1576,43.7368333333,0.403113612891,45.039,43.7368333333,0.769337463055,44.6376363636,43.7368333333,0.856507765148,44.2287142857,43.7368333333,0.730454850466,44.0931764706,43.7368333333,0.577292435823,44.0923,43.7368333333,0.443605517347,43.8729565217,43.7368333333,0.38939927963
2016-03-03,1.68157423971,47.0,46.3135,44.1229,0.634643506553,46.829,45.7506666667,0.669326576875,46.2836,45.7506666667,0.624768875561,46.829,44.9373333333,0.544850116482,46.2836,44.9373333333,0.7498116157,45.11775,44.9373333333,0.690263507106,46.829,44.5088333333,0.427708803977,46.2836,44.5088333333,0.757452379791,45.11775,44.5088333333,0.468689055988,44.6916363636,44.5088333333,0.424093661349,46.829,44.2245333333,0.39632603334,46.2836,44.2245333333,0.439942083215,45.11775,44.2245333333,0.549138705705,44.6916363636,44.2245333333,0.516498551464,44.2835714286,44.2245333333,0.533924024677,46.829,44.1177777778,0.388511657945,46.2836,44.1177777778,0.567890536957,45.11775,44.1177777778,0.589787546375,44.6916363636,44.1177777778,0.783117116942,44.2835714286,44.1177777778,0.770083700489,44.1282352941,44.1177777778,0.872791383167,46.829,44.0962857143,0.41557164388,46.2836,44.0962857143,0.525119230509,45.11775,44.0962857143,0.6244010591,44.6916363636,44.0962857143,0.822193339921,44.2835714286,44.0962857143,0.842249651169,44.1282352941,44.0962857143,0.790295365089,44.1229,44.0962857143,0.574721753226,46.829,43.7906666667,0.400835144282,46.2836,43.7906666667,0.403456980534,45.11775,43.7906666667,0.769992776056,44.6916363636,43.7906666667,0.857237328832,44.2835714286,43.7906666667,0.731077043694,44.1282352941,43.7906666667,0.577784167028,44.1229,43.7906666667,0.443983375539,43.9246956522,43.7906666667,0.389730965558
