,indexed,inst_price,sa_20_100,la_20_100,20_100,sa_10_30,la_10_30,10_30,sa_25_30,la_25_30,25_30,sa_10_45,la_10_45,10_45,sa_25_45,la_25_45,25_45,sa_40_45,la_40_45,40_45,sa_10_60,la_10_60,10_60,sa_25_60,la_25_60,25_60,sa_40_60,la_40_60,40_60,sa_55_60,la_55_60,55_60,sa_10_75,la_10_75,10_75,sa_25_75,la_25_75,25_75,sa_40_75,la_40_75,40_75,sa_55_75,la_55_75,55_75,sa_70_75,la_70_75,70_75,sa_10_90,la_10_90,10_90,sa_25_90,la_25_90,25_90,sa_40_90,la_40_90,40_90,sa_55_90,la_55_90,55_90,sa_70_90,la_70_90,70_90,sa_85_90,la_85_90,85_90,sa_10_105,la_10_105,10_105,sa_25_105,la_25_105,25_105,sa_40_105,la_40_105,40_105,sa_55_105,la_55_105,55_105,sa_70_105,la_70_105,70_105,sa_85_105,la_85_105,85_105,sa_100_105,la_100_105,100_105
2017-06-22,2.47349733705,195.06,191.6525,184.6912,0.977028769604,192.751,189.297666667,0.835585764567,190.4936,189.297666667,1.08765709356,192.751,187.183777778,0.77689665825,190.4936,187.183777778,1.01678338846,187.987,187.183777778,1.13265631154,192.751,186.310833333,1.03282276829,190.4936,186.310833333,1.03072783395,187.987,186.310833333,0.895587774834,186.566363636,186.310833333,0.84762612261,192.751,185.746266667,1.00552291033,190.4936,185.746266667,1.16915095665,187.987,185.746266667,0.972399402282,186.566363636,185.746266667,0.551910839548,185.883857143,185.746266667,0.872010414044,192.751,185.340555556,1.39992173933,190.4936,185.340555556,0.99428284229,187.987,185.340555556,0.703528376428,186.566363636,185.340555556,0.620972809575,185.883857143,185.340555556,0.896846753389,185.559764706,185.340555556,0.814305533433,192.751,184.318571429,1.12256955101,190.4936,184.318571429,0.826991408025,187.987,184.318571429,0.735050157467,186.566363636,184.318571429,0.707306956561,185.883857143,184.318571429,0.918448322651,185.559764706,184.318571429,1.3770376305,184.6912,184.318571429,0.922875122302
2017-06-23,2.47463860005,195.15,192.086,184.849,0.977479567253,193.066,189.648666667,0.835971300909,190.9344,189.648666667,1.08815893472,193.066,187.402888889,0.777255115644,190.9344,187.402888889,1.01725252875,188.1915,187.402888889,1.13317891519,193.066,186.506,1.03329930909,190.9344,186.506,1.03120340816,188.1915,186.506,0.896000995893,186.767090909,186.506,0.848017214331,193.066,185.877466667,1.00598685507,190.9344,185.877466667,1.1696903988,188.1915,185.877466667,0.972848063956,186.767090909,185.877466667,0.552165489274,186.046142857,185.877466667,0.872412756591,193.066,185.498888889,1.40056765831,190.9344,185.498888889,0.994741600907,188.1915,185.498888889,0.703852981954,186.767090909,185.498888889,0.621259324252,186.046142857,185.498888889,0.897260555336,185.697764706,185.498888889,0.814681251151,193.066,184.507809524,1.12308750067,190.9344,184.507809524,0.827372978961,188.1915,184.507809524,0.735389307032,186.767090909,184.507809524,0.70763330551,186.046142857,184.507809524,0.918872091486,185.697764706,184.507809524,1.37767299083,184.849,184.507809524,0.923300933647
2017-06-26,2.46918589906,194.72,192.498,185.0126,0.975325756267,193.438,189.968333333,0.834129293943,191.3324,189.968333333,1.08576124914,193.438,187.795111111,0.775542485873,191.3324,187.795111111,1.0150110807,188.4,187.795111111,1.13068203108,193.438,186.68,1.03102250303,191.3324,186.68,1.02893122027,188.4,186.68,0.894026717501,186.961272727,186.68,0.846148664999,193.438,186.0084,1.00377023018,191.3324,186.0084,1.16711306408,188.4,186.0084,0.970704458179,186.961272727,186.0084,0.550948829472,186.218857143,186.0084,0.87049045331,193.438,185.652444444,1.39748160095,191.3324,185.652444444,0.992549754182,188.4,185.652444444,0.702302088885,186.961272727,185.652444444,0.619890420796,186.218857143,185.652444444,0.895283501589,185.837764706,185.652444444,0.812886155389,193.438,184.697333333,1.12061285232,191.3324,184.697333333,0.825549917823,188.4,184.697333333,0.733768925776,186.961272727,184.697333333,0.706074082751,186.218857143,184.697333333,0.916847418161,185.837764706,184.697333333,1.37463738034,185.0126,184.697333333,0.921266501664
2017-06-27,2.47260968805,194.99,192.844,185.1744,0.976678149211,193.701,190.376333333,0.835285902968,191.6672,190.376333333,1.08726677265,193.701,188.148888889,0.776617858055,191.6672,188.148888889,1.01641850157,188.64275,188.148888889,1.13224984203,193.701,186.878666667,1.03245212544,191.6672,186.878666667,1.0303579429,188.64275,186.878666667,0.895266380677,187.165090909,186.878666667,0.847321940161,193.701,186.168533333,1.00516206441,191.6672,186.168533333,1.16873139053,188.64275,186.168533333,0.972050443202,187.165090909,186.168533333,0.55171277865,186.414142857,186.168533333,0.871697480952,193.701,185.796555556,1.3994193579,191.6672,185.796555556,0.993926030033,188.64275,185.796555556,0.703275905463,187.165090909,185.796555556,0.620749964826,186.414142857,185.796555556,0.89652490743,185.978235294,185.796555556,0.814013308542,193.701,184.865904762,1.12216670128,191.6672,184.865904762,0.82669463063,188.64275,184.865904762,0.734786374471,187.165090909,184.865904762,0.7070531296,186.414142857,184.865904762,0.918118724668,185.978235294,184.865904762,1.37654346135,185.1744,184.865904762,0.9225439357
2017-06-28,2.47159523206,194.91,193.128,185.3429,0.976277440191,193.94,190.824,0.834943203998,191.9836,190.824,1.08682069161,193.94,188.484444444,0.77629922926,191.9836,188.484444444,1.01600148798,188.9215,188.484444444,1.13178530545,193.94,187.072,1.03202853361,191.9836,187.072,1.02993521027,188.9215,187.072,0.894899073069,187.377636364,187.072,0.846974303076,193.94,186.3068,1.00474966908,191.9836,186.3068,1.1682518864,188.9215,186.3068,0.971651632825,187.377636364,186.3068,0.551486423338,186.589428571,186.3068,0.871339843132,193.94,185.940555556,1.39884520769,191.9836,185.940555556,0.993518244596,188.9215,185.940555556,0.702987367218,187.377636364,185.940555556,0.620495285114,186.589428571,185.940555556,0.896157083477,186.090823529,185.940555556,0.813679337237,193.94,185.017714286,1.12170630159,191.9836,185.017714286,0.826355456465,188.9215,185.017714286,0.734484908191,187.377636364,185.017714286,0.706763041645,186.589428571,185.017714286,0.917742041258,186.090823529,185.017714286,1.37597869661,185.3429,185.017714286,0.922165436726
2017-06-29,2.4502916561,193.23,193.148,185.4971,0.967862550757,194.078,191.178,0.827746525619,192.242,191.178,1.07745298979,194.078,188.721777778,0.769608024575,192.242,188.721777778,1.00724420256,189.13075,188.721777778,1.12203003731,194.078,187.235833333,1.02313310528,192.242,187.235833333,1.02105782505,189.13075,187.235833333,0.887185613305,187.571090909,187.235833333,0.83967392429,194.078,186.464933333,0.996089367181,192.242,186.464933333,1.15818229957,189.13075,186.464933333,0.963276614903,187.571090909,186.464933333,0.546732961786,186.725428571,186.464933333,0.863829448917,194.078,186.062,1.38678805337,192.242,186.062,0.984954750414,189.13075,186.062,0.696928064068,187.571090909,186.062,0.615147011146,186.725428571,186.062,0.888432780465,186.190823529,186.062,0.806665939841,194.078,185.163047619,1.11203790804,192.242,185.163047619,0.819232798998,189.13075,185.163047619,0.728154116309,187.571090909,185.163047619,0.700671194587,186.725428571,185.163047619,0.909831689664,186.190823529,185.163047619,1.36411863704,185.4971,185.163047619,0.914216958282
2017-06-30,2.47413137205,195.11,193.2505,185.6679,0.977279212742,194.46,191.544,0.835799951424,192.5872,191.544,1.08793589421,194.46,188.902666667,0.777095801247,192.5872,188.902666667,1.01704402196,189.3735,188.902666667,1.1329466469,194.46,187.419166667,1.03308751318,192.5872,187.419166667,1.03099204184,189.3735,187.419166667,0.895817342089,187.798727273,187.419166667,0.847843395788,194.46,186.615866667,1.00578065741,192.5872,186.615866667,1.16945064674,189.3735,186.615866667,0.972648658768,187.798727273,186.615866667,0.552052311618,186.886,186.615866667,0.872233937681,194.46,186.191888889,1.4002805832,192.5872,186.191888889,0.994537708189,189.3735,186.191888889,0.703708712831,187.798727273,186.191888889,0.621131984396,186.886,186.191888889,0.89707664336,186.313411765,186.191888889,0.814514265499,194.46,185.312952381,1.12285730082,192.5872,185.312952381,0.827203391878,189.3735,185.312952381,0.735238573892,187.798727273,185.312952381,0.707488261533,186.886,185.312952381,0.918683749781,186.313411765,185.312952381,1.37739060846,185.6679,185.312952381,0.92311168416
2017-07-03,2.46804463606,194.63,193.3285,185.8287,0.974874958618,194.575,191.872666667,0.833743757601,192.9132,191.872666667,1.08525940797,194.575,189.086,0.775184028479,192.9132,189.086,1.01454194041,189.67375,189.086,1.13015942743,194.575,187.595666667,1.03054596223,192.9132,187.595666667,1.02845564607,189.67375,187.595666667,0.893613496442,187.992727273,187.595666667,0.845757573278,194.575,186.775866667,1.00330628543,192.9132,186.775866667,1.16657362193,189.67375,186.775866667,0.970255796504,187.992727273,186.775866667,0.550694179746,187.041285714,186.775866667,0.870088110763,194.575,186.323111111,1.39683568197,192.9132,186.323111111,0.992090995565,189.67375,186.323111111,0.70197748336,187.992727273,186.323111111,0.619603906119,187.041285714,186.323111111,0.894869699642,186.432705882,186.323111111,0.812510437671,194.575,185.467904762,1.12009490266,192.9132,185.467904762,0.825168346888,189.67375,185.467904762,0.733429776211,187.992727273,185.467904762,0.705747733802,187.041285714,185.467904762,0.916423649326,186.432705882,185.467904762,1.37400202001,185.8287,185.467904762,0.920840690319
2017-07-04,2.46804463606,194.63,193.465,185.9873,0.974874958618,194.592,192.139666667,0.833743757601,193.1756,192.139666667,1.08525940797,194.592,189.293777778,0.775184028479,193.1756,189.293777778,1.01454194041,190.023,189.293777778,1.13015942743,194.592,187.7765,1.03054596223,193.1756,187.7765,1.02845564607,190.023,187.7765,0.893613496442,188.197272727,187.7765,0.845757573278,194.592,186.953333333,1.00330628543,193.1756,186.953333333,1.16657362193,190.023,186.953333333,0.970255796504,188.197272727,186.953333333,0.550694179746,187.194285714,186.953333333,0.870088110763,194.592,186.451777778,1.39683568197,193.1756,186.451777778,0.992090995565,190.023,186.451777778,0.70197748336,188.197272727,186.451777778,0.619603906119,187.194285714,186.451777778,0.894869699642,186.558470588,186.451777778,0.812510437671,194.592,185.618571429,1.12009490266,193.1756,185.618571429,0.825168346888,190.023,185.618571429,0.733429776211,188.197272727,185.618571429,0.705747733802,187.194285714,185.618571429,0.916423649326,186.558470588,185.618571429,1.37400202001,185.9873,185.618571429,0.920840690319
2017-07-05,2.497844281,196.98,193.6845,186.1562,0.9866457861,194.941,192.472333333,0.843810539857,193.4856,192.472333333,1.09836303849,194.941,189.587555556,0.784543749319,193.4856,189.587555556,1.02679171465,190.4535,189.587555556,1.14380518941,194.941,188.005833333,1.0429889721,193.4856,188.005833333,1.04087341706,190.4535,188.005833333,0.904403157423,188.430363636,188.005833333,0.855969412651,194.941,187.144533333,1.01542039822,193.4856,187.144533333,1.18065905589,190.4535,187.144533333,0.981970851335,188.430363636,187.144533333,0.557343367037,187.381571429,187.144533333,0.880593721718,194.941,186.581111111,1.41370134427,193.4856,186.581111111,1.00406969278,190.4535,186.581111111,0.710453294313,188.430363636,186.581111111,0.627085122681,187.381571429,186.581111111,0.905674528261,186.710470588,186.581111111,0.822320844744,194.941,185.798761905,1.13361914364,193.4856,185.798761905,0.835131587987,190.4535,185.798761905,0.742285348189,188.430363636,185.798761905,0.714269067483,187.381571429,185.798761905,0.927488724473,186.710470588,185.798761905,1.39059198429,186.1562,185.798761905,0.931959097668
