,indexed,inst_price,sa_20_100,la_20_100,20_100,sa_10_30,la_10_30,10_30,sa_25_30,la_25_30,25_30,sa_10_45,la_10_45,10_45,sa_25_45,la_25_45,25_45,sa_40_45,la_40_45,40_45,sa_10_60,la_10_60,10_60,sa_25_60,la_25_60,25_60,sa_40_60,la_40_60,40_60,sa_55_60,la_55_60,55_60,sa_10_75,la_10_75,10_75,sa_25_75,la_25_75,25_75,sa_40_75,la_40_75,40_75,sa_55_75,la_55_75,55_75,sa_70_75,la_70_75,70_75,sa_10_90,la_10_90,10_90,sa_25_90,la_25_90,25_90,sa_40_90,la_40_90,40_90,sa_55_90,la_55_90,55_90,sa_70_90,la_70_90,70_90,sa_85_90,la_85_90,85_90,sa_10_105,la_10_105,10_105,sa_25_105,la_25_105,25_105,sa_40_105,la_40_105,40_105,sa_55_105,la_55_105,55_105,sa_70_105,la_70_105,70_105,sa_85_105,la_85_105,85_105,sa_100_105,la_100_105,100_105
2012-02-16,1.22516046213,95.44,93.2635,87.3578,1.13533836024,94.217,90.8813333333,0.851546742861,91.9072,90.8813333333,0.95539988346,94.217,89.0984444444,1.1722952733,91.9072,89.0984444444,1.19386414656,89.5485,89.0984444444,1.26962439051,94.217,88.1681666667,1.298373842,91.9072,88.1681666667,1.28823858759,89.5485,88.1681666667,1.35609575829,88.4330909091,88.1681666667,1.30527098289,94.217,87.8034666667,1.22852730075,91.9072,87.8034666667,1.28280247954,89.5485,87.8034666667,1.19776448896,88.4330909091,87.8034666667,0.993491167655,87.8,87.8034666667,1.03558429568,94.217,87.527,1.30488462155,91.9072,87.527,1.12487508189,89.5485,87.527,0.950535491087,88.4330909091,87.527,1.08417200417,87.8,87.527,0.903734823916,87.6303529412,87.527,1.03262735764,94.217,87.3865714286,1.260447813,91.9072,87.3865714286,0.920945320663,89.5485,87.3865714286,0.936172078587,88.4330909091,87.3865714286,1.04704470234,87.8,87.3865714286,0.945806464626,87.6303529412,87.3865714286,0.863597464039,87.3578,87.3865714286,0.840995624884
2012-02-17,1.22631578947,95.53,93.5395,87.4377,1.13640898527,94.422,91.2096666667,0.852349752153,92.3104,91.2096666667,0.956300826351,94.422,89.3066666667,1.17340074872,92.3104,89.3066666667,1.19498996145,89.80875,89.3066666667,1.27082164738,94.422,88.3708333333,1.29959820962,92.3104,88.3708333333,1.28945339766,89.80875,88.3708333333,1.35737455773,88.6116363636,88.3708333333,1.30650185453,94.422,87.9132,1.22968580302,92.3104,87.9132,1.28401216336,89.80875,87.9132,1.19889398188,88.6116363636,87.9132,0.994428030659,87.8948571429,87.9132,1.03656085254,94.422,87.6265555556,1.30611512885,92.3104,87.6265555556,1.12593584003,89.80875,87.6265555556,0.951431846852,88.6116363636,87.6265555556,1.08519437927,87.8948571429,87.6265555556,0.904587046612,87.7275294118,87.6265555556,1.03360112611,94.422,87.4791428571,1.26163641635,92.3104,87.4791428571,0.921813772872,89.80875,87.4791428571,0.937054889642,88.6116363636,87.4791428571,1.04803206637,87.8948571429,87.4791428571,0.946698360915,87.7275294118,87.4791428571,0.864411837171,87.4377,87.4791428571,0.840202565304
2012-02-20,1.22631578947,95.53,93.8145,87.5464,1.13640898527,94.652,91.5456666667,0.852349752153,92.7136,91.5456666667,0.956300826351,94.652,89.5344444444,1.17340074872,92.7136,89.5344444444,1.19498996145,90.069,89.5344444444,1.27082164738,94.652,88.5515,1.29959820962,92.7136,88.5515,1.28945339766,90.069,88.5515,1.35737455773,88.7756363636,88.5515,1.30650185453,94.652,88.0121333333,1.22968580302,92.7136,88.0121333333,1.28401216336,90.069,88.0121333333,1.19889398188,88.7756363636,88.0121333333,0.994428030659,88.0032857143,88.0121333333,1.03656085254,94.652,87.7514444444,1.30611512885,92.7136,87.7514444444,1.12593584003,90.069,87.7514444444,0.951431846852,88.7756363636,87.7514444444,1.08519437927,88.0032857143,87.7514444444,0.904587046612,87.8078823529,87.7514444444,1.03360112611,94.652,87.5557142857,1.26163641635,92.7136,87.5557142857,0.921813772872,90.069,87.5557142857,0.937054889642,88.7756363636,87.5557142857,1.04803206637,88.0032857143,87.5557142857,0.946698360915,87.8078823529,87.5557142857,0.864411837171,87.5464,87.5557142857,0.840202565304
2012-02-21,1.20731707317,94.05,93.9245,87.63,1.11880315152,94.753,91.8223333333,0.839144710457,93.0408,91.8223333333,0.941485321033,94.753,89.6737777778,1.1552218195,93.0408,89.6737777778,1.17647656102,90.28025,89.6737777778,1.25113342338,94.753,88.7228333333,1.27946416429,93.0408,88.7228333333,1.26947652099,90.28025,88.7228333333,1.33634541144,88.924,88.7228333333,1.28626085437,94.753,88.0750666667,1.21063487673,93.0408,88.0750666667,1.26411958509,90.28025,88.0750666667,1.18032009836,88.924,88.0750666667,0.97902183904,88.0904285714,88.0750666667,1.02050191753,94.753,87.844,1.28588012005,93.0408,87.844,1.10849226165,90.28025,87.844,0.936691774275,88.924,87.844,1.0683819886,88.0904285714,87.844,0.890572717826,87.8825882353,87.844,1.0175880447,94.753,87.600952381,1.24209049469,93.0408,87.600952381,0.907532558763,90.28025,87.600952381,0.922537552296,88.924,87.600952381,1.0317954134,88.0904285714,87.600952381,0.932031621942,87.8825882353,87.600952381,0.851019923437,87.63,87.600952381,0.85321941652
2012-02-22,1.20731707317,94.05,93.9515,87.7144,1.11880315152,94.883,92.0963333333,0.839144710457,93.3516,92.0963333333,0.941485321033,94.883,89.8962222222,1.1552218195,93.3516,89.8962222222,1.17647656102,90.51925,89.8962222222,1.25113342338,94.883,88.8371666667,1.27946416429,93.3516,88.8371666667,1.26947652099,90.51925,88.8371666667,1.33634541144,89.0681818182,88.8371666667,1.28626085437,94.883,88.1688,1.21063487673,93.3516,88.1688,1.26411958509,90.51925,88.1688,1.18032009836,89.0681818182,88.1688,0.97902183904,88.1925714286,88.1688,1.02050191753,94.883,87.9247777778,1.28588012005,93.3516,87.9247777778,1.10849226165,90.51925,87.9247777778,0.936691774275,89.0681818182,87.9247777778,1.0683819886,88.1925714286,87.9247777778,0.890572717826,88.0078823529,87.9247777778,1.0175880447,94.883,87.6555238095,1.24209049469,93.3516,87.6555238095,0.907532558763,90.51925,87.6555238095,0.922537552296,89.0681818182,87.6555238095,1.0317954134,88.1925714286,87.6555238095,0.932031621942,88.0078823529,87.6555238095,0.851019923437,87.7144,87.6555238095,0.85321941652
2012-02-23,1.20346598203,93.75,93.977,87.8011,1.11523440143,95.027,92.353,0.836468012816,93.5272,92.353,0.938482178064,95.027,90.1077777778,1.15153690142,93.5272,90.1077777778,1.17272384472,90.7185,90.1077777778,1.24714256717,95.027,88.9455,1.27538293889,93.5272,88.9455,1.2654271541,90.7185,88.9455,1.33208274665,89.2432727273,88.9455,1.28215794894,95.027,88.2521333333,1.20677320249,93.5272,88.2521333333,1.26008730571,90.7185,88.2521333333,1.17655512196,89.2432727273,88.2521333333,0.97589896236,88.3022857143,88.2521333333,1.017246728,95.027,88.0165555556,1.28177842907,93.5272,88.0165555556,1.10495640116,90.7185,88.0165555556,0.933703921725,89.2432727273,88.0165555556,1.06497407157,88.3022857143,88.0165555556,0.887731975504,88.1044705882,88.0165555556,1.01434214982,95.027,87.7018095238,1.23812848354,93.5272,87.7018095238,0.904637718065,90.7185,87.7018095238,0.91959484878,89.2432727273,87.7018095238,1.02850419996,88.3022857143,87.7018095238,0.929058634312,88.1044705882,87.7018095238,0.848305346329,87.8011,87.7018095238,0.850497823485
2012-02-24,1.20757381258,94.07,94.0145,87.9025,1.11904106819,94.867,92.6403333333,0.839323156967,93.6896,92.6403333333,0.941685530565,94.867,90.3066666667,1.15546748071,93.6896,90.3066666667,1.17672674211,90.93275,90.3066666667,1.25139948047,94.867,89.0848333333,1.27973624599,93.6896,89.0848333333,1.26974647878,90.93275,89.0848333333,1.33662958909,89.3954545455,89.0848333333,1.2865343814,94.867,88.3212,1.21089232168,93.6896,88.3212,1.26438840372,90.93275,88.3212,1.18057109678,89.3954545455,88.3212,0.979230030819,88.4282857143,88.3212,1.02071893016,94.867,88.0921111111,1.28615356611,93.6896,88.0921111111,1.10872798568,90.93275,88.0921111111,0.936890964444,89.3954545455,88.0921111111,1.06860918307,88.4282857143,88.0921111111,0.890762100647,88.1781176471,88.0921111111,1.01780443769,94.867,87.764,1.24235462876,93.6896,87.764,0.907725548143,90.93275,87.764,0.92273373253,89.3954545455,87.764,1.03201482763,88.4282857143,87.764,0.932229821117,88.1781176471,87.764,0.851200895244,87.9025,87.764,0.853400856056
2012-02-27,1.20718870347,94.04,94.11,87.9786,1.11868419318,94.734,92.9266666667,0.839055487203,93.85,92.9266666667,0.941385216268,94.734,90.5048888889,1.1550989889,93.85,90.5048888889,1.17635147047,91.14625,90.5048888889,1.25100039484,94.734,89.2103333333,1.27932812345,93.85,89.2103333333,1.26934154209,91.14625,89.2103333333,1.33620332261,89.5674545455,89.2103333333,1.28612409086,94.734,88.4025333333,1.21050615426,93.85,88.4025333333,1.26398517578,91.14625,88.4025333333,1.18019459914,89.5674545455,88.4025333333,0.978917743151,88.5684285714,88.4025333333,1.02039341121,94.734,88.1514444444,1.28574339701,93.85,88.1514444444,1.10837439963,91.14625,88.1514444444,0.93659217919,89.5674545455,88.1514444444,1.06826839136,88.5684285714,88.1514444444,0.890478026415,88.2732941176,88.1514444444,1.01747984821,94.734,87.8533333333,1.24195842765,93.85,87.8533333333,0.907436064073,91.14625,87.8533333333,0.922439462178,89.5674545455,87.8533333333,1.03168570629,88.5684285714,87.8533333333,0.931932522354,88.2732941176,87.8533333333,0.850929437534,87.9786,87.8533333333,0.853128696752
2012-02-28,1.20860077022,94.15,94.1915,88.0628,1.11999273488,94.587,93.2026666667,0.840036943004,93.942,93.2026666667,0.94248636869,94.587,90.6948888889,1.15645012553,93.942,90.6948888889,1.17772746645,91.34075,90.6948888889,1.25246370879,94.587,89.348,1.28082457276,93.942,89.348,1.27082630995,91.34075,89.348,1.3377662997,89.744,89.348,1.28762848952,94.587,88.4852,1.21192210148,93.942,88.4852,1.26546367822,91.34075,88.4852,1.18157509049,89.744,88.4852,0.980062797933,88.7148571429,88.4852,1.0215869807,94.587,88.2231111111,1.28724735037,93.942,88.2231111111,1.10967088181,91.34075,88.2231111111,0.937687725124,89.744,88.2231111111,1.06951796094,88.7148571429,88.2231111111,0.891519631933,88.3934117647,88.2231111111,1.01867000966,94.587,87.9339047619,1.24341116507,93.942,87.9339047619,0.908497505662,91.34075,87.9339047619,0.923518453468,89.744,87.9339047619,1.03289248455,88.7148571429,87.9339047619,0.933022617818,88.3934117647,87.9339047619,0.851924782473,88.0628,87.9339047619,0.854126614199
2012-02-29,1.20179717587,93.62,94.183,88.1319,1.11368794306,94.423,93.4473333333,0.835308110505,93.9464,93.4473333333,0.93718081611,94.423,90.8977777778,1.14994010358,93.9464,90.8977777778,1.17109766765,91.52925,90.8977777778,1.24541319614,94.423,89.473,1.27361440788,93.9464,89.473,1.26367242844,91.52925,89.473,1.3302355919,89.9078181818,89.473,1.28038002325,94.423,88.5748,1.20509981031,93.9464,88.5748,1.25833998465,91.52925,88.5748,1.1749236322,89.9078181818,88.5748,0.974545715799,88.8752857143,88.5748,1.01583614587,94.423,88.3366666667,1.28000102965,93.9464,88.3366666667,1.10342419495,91.52925,88.3366666667,0.93240918562,89.9078181818,88.3366666667,1.06349730752,88.8752857143,88.3366666667,0.886500987165,88.4881176471,88.3366666667,1.01293559537,94.423,88.0101904762,1.23641161204,93.9464,88.0101904762,0.903383287096,91.52925,88.0101904762,0.918319677256,89.9078181818,88.0101904762,1.02707800747,88.8752857143,88.0101904762,0.927770339672,88.4881176471,88.0101904762,0.847129029582,88.1319,88.0101904762,0.849318466503
