,indexed,inst_price,sa_20_100,la_20_100,20_100,sa_10_30,la_10_30,10_30,sa_25_30,la_25_30,25_30,sa_10_45,la_10_45,10_45,sa_25_45,la_25_45,25_45,sa_40_45,la_40_45,40_45,sa_10_60,la_10_60,10_60,sa_25_60,la_25_60,25_60,sa_40_60,la_40_60,40_60,sa_55_60,la_55_60,55_60,sa_10_75,la_10_75,10_75,sa_25_75,la_25_75,25_75,sa_40_75,la_40_75,40_75,sa_55_75,la_55_75,55_75,sa_70_75,la_70_75,70_75,sa_10_90,la_10_90,10_90,sa_25_90,la_25_90,25_90,sa_40_90,la_40_90,40_90,sa_55_90,la_55_90,55_90,sa_70_90,la_70_90,70_90,sa_85_90,la_85_90,85_90,sa_10_105,la_10_105,10_105,sa_25_105,la_25_105,25_105,sa_40_105,la_40_105,40_105,sa_55_105,la_55_105,55_105,sa_70_105,la_70_105,70_105,sa_85_105,la_85_105,85_105,sa_100_105,la_100_105,100_105
2016-08-29,2.17205998421,55.04,52.124,53.1084,0.535049823751,53.511,53.039,0.13719533228,52.116,53.039,0.689410851439,53.511,53.9477777778,0.237566843094,52.116,53.9477777778,0.237202526266,53.82775,53.9477777778,0.590484223163,53.511,53.9308333333,0.198100788041,52.116,53.9308333333,1.06530076271,53.82775,53.9308333333,0.412171998665,53.9218181818,53.9308333333,1.37821034901,53.511,53.752,0.443425039798,52.116,53.752,0.570806569917,53.82775,53.752,0.651953538073,53.9218181818,53.752,0.654406130006,53.9395714286,53.752,0.956707723756,53.511,53.3106666667,0.589053861416,52.116,53.3106666667,0.605994501882,53.82775,53.3106666667,0.513601480956,53.9218181818,53.3106666667,0.521294206689,53.9395714286,53.3106666667,0.666446757075,53.366,53.3106666667,0.577607249038,53.511,53.0998095238,0.340245547266,52.116,53.0998095238,0.299372849929,53.82775,53.0998095238,0.655333384515,53.9218181818,53.0998095238,0.527416899758,53.9395714286,53.0998095238,0.436048601764,53.366,53.0998095238,0.926995965925,53.1084,53.0998095238,0.962695357285
2016-08-30,2.16614048934,54.89,52.3705,53.1519,0.536507990058,53.8,52.9536666667,0.136821435117,51.988,52.9536666667,0.691289696419,53.8,53.9886666667,0.238214281801,51.988,53.9886666667,0.237848972105,53.84375,53.9886666667,0.588874982003,53.8,53.9315,0.198640670276,51.988,53.9315,1.06820401697,53.84375,53.9315,0.413295287178,53.9623636364,53.9315,1.38196637286,53.8,53.8044,0.444633501934,51.988,53.8044,0.572362183752,53.84375,53.8044,0.65017677516,53.9623636364,53.8044,0.652622683067,53.9708571429,53.8044,0.954100417096,53.8,53.3354444444,0.587448518407,51.988,53.3354444444,0.607646013061,53.84375,53.3354444444,0.512201767617,53.9623636364,53.3354444444,0.519873528437,53.9708571429,53.3354444444,0.664630495927,53.4245882353,53.3354444444,0.576033101376,53.8,53.1164761905,0.339318279241,51.988,53.1164761905,0.300188727972,53.84375,53.1164761905,0.653547410538,53.9623636364,53.1164761905,0.525979535387,53.9708571429,53.1164761905,0.434860242566,53.4245882353,53.1164761905,0.924469632442,53.1519,53.1164761905,0.960071732583
2016-08-31,2.16653512234,54.9,52.6435,53.183,0.536410247666,54.056,52.856,0.136846361595,52.1636,52.856,0.691163755502,54.056,53.9962222222,0.238170883317,52.1636,53.9962222222,0.237805640173,53.84225,53.9962222222,0.588982264747,54.056,53.9311666667,0.198604481412,52.1636,53.9311666667,1.06800940884,53.84225,53.9311666667,0.41321999199,53.992,53.9311666667,1.38221814301,54.056,53.8568,0.44455249747,52.1636,53.8568,0.572257909352,53.84225,53.8568,0.650295226021,53.992,53.8568,0.65274157953,54.0,53.8568,0.95427423754,54.056,53.336,0.587555541274,52.1636,53.336,0.607535310562,53.84225,53.336,0.51229508184,53.992,53.336,0.51996824032,54.0,53.336,0.664751580004,53.4876470588,53.336,0.576138044553,54.056,53.1176190476,0.339380097109,52.1636,53.1176190476,0.300134038825,53.84225,53.1176190476,0.65366647547,53.992,53.1176190476,0.526075359679,54.0,53.1176190476,0.434939466513,53.4876470588,53.1176190476,0.924638054675,53.183,53.1176190476,0.960246640896
2016-09-01,2.17324388319,55.07,52.9255,53.217,0.534749232327,54.328,52.785,0.137270111713,52.3388,52.785,0.689023539865,54.328,53.9771111111,0.238908388784,52.3388,53.9771111111,0.237069265695,53.8455,53.9771111111,0.590806071395,54.328,53.925,0.199219467967,52.3388,53.925,1.06470227588,53.8455,53.925,0.411940440103,54.0167272727,53.925,1.38649823562,54.328,53.9153333333,0.445929071688,52.3388,53.9153333333,0.570485890325,53.8455,53.9153333333,0.652308890655,54.0167272727,53.9153333333,0.654762819393,54.0155714286,53.9153333333,0.957229185088,54.328,53.3655555556,0.589374930017,52.3388,53.3655555556,0.605654053681,53.8455,53.3655555556,0.513881423624,54.0167272727,53.3655555556,0.521578342339,54.0155714286,53.3655555556,0.666810009304,53.5530588235,53.3655555556,0.577922078571,54.328,53.1346666667,0.340431000871,52.3388,53.1346666667,0.29920466202,53.8455,53.1346666667,0.65569057931,54.0167272727,53.1346666667,0.527704372632,54.0155714286,53.1346666667,0.436286273604,53.5530588235,53.1346666667,0.927501232622,53.217,53.1346666667,0.963220082225
2016-09-02,2.18350434096,55.33,53.159,53.261,0.53222454011,54.566,52.6996666667,0.137918200128,52.5308,52.6996666667,0.685770477937,54.566,53.9733333333,0.240036338323,52.5308,53.9733333333,0.235949999142,53.81925,53.9733333333,0.59359542274,54.566,53.9683333333,0.200160035638,52.5308,53.9683333333,1.05967553552,53.81925,53.9683333333,0.409995560596,54.0556363636,53.9683333333,1.39304425961,54.566,53.9633333333,0.448034420493,52.5308,53.9633333333,0.567792475916,53.81925,53.9633333333,0.655388613037,54.0556363636,53.9633333333,0.65785412742,54.0317142857,53.9633333333,0.961748516632,54.566,53.4137777778,0.592157524566,52.5308,53.4137777778,0.602794601094,53.81925,53.4137777778,0.51630759341,54.0556363636,53.4137777778,0.52404085131,54.0317142857,53.4137777778,0.669958195293,53.6164705882,53.4137777778,0.580650601186,54.566,53.1627619048,0.342038265447,52.5308,53.1627619048,0.297792037867,53.81925,53.1627619048,0.658786267537,54.0556363636,53.1627619048,0.530195804208,54.0317142857,53.1627619048,0.438346096214,53.6164705882,53.1627619048,0.931880210658,53.261,53.1627619048,0.967767698375
2016-09-05,2.18350434096,55.33,53.415,53.2968,0.53222454011,54.801,52.614,0.137918200128,52.72,52.614,0.685770477937,54.801,53.9695555556,0.240036338323,52.72,53.9695555556,0.235949999142,53.7965,53.9695555556,0.59359542274,54.801,54.0203333333,0.200160035638,52.72,54.0203333333,1.05967553552,53.7965,54.0203333333,0.409995560596,54.0772727273,54.0203333333,1.39304425961,54.801,54.0172,0.448034420493,52.72,54.0172,0.567792475916,53.7965,54.0172,0.655388613037,54.0772727273,54.0172,0.65785412742,54.0478571429,54.0172,0.961748516632,54.801,53.4625555556,0.592157524566,52.72,53.4625555556,0.602794601094,53.7965,53.4625555556,0.51630759341,54.0772727273,53.4625555556,0.52404085131,54.0478571429,53.4625555556,0.669958195293,53.6774117647,53.4625555556,0.580650601186,54.801,53.2034285714,0.342038265447,52.72,53.2034285714,0.297792037867,53.7965,53.2034285714,0.658786267537,54.0772727273,53.2034285714,0.530195804208,54.0478571429,53.2034285714,0.438346096214,53.6774117647,53.2034285714,0.931880210658,53.2968,53.2034285714,0.967767698375
2016-09-06,2.19021310182,55.5,53.679,53.3383,0.533859786302,54.991,52.5276666667,0.138341950246,52.9416,52.5276666667,0.687877490069,54.991,53.9973333333,0.24077384379,52.9416,53.9973333333,0.235225048847,53.78,53.9973333333,0.595419229389,54.991,54.0676666667,0.200775022193,52.9416,54.0676666667,1.05641970973,53.78,54.0676666667,0.408735859795,54.0918181818,54.0676666667,1.39732435222,54.991,54.0545333333,0.449410994711,52.9416,54.0545333333,0.566047948157,53.78,54.0545333333,0.657402277671,54.0918181818,54.0545333333,0.659875367284,54.061,54.0545333333,0.964703464179,54.991,53.5246666667,0.59397691331,52.9416,53.5246666667,0.600942530207,53.78,53.5246666667,0.517893935193,54.0918181818,53.5246666667,0.525650953329,54.061,53.5246666667,0.672016624594,53.7189411765,53.5246666667,0.582434635204,54.991,53.2506666667,0.343089169209,52.9416,53.2506666667,0.2968770795,53.78,53.2506666667,0.660810371377,54.0918181818,53.2506666667,0.531824817161,54.061,53.2506666667,0.439692903305,53.7189411765,53.2506666667,0.934743388605,53.3383,53.2506666667,0.970741139704
2016-09-07,2.13417521705,54.08,53.782,53.3664,0.520200671049,55.001,52.6466666667,0.134802390438,53.1272,52.6466666667,0.670277741675,55.001,53.9777777778,0.234613504003,53.1272,53.9777777778,0.241243419466,53.7105,53.9777777778,0.580185079736,55.001,54.0811666667,0.195638075679,53.1272,54.0811666667,1.08344882662,53.7105,54.0811666667,0.419193606118,54.0805454545,54.0811666667,1.36157299042,55.001,54.0708,0.437912551242,53.1272,54.0708,0.58053061638,53.7105,54.0708,0.640582255432,54.0805454545,54.0708,0.642992069599,54.0561428571,54.0708,0.940020961132,55.001,53.5751111111,0.578779666158,53.1272,53.5751111111,0.616317996745,53.7105,53.5751111111,0.50464331559,54.0805454545,53.5751111111,0.512201865875,54.0561428571,53.5751111111,0.65482268573,53.7584705882,53.5751111111,0.567532703997,55.001,53.2724761905,0.334311031906,53.1272,53.2724761905,0.304472853426,53.7105,53.2724761905,0.643903151064,54.0805454545,53.2724761905,0.518217767785,54.0561428571,53.2724761905,0.428443102896,53.7584705882,53.2724761905,0.910827431636,53.3664,53.2724761905,0.945904159193
2016-09-08,2.11128650355,53.5,53.8865,53.3878,0.514621595805,54.895,52.7403333333,0.133356654742,53.29,52.7403333333,0.663089112049,54.895,53.9457777778,0.232097308879,53.29,53.9457777778,0.243830719453,53.61225,53.9457777778,0.573962680582,54.895,54.0776666667,0.193539886258,53.29,54.0776666667,1.09506865502,53.61225,54.0776666667,0.423689395533,54.0138181818,54.0776666667,1.37617565932,54.895,54.0644,0.43321600391,53.29,54.0644,0.586756721363,53.61225,54.0644,0.633712105503,54.0138181818,54.0644,0.636096074769,54.0361428571,54.0644,0.92993937538,54.895,53.6194444444,0.572572339857,53.29,53.6194444444,0.622927916089,53.61225,53.6194444444,0.499231090682,54.0138181818,53.6194444444,0.506708576633,54.0361428571,53.6194444444,0.647799809293,53.7864705882,53.6194444444,0.561445999701,54.895,53.2899047619,0.330725595543,53.29,53.2899047619,0.307738279738,53.61225,53.2899047619,0.636997385021,54.0138181818,53.2899047619,0.512659958885,54.0361428571,53.2899047619,0.423848113997,53.7864705882,53.2899047619,0.901058942169,53.3878,53.2899047619,0.935759477012
2016-09-09,2.07182320442,52.5,53.913,53.4015,0.505002500556,54.614,52.806,0.13086400699,53.3636,52.806,0.650694923038,54.614,53.8595555556,0.227759041423,53.3636,53.8595555556,0.248388302994,53.4935,53.8595555556,0.584690954985,54.614,54.0661666667,0.189922318291,53.3636,54.0661666667,1.11553722801,53.4935,54.0661666667,0.431608823487,53.9983636364,54.0661666667,1.40189856884,54.614,54.0417333333,0.42511850851,53.3636,54.0417333333,0.597724136716,53.4935,54.0417333333,0.645557191587,53.9983636364,54.0417333333,0.647985721027,54.0211428571,54.0417333333,0.94732141978,54.614,53.6478888889,0.561870053131,53.3636,53.6478888889,0.63457142854,53.4935,53.6478888889,0.508562512938,53.9983636364,53.6478888889,0.497237388284,54.0211428571,53.6478888889,0.635691401643,53.8101176471,53.6478888889,0.55095168195,54.614,53.3048571429,0.324543808711,53.3636,53.3048571429,0.30198616236,53.4935,53.3048571429,0.625090891843,53.9983636364,53.3048571429,0.503077529747,54.0211428571,53.3048571429,0.415925719343,53.8101176471,53.3048571429,0.884216718951,53.4015,53.3048571429,0.918268645666
2016-09-12,2.09510655091,53.09,53.965,53.4215,0.510677766753,54.419,52.889,0.132334669163,53.4788,52.889,0.658007494554,54.419,53.7895555556,0.230318619222,53.4788,53.7895555556,0.245596891589,53.384,53.7895555556,0.578120142348,54.419,54.0486666667,0.192056683391,53.4788,54.0486666667,1.1030007144,53.384,54.0486666667,0.426758362423,54.0334545455,54.0486666667,1.38614389921,54.419,54.0269333333,0.429896030796,53.4788,54.0269333333,0.591006855941,53.384,54.0269333333,0.638302358386,54.0334545455,54.0269333333,0.640703595781,54.0005714286,54.0269333333,0.936675331443,54.419,53.6805555556,0.568184402299,53.4788,53.6805555556,0.62744005439,53.384,53.6805555556,0.502847238983,54.0334545455,53.6805555556,0.50282538941,54.0005714286,53.6805555556,0.642835362156,53.8304705882,53.6805555556,0.557143329423,54.419,53.3176190476,0.328191062942,53.4788,53.3176190476,0.305379911613,53.384,53.3176190476,0.632115722818,54.0334545455,53.3176190476,0.508731162939,54.0005714286,53.3176190476,0.420599932189,53.8304705882,53.3176190476,0.89415363065,53.4215,53.3176190476,0.92858823616
2016-09-13,2.04696132597,51.87,53.9585,53.4136,0.498942470549,54.117,52.9526666667,0.129293638906,53.5448,52.9526666667,0.642886583962,54.117,53.6942222222,0.225025932926,53.5448,53.6942222222,0.251240670224,53.2445,53.6942222222,0.591405253926,54.117,54.0015,0.187643250471,53.5448,54.0015,1.12834750045,53.2445,54.0015,0.436565203676,54.012,54.0015,1.41799727192,54.117,53.9908,0.420017086408,53.5448,53.9908,0.604588102207,53.2445,53.9908,0.652970447993,54.012,53.9908,0.655426865452,53.958,53.9908,0.958199985886,54.117,53.6794444444,0.555127612493,53.5448,53.6794444444,0.641858529929,53.2445,53.6794444444,0.514402590868,54.012,53.6794444444,0.491270539625,53.958,53.6794444444,0.628063104823,53.8411764706,53.6794444444,0.544340261766,54.117,53.3225714286,0.320649283006,53.5448,53.3225714286,0.298362328412,53.2445,53.3225714286,0.617589801141,54.012,53.3225714286,0.49704059939,53.958,53.3225714286,0.410934610711,53.8411764706,53.3225714286,0.873606118324,53.4136,53.3225714286,0.907249421918
2016-09-14,2.03827940016,51.65,53.924,53.3816,0.496826269595,53.792,53.0263333333,0.1287452564,53.53,53.0263333333,0.64015986238,53.792,53.5784444444,0.224071514086,53.53,53.5784444444,0.252306275534,53.09,53.5784444444,0.593913624003,53.792,53.9506666667,0.186847385518,53.53,53.9506666667,1.13313324269,53.09,53.9506666667,0.438416839397,53.9590909091,53.9506666667,1.42401152679,53.792,53.9538666667,0.41823563742,53.53,53.9538666667,0.607152385656,53.09,53.9538666667,0.655739939001,53.9590909091,53.9538666667,0.658206775042,53.9112857143,53.9538666667,0.962264069111,53.792,53.6897777778,0.552773109414,53.53,53.6897777778,0.644580891151,53.09,53.6897777778,0.516584363954,53.9590909091,53.6897777778,0.489186878188,53.9112857143,53.6897777778,0.62539925514,53.8491764706,53.6897777778,0.542031511861,53.792,53.3261904762,0.319289289903,53.53,53.3261904762,0.297096862588,53.09,53.3261904762,0.62020922964,53.9590909091,53.3261904762,0.49493246498,53.9112857143,53.3261904762,0.409191683887,53.8491764706,53.3261904762,0.869900829216,53.3816,53.3261904762,0.903401439022
2016-09-15,2.02762430939,51.38,53.8755,53.3713,0.494229113878,53.423,53.0913333333,0.128072241507,53.5288,53.0913333333,0.636813431347,53.423,53.444,0.222900181873,53.5288,53.444,0.253625204758,52.9445,53.444,0.59701830316,53.423,53.8541666667,0.187824128869,53.5288,53.8541666667,1.13905668849,52.9445,53.8541666667,0.440708660241,53.8763636364,53.8541666667,1.4314555367,53.423,53.9069333333,0.420421961178,53.5288,53.9069333333,0.610326270344,52.9445,53.9069333333,0.659167814771,53.8763636364,53.9069333333,0.661647546179,53.8532857143,53.9069333333,0.967294297546,53.423,53.6926666667,0.549883491997,53.5288,53.6926666667,0.64795043308,52.9445,53.6926666667,0.519284804966,53.8763636364,53.6926666667,0.486629657334,53.8532857143,53.6926666667,0.622129985074,53.8574117647,53.6926666667,0.539198046068,53.423,53.3263809524,0.317620207458,53.5288,53.3263809524,0.295543790896,52.9445,53.3263809524,0.623451368885,53.8763636364,53.3263809524,0.492345209113,53.8532857143,53.3263809524,0.40705263733,53.8574117647,53.3263809524,0.865353428947,53.3713,53.3263809524,0.898678914558
2016-09-16,2.01183898974,50.98,53.777,53.3712,0.490381475778,52.988,53.102,0.127075182406,53.4892,53.102,0.631855755743,52.988,53.3046666667,0.224635488855,53.4892,53.3046666667,0.25559971005,52.77175,53.3046666667,0.601666168502,52.988,53.8146666667,0.189286364205,53.4892,53.8146666667,1.14792439334,52.77175,53.8146666667,0.44413963463,53.7941818182,53.8146666667,1.44259960472,52.988,53.8726666667,0.423695000969,53.4892,53.8726666667,0.615077739946,52.77175,53.8726666667,0.664299522165,53.7941818182,53.8726666667,0.666798558606,53.8282857143,53.8726666667,0.974824809789,52.988,53.6981111111,0.554164406688,53.4892,53.6981111111,0.652994811694,52.77175,53.6981111111,0.523327504888,53.7941818182,53.6981111111,0.482841181995,53.8282857143,53.6981111111,0.617286622014,53.8485882353,53.6981111111,0.535000318968,52.988,53.324952381,0.315147492725,53.4892,53.324952381,0.293242943945,52.77175,53.324952381,0.62830501909,53.7941818182,53.324952381,0.488512237457,53.8282857143,53.324952381,0.403883679468,53.8485882353,53.324952381,0.85861653966,53.3712,53.324952381,0.89168258202
2016-09-19,2.03709550118,51.62,53.709,53.378,0.496537696737,52.617,53.149,0.125479887845,53.472,53.149,0.639788036709,52.617,53.1746666667,0.221815427794,53.472,53.1746666667,0.25239092593,52.61475,53.1746666667,0.594112885884,52.617,53.8223333333,0.186910074031,53.472,53.8223333333,1.13351341626,52.61475,53.8223333333,0.438563931096,53.7236363636,53.8223333333,1.42448929191,52.617,53.8338666667,0.418375958195,53.472,53.8338666667,0.607356089228,52.61475,53.8338666667,0.655959944013,53.7236363636,53.8338666667,0.658427607693,53.8198571429,53.8338666667,0.962586914962,52.617,53.701,0.547207458467,53.472,53.701,0.64479715223,52.61475,53.701,0.516757681366,53.7236363636,53.701,0.488902742538,53.8198571429,53.701,0.62503600291,53.8524705882,53.701,0.541716682329,52.617,53.33,0.311191149152,53.472,53.33,0.296924299067,52.61475,53.33,0.620417313868,53.7236363636,53.33,0.494644992106,53.8198571429,53.33,0.408954012047,53.8524705882,53.33,0.869395562519,53.378,53.33,0.902876714081
2016-09-20,2.02683504341,51.36,53.597,53.3925,0.494036731973,52.203,53.187,0.126111905877,53.4464,53.187,0.636565547567,52.203,53.0393333333,0.222932669391,53.4464,53.0393333333,0.253662170423,52.4465,53.0393333333,0.597105318088,52.203,53.7941666667,0.187851504082,53.4464,53.7941666667,1.13922270507,52.4465,53.7941666667,0.440772893167,53.6710909091,53.7941666667,1.43166417017,52.203,53.7873333333,0.420483237334,53.4464,53.7873333333,0.610415224897,52.4465,53.7873333333,0.659263887939,53.6710909091,53.7873333333,0.661743980766,53.8012857143,53.7873333333,0.967435279896,52.203,53.7054444444,0.549963637065,53.4464,53.7054444444,0.648044871323,52.4465,53.7054444444,0.5193604903,53.6710909091,53.7054444444,0.486440233567,53.8012857143,53.7054444444,0.621887816921,53.8367058824,53.7054444444,0.538988159713,52.203,53.3176190476,0.312758559047,53.4464,53.3176190476,0.295428748549,52.4465,53.3176190476,0.62354223641,53.6710909091,53.3176190476,0.49215356053,53.8012857143,53.3176190476,0.406894189437,53.8367058824,53.3176190476,0.865016584482,53.3925,53.3176190476,0.898329097931
2016-09-21,2.06037884767,52.21,53.5085,53.4192,0.502212962934,52.016,53.1933333333,0.124024773479,53.4412,53.1933333333,0.647100608225,52.016,52.9144444444,0.219243168438,53.4412,52.9144444444,0.249464101014,52.489,52.9144444444,0.58722331808,52.016,53.755,0.18474259095,53.4412,53.755,1.12036874675,52.489,53.755,0.433478170441,53.6210909091,53.755,1.40797035116,52.016,53.7512,0.413524305252,53.4412,53.7512,0.600312948005,52.489,53.7512,0.648353173283,53.6210909091,53.7512,0.65079222096,53.7861428571,53.7512,0.951424376704,52.016,53.7192222222,0.540861824536,53.4412,53.7192222222,0.637319829644,52.489,53.7192222222,0.510765155083,53.6210909091,53.7192222222,0.478389723471,53.7861428571,53.7192222222,0.632179963424,53.8290588235,53.7192222222,0.547908329802,52.016,53.2924761905,0.307582453611,53.4412,53.2924761905,0.30031804832,52.489,53.2924761905,0.613222709522,53.6210909091,53.2924761905,0.500298625297,53.7861428571,53.2924761905,0.413628224893,53.8290588235,53.2924761905,0.879332474218,53.4192,53.2924761905,0.913196304576
2016-09-22,2.06906077348,52.43,53.402,53.4484,0.504329163889,51.909,53.2273333333,0.123502163822,53.4444,53.2273333333,0.649827329808,51.909,52.8084444444,0.218319332064,53.4444,52.8084444444,0.248412921121,52.5325,52.8084444444,0.584748904558,51.909,53.6966666667,0.183964131459,53.4444,53.6966666667,1.11564779053,52.5325,53.6966666667,0.431651600866,53.5754545455,53.6966666667,1.40203751306,51.909,53.7110666667,0.411781816319,53.4444,53.7110666667,0.597783378027,52.5325,53.7110666667,0.645621173702,53.5754545455,53.7110666667,0.648049943836,53.7678571429,53.7110666667,0.947415310187,51.909,53.7386666667,0.538582766857,53.4444,53.7386666667,0.634634321839,52.5325,53.7386666667,0.50861291731,53.5754545455,53.7386666667,0.476373907743,53.7678571429,53.7386666667,0.634843813107,53.8108235294,53.7386666667,0.550217079707,51.909,53.2926666667,0.306286377385,53.4444,53.2926666667,0.301583514144,52.5325,53.2926666667,0.610638741009,53.5754545455,53.2926666667,0.502406759708,53.7678571429,53.2926666667,0.415371151717,53.8108235294,53.2926666667,0.883037763326,53.4484,53.2926666667,0.917044287472
2016-09-23,2.06195737964,52.25,53.249,53.4715,0.506060601034,51.884,53.2366666667,0.123926165148,53.4164,53.2366666667,0.647596375786,51.884,52.6831111111,0.219068854852,53.4164,52.6831111111,0.249265759682,52.5755,52.6831111111,0.586756434652,51.884,53.6425,0.184595707726,53.4164,53.6425,1.11947797558,52.5755,53.6425,0.433133525111,53.5003636364,53.6425,1.40685091669,51.884,53.7046666667,0.413195524634,53.4164,53.7046666667,0.59983565741,52.5755,53.7046666667,0.647837687363,53.5003636364,53.7046666667,0.650274795827,53.7544285714,53.7046666667,0.950667928074,51.884,53.7444444444,0.540431801723,53.4164,53.7444444444,0.636813116001,52.5755,53.7444444444,0.510359061218,53.5003636364,53.7444444444,0.478009370329,53.7544285714,53.7444444444,0.63266429973,53.7878823529,53.7444444444,0.548328102512,51.884,53.3046666667,0.307337904143,53.4164,53.3046666667,0.300548133015,52.5755,53.3046666667,0.612735154768,53.5003636364,53.3046666667,0.500681922463,53.7544285714,53.3046666667,0.413945120679,53.7878823529,53.3046666667,0.880006163147,53.4715,53.3046666667,0.913895937829
2016-09-26,2.04262036306,51.76,53.085,53.4876,0.510806432507,51.751,53.227,0.125088343539,53.3676,53.227,0.641523223171,51.751,52.5466666667,0.221123280476,53.3676,52.5466666667,0.251603371591,52.6045,52.5466666667,0.592259030882,51.751,53.5801666667,0.186326844506,53.3676,53.5801666667,1.12997642932,52.6045,53.5801666667,0.437195447165,53.4189090909,53.5801666667,1.42004435112,51.751,53.6986666667,0.41707046831,53.3676,53.6986666667,0.605460910465,52.6045,53.6986666667,0.653913102996,53.4189090909,53.6986666667,0.65637306664,53.7204285714,53.6986666667,0.959583282806,51.751,53.7496666667,0.545499965988,53.3676,53.7496666667,0.642785143309,52.6045,53.7496666667,0.515145203611,53.4189090909,53.7496666667,0.48249213763,53.7204285714,53.7496666667,0.626731179982,53.7591764706,53.7496666667,0.543185886814,51.751,53.3124761905,0.310220116067,53.3676,53.3124761905,0.2977295955,52.6045,53.3124761905,0.618481379186,53.4189090909,53.3124761905,0.495986532185,53.7204285714,53.3124761905,0.410063147299,53.7591764706,53.3124761905,0.87175347377,53.4876,53.3124761905,0.90532543047
2016-09-27,2.07774269929,52.65,52.973,53.4944,0.502023246168,51.829,53.2486666667,0.122937481372,53.3296,53.2486666667,0.65255405139,51.829,52.4257777778,0.21732112206,53.3296,52.4257777778,0.247277115782,52.67175,52.4257777778,0.582075287885,51.829,53.5535,0.183123001933,53.3296,53.5535,1.11054677279,52.67175,53.5535,0.429677982946,53.3550909091,53.5535,1.39562705065,51.829,53.6985333333,0.40989904797,53.3296,53.6985333333,0.595050164516,52.67175,53.6985333333,0.642669233953,53.3550909091,53.6985333333,0.645086899149,53.6911428571,53.6985333333,0.943083492975,51.829,53.7491111111,0.536120233188,53.3296,53.7491111111,0.631732616695,52.67175,53.7491111111,0.506287413208,53.3550909091,53.7491111111,0.47419580837,53.6911428571,53.7491111111,0.615954697173,53.7364705882,53.7491111111,0.552525829613,51.829,53.3385714286,0.304885960284,53.3296,53.3385714286,0.302848979967,52.67175,53.3385714286,0.607846749598,53.3550909091,53.3385714286,0.504514894118,53.6911428571,53.3385714286,0.417114078541,53.7364705882,53.3385714286,0.886743052434,53.4944,53.3385714286,0.920892270368
2016-09-28,2.06314127861,52.28,52.842,53.51,0.505551234792,51.892,53.2466666667,0.123801429484,53.2616,53.2466666667,0.647968201456,51.892,52.4651111111,0.218848355017,53.2616,52.4651111111,0.24553936587,52.74275,52.4651111111,0.577984730307,51.892,53.5088333333,0.18440990622,53.2616,53.5088333333,1.11835118506,52.74275,53.5088333333,0.432697562313,53.2718181818,53.5088333333,1.40543487607,51.892,53.6853333333,0.412779630073,53.2616,53.6853333333,0.599231903564,52.74275,53.6853333333,0.647185617933,53.2718181818,53.6853333333,0.649620273369,53.6565714286,53.6853333333,0.949711050285,51.892,53.7426666667,0.539887839765,53.2616,53.7426666667,0.636172143156,52.74275,53.7426666667,0.509845368439,53.2718181818,53.7426666667,0.477528238552,53.6565714286,53.7426666667,0.620283343668,53.7112941176,53.7426666667,0.556408727181,51.892,53.3646666667,0.307028558676,53.2616,53.3646666667,0.304977263397,52.74275,53.3646666667,0.612118417164,53.2718181818,53.3646666667,0.500969395337,53.6565714286,53.3646666667,0.414182792519,53.7112941176,53.3646666667,0.880511429843,53.51,53.3646666667,0.91442066277
2016-09-29,2.0682715075,52.41,52.709,53.5229,0.504294125754,51.995,53.2486666667,0.123493583542,53.1756,53.2486666667,0.649579446027,51.995,52.5033333333,0.218304164386,53.1756,52.5033333333,0.24614992665,52.81725,52.5033333333,0.57942195324,51.995,53.4666666667,0.1839513506,53.1756,53.4666666667,1.11557028119,52.81725,53.4666666667,0.431621611986,53.1805454545,53.4666666667,1.40194010687,51.995,53.668,0.411753207887,53.1756,53.668,0.597741847185,52.81725,53.668,0.645576319342,53.1805454545,53.668,0.648004920739,53.5885714286,53.668,0.94734948876,51.995,53.7252222222,0.538545348962,53.1756,53.7252222222,0.634590230788,52.81725,53.7252222222,0.508577581563,53.1805454545,53.7252222222,0.476340811792,53.5885714286,53.7252222222,0.618740940556,53.682,53.7252222222,0.555025155365,51.995,53.3922857143,0.30626509822,53.1756,53.3922857143,0.304218903713,52.81725,53.3922857143,0.610596317045,53.1805454545,53.3922857143,0.499723679549,53.5885714286,53.3922857143,0.415212703824,53.682,53.3922857143,0.882700918861,53.5229,53.3922857143,0.916694470845
