,indexed,inst_price,sa_20_100,la_20_100,20_100,sa_10_30,la_10_30,10_30,sa_25_30,la_25_30,25_30,sa_10_45,la_10_45,10_45,sa_25_45,la_25_45,25_45,sa_40_45,la_40_45,40_45,sa_10_60,la_10_60,10_60,sa_25_60,la_25_60,25_60,sa_40_60,la_40_60,40_60,sa_55_60,la_55_60,55_60,sa_10_75,la_10_75,10_75,sa_25_75,la_25_75,25_75,sa_40_75,la_40_75,40_75,sa_55_75,la_55_75,55_75,sa_70_75,la_70_75,70_75,sa_10_90,la_10_90,10_90,sa_25_90,la_25_90,25_90,sa_40_90,la_40_90,40_90,sa_55_90,la_55_90,55_90,sa_70_90,la_70_90,70_90,sa_85_90,la_85_90,85_90,sa_10_105,la_10_105,10_105,sa_25_105,la_25_105,25_105,sa_40_105,la_40_105,40_105,sa_55_105,la_55_105,55_105,sa_70_105,la_70_105,70_105,sa_85_105,la_85_105,85_105,sa_100_105,la_100_105,100_105,sa_10_120,la_10_120,10_120,sa_25_120,la_25_120,25_120,sa_40_120,la_40_120,40_120,sa_55_120,la_55_120,55_120,sa_70_120,la_70_120,70_120,sa_85_120,la_85_120,85_120,sa_100_120,la_100_120,100_120,sa_115_120,la_115_120,115_120
2014-03-11,1.83442088091,67.47,68.183,59.9484,0.846948073722,68.468,65.716,0.668417617015,67.0652,65.716,0.58357643397,68.468,63.8684444444,0.899959541184,67.0652,63.8684444444,1.35940923922,64.43975,63.8684444444,1.13282645819,68.468,62.7163333333,1.13563152539,67.0652,62.7163333333,1.26238071663,64.43975,62.7163333333,0.921444440902,63.0463636364,62.7163333333,1.22919451599,68.468,61.4650666667,0.825139785253,67.0652,61.4650666667,0.948593279012,64.43975,61.4650666667,1.18599090999,63.0463636364,61.4650666667,1.00452944382,61.8017142857,61.4650666667,1.3272725041,68.468,60.5762222222,1.04081017367,67.0652,60.5762222222,1.31239539737,64.43975,60.5762222222,1.59223530395,63.0463636364,60.5762222222,1.48585913168,61.8017142857,60.5762222222,3.07084629784,60.9005882353,60.5762222222,1.71869705789,68.468,59.597047619,1.01315460238,67.0652,59.597047619,1.59217413861,64.43975,59.597047619,1.63904623531,63.0463636364,59.597047619,1.85306526368,61.8017142857,59.597047619,1.76807640068,60.9005882353,59.597047619,2.56313103743,59.9484,59.597047619,1.95779320362,68.468,58.5815833333,0.884873731424,67.0652,58.5815833333,1.65151325878,64.43975,58.5815833333,2.11388917049,63.0463636364,58.5815833333,2.16068532006,61.8017142857,58.5815833333,2.29459153297,60.9005882353,58.5815833333,2.09875085362,59.9484,58.5815833333,2.23115551556,58.8645217391,58.5815833333,1.97444664045
2014-03-12,1.85046220772,68.06,68.329,60.0984,0.85435431892,68.492,66.036,0.674262679918,67.3476,66.036,0.588679592352,68.492,64.072,0.907829351905,67.3476,64.072,1.37129676628,64.59925,64.072,1.1427326033,68.492,62.8666666667,1.14556219976,67.3476,62.8666666667,1.27341976544,64.59925,62.8666666667,0.929502129061,63.2014545455,62.8666666667,1.23994336384,68.492,61.6137333333,0.832355325098,67.3476,61.6137333333,0.956888373641,64.59925,61.6137333333,1.19636195841,63.2014545455,61.6137333333,1.01331367936,61.9732857143,61.6137333333,1.3388790074,68.492,60.7226666667,1.04991167067,67.3476,60.7226666667,1.32387180592,64.59925,60.7226666667,1.60615880817,63.2014545455,60.7226666667,1.49885241592,61.9732857143,60.7226666667,3.09769970403,61.0242352941,60.7226666667,1.733726423,68.492,59.7508571429,1.02201426171,67.3476,59.7508571429,1.60609710796,64.59925,59.7508571429,1.65337908367,63.2014545455,59.7508571429,1.86926962866,61.9732857143,59.7508571429,1.78353756974,61.0242352941,59.7508571429,2.58554466293,60.0984,59.7508571429,1.9749133754,68.492,58.7165,0.892611622361,67.3476,58.7165,1.66595512661,64.59925,58.7165,2.13237434331,63.2014545455,58.7165,2.17957970777,61.9732857143,58.7165,2.3146568806,61.0242352941,58.7165,2.11710364751,60.0984,58.7165,2.25066613887,59.0083478261,58.7165,1.99171244033
2014-03-13,1.82381729201,67.08,68.331,60.2271,0.842052420117,68.208,66.2923333333,0.664553931368,67.5772,66.2923333333,0.580203159785,68.208,64.2495555556,0.894757462912,67.5772,64.2495555556,1.35155138234,64.7355,64.2495555556,1.12627832838,68.208,63.0158333333,1.12906718131,67.5772,63.0158333333,1.25508371827,64.7355,63.0158333333,0.916118172457,63.3378181818,63.0158333333,1.22208934538,68.208,61.7493333333,0.820370191119,67.5772,61.7493333333,0.943110080867,64.7355,61.7493333333,1.1791354712,63.3378181818,61.7493333333,0.998722915246,62.1452857143,61.7493333333,1.3196004087,68.208,60.8772222222,1.0347939299,67.5772,60.8772222222,1.30480929681,64.7355,60.8772222222,1.58303163168,63.3378181818,60.8772222222,1.47727035057,62.1452857143,60.8772222222,3.0530957412,61.1408235294,60.8772222222,1.70876239281,68.208,59.8939047619,1.00729821739,67.5772,59.8939047619,1.58297081989,64.7355,59.8939047619,1.62957197961,63.3378181818,59.8939047619,1.84235390377,62.1452857143,59.8939047619,1.75785630588,61.1408235294,59.8939047619,2.54831525109,60.2271,59.8939047619,1.9464764799,68.208,58.8413333333,0.879758854363,67.5772,58.8413333333,1.64196693936,64.7355,58.8413333333,2.10167015794,63.3378181818,58.8413333333,2.14819580954,62.1452857143,58.8413333333,2.2813279981,61.1408235294,58.8413333333,2.0866193458,60.2271,58.8413333333,2.21825866287,59.1492173913,58.8413333333,1.96303365409
2014-03-14,1.82680804785,67.19,68.2735,60.3609,0.843433245493,68.064,66.559,0.665643688858,67.7496,66.559,0.581154596094,68.064,64.4197777778,0.896224715758,67.7496,64.4197777778,1.35376770095,64.881,64.4197777778,1.12812523679,68.064,63.148,1.13091866297,67.7496,63.148,1.25714184601,64.881,63.148,0.917620453301,63.4774545455,63.148,1.22409336786,68.064,61.8881333333,0.821715461259,67.7496,61.8881333333,0.944656623934,64.881,61.8881333333,1.1810690565,63.4774545455,61.8881333333,1.00036065408,62.3108571429,61.8881333333,1.32176433304,68.064,61.0144444444,1.03649081917,67.7496,61.0144444444,1.3069489662,64.881,61.0144444444,1.58562753924,63.4774545455,61.0144444444,1.4796928273,62.3108571429,61.0144444444,3.05810230846,61.2565882353,61.0144444444,1.71156447784,68.064,60.0325714286,1.00895001828,67.7496,60.0325714286,1.58556662773,64.881,60.0325714286,1.63224420558,63.4774545455,60.0325714286,1.84537505657,62.3108571429,60.0325714286,1.76073889672,61.2565882353,60.0325714286,2.55249406262,60.3609,60.0325714286,1.94966837633,68.064,58.9676666667,0.881201511996,67.7496,58.9676666667,1.64465949099,64.881,58.9676666667,2.1051165461,63.4774545455,58.9676666667,2.151718492,62.3108571429,58.9676666667,2.28506899512,61.2565882353,58.9676666667,2.09004105313,60.3609,58.9676666667,2.22189623671,59.2850434783,58.9676666667,1.96625270153
2014-03-17,1.85345296357,68.17,68.265,60.5033,0.855735144296,68.095,66.895,0.675352437408,67.9252,66.895,0.58963102866,68.095,64.6324444444,0.909296604751,67.9252,64.6324444444,1.37351308489,65.051,64.6324444444,1.14457951171,68.095,63.293,1.14741368142,67.9252,63.293,1.27547789318,65.051,63.293,0.931004409905,63.6341818182,63.293,1.24194738632,68.095,62.0402666667,0.833700595238,67.9252,62.0402666667,0.958434916707,65.051,62.0402666667,1.19829554371,63.6341818182,62.0402666667,1.01495141819,62.4927142857,62.0402666667,1.34104293174,68.095,61.1476666667,1.05160855994,67.9252,61.1476666667,1.32601147531,65.051,61.1476666667,1.60875471573,63.6341818182,61.1476666667,1.50127489264,62.4927142857,61.1476666667,3.10270627129,61.3927058824,61.1476666667,1.73652850802,68.095,60.1762857143,1.0236660626,67.9252,60.1762857143,1.6086929158,65.051,60.1762857143,1.65605130963,63.6341818182,60.1762857143,1.87229078146,62.4927142857,60.1762857143,1.78642016058,61.3927058824,60.1762857143,2.58972347446,60.5033,60.1762857143,1.97810527183,68.095,59.1029166667,0.894054279993,67.9252,59.1029166667,1.66864767824,65.051,59.1029166667,2.13582073147,63.6341818182,59.1029166667,2.18310239023,62.4927142857,59.1029166667,2.31839787762,61.3927058824,59.1029166667,2.12052535484,60.5033,59.1029166667,2.2543037127,59.4359130435,59.1029166667,1.99493148777
2014-03-18,1.86296900489,68.52,68.258,60.6399,0.860128679583,68.087,67.1883333333,0.678819847605,68.1072,67.1883333333,0.592658326006,68.087,64.8135555556,0.913965136534,68.1072,64.8135555556,1.38056500772,65.24275,64.8135555556,1.15045603847,68.087,63.4428333333,1.15330475944,68.1072,63.4428333333,1.28202648145,65.24275,63.4428333333,0.935784394406,63.7912727273,63.4428333333,1.24832382149,68.087,62.2018666667,0.83798100023,68.1072,62.2018666667,0.963355735555,65.24275,62.2018666667,1.20444786057,63.7912727273,62.2018666667,1.02016240538,62.6812857143,62.2018666667,1.34792814556,68.087,61.2841111111,1.05700775308,68.1072,61.2841111111,1.33281951427,65.24275,61.2841111111,1.61701442162,63.7912727273,61.2841111111,1.50898277313,62.6812857143,61.2841111111,3.11863625801,61.5427058824,61.2841111111,1.74544423309,68.087,60.3224761905,1.02892179272,68.1072,60.3224761905,1.6169523044,65.24275,60.3224761905,1.66455384679,63.7912727273,60.3224761905,1.88190354035,62.6812857143,60.3224761905,1.79559204053,61.5427058824,60.3224761905,2.60301969297,60.6399,60.3224761905,1.98826130594,68.087,59.237,0.898644554278,68.1072,59.237,1.67721488797,65.24275,59.237,2.14678651196,63.7912727273,59.237,2.19431092531,62.6812857143,59.237,2.33030104994,61.5427058824,59.237,2.13141260546,60.6399,59.237,2.26587781127,59.6006086957,59.237,2.00517391143
2014-03-19,1.83877107123,67.63,68.24,60.7752,0.848956546996,67.96,67.4093333333,0.670002718819,68.2068,67.4093333333,0.584960341328,67.96,64.9457777778,0.902093727142,68.2068,64.9457777778,1.36263297537,65.38925,64.9457777778,1.13551287042,67.96,63.5778333333,1.13832458962,68.2068,63.5778333333,1.26537435699,65.38925,63.5778333333,0.923629576674,63.9321818182,63.5778333333,1.23210945778,67.96,62.3562666667,0.827096541821,68.2068,62.3562666667,0.950842796199,65.38925,62.3562666667,1.1888033977,63.9321818182,62.3562666667,1.00691160939,62.8668571429,62.3562666667,1.33042003042,67.96,61.3961111111,1.04327837625,68.2068,61.3961111111,1.31550764376,65.38925,61.3961111111,1.5960111695,63.9321818182,61.3961111111,1.48938273419,62.8668571429,61.3961111111,3.07812857748,61.6802352941,61.3961111111,1.72277281792,67.96,60.4612380952,1.01555722186,68.2068,60.4612380952,1.59594985911,65.38925,60.4612380952,1.64293310944,63.9321818182,60.4612380952,1.85745966774,62.8668571429,60.4612380952,1.77226926008,61.6802352941,60.4612380952,2.56920930875,60.7752,60.4612380952,1.96243596207,67.96,59.37125,0.886972142525,68.2068,59.37125,1.65542969751,65.38925,59.37125,2.11890209871,63.9321818182,59.37125,2.16580922181,62.8668571429,59.37125,2.30003298318,61.6802352941,59.37125,2.10372788247,60.7752,59.37125,2.23644653205,59.7586956522,59.37125,1.97912889127
2014-03-20,1.86215334421,68.49,68.2405,60.9179,0.859752090844,67.917,67.6476666667,0.678522641016,68.2648,67.6476666667,0.592398843376,67.917,65.0982222222,0.913564976667,68.2648,65.0982222222,1.37996055719,65.5795,65.0982222222,1.14995233617,67.917,63.7263333333,1.1527998099,68.2648,63.7263333333,1.28146517389,65.5795,63.7263333333,0.935374681449,64.0994545455,63.7263333333,1.2477772699,67.917,62.5356,0.837614108374,68.2648,62.5356,0.962933951082,65.5795,62.5356,1.20392051912,64.0994545455,62.5356,1.01971574933,63.074,62.5356,1.34733798437,67.917,61.5218888889,1.0565449651,68.2648,61.5218888889,1.33223596808,65.5795,61.5218888889,1.61630644683,64.0994545455,61.5218888889,1.50832209766,63.074,61.5218888889,3.11727083058,61.8244705882,61.5218888889,1.74468002808,67.917,60.5972380952,1.02847130157,68.2648,60.5972380952,1.6162443568,65.5795,60.5972380952,1.66382505789,64.0994545455,60.5972380952,1.88107958958,63.074,60.5972380952,1.79480587939,61.8244705882,60.5972380952,2.6018800171,60.9179,60.5972380952,1.98739078873,67.917,59.518,0.898251102197,68.2648,59.518,1.67648055571,65.5795,59.518,2.14584658792,64.0994545455,59.518,2.19335019373,63.074,59.518,2.32928077803,61.8244705882,59.518,2.13047941255,60.9179,59.518,2.26488574568,59.9093913043,59.518,2.0042959894
2014-03-21,1.82544861338,67.14,68.1865,61.0432,0.842805597595,67.779,67.7896666667,0.665148344544,68.2168,67.7896666667,0.580722125044,67.779,65.2264444444,0.895557782646,68.2168,65.2264444444,1.3527602834,65.78075,65.2264444444,1.12728573296,67.779,63.8535,1.1300770804,68.2168,63.8535,1.2562063334,65.78075,63.8535,0.916937598372,64.2445454545,63.8535,1.22318244855,67.779,62.6894666667,0.821103974832,68.2168,62.6894666667,0.943953649813,65.78075,62.6894666667,1.18019015409,64.2445454545,62.6894666667,0.999616227334,63.1632857143,62.6894666667,1.32078073107,67.779,61.6306666667,1.03571950586,68.2168,61.6306666667,1.30597638921,65.78075,61.6306666667,1.58444758126,64.2445454545,61.6306666667,1.47859170151,63.1632857143,61.6306666667,3.05582659607,61.9507058824,61.6306666667,1.71029080283,67.779,60.7241904762,1.0081991997,68.2168,60.7241904762,1.58438671508,65.78075,60.7241904762,1.63102955741,64.2445454545,60.7241904762,1.8440018053,63.1632857143,60.7241904762,1.75942862815,61.9507058824,60.7241904762,2.55059460283,61.0432,60.7241904762,1.94821751431,67.779,59.64775,0.880545758526,68.2168,59.64775,1.64343560389,65.78075,59.64775,2.10355000603,64.2445454545,59.64775,2.1501172727,63.1632857143,59.64775,2.28336854193,61.9507058824,59.64775,2.08848573162,61.0432,59.64775,2.22024279406,60.0393913043,59.64775,1.96478949815
2014-03-24,1.77379010332,65.24,68.0105,61.1417,0.818954977466,67.499,67.8383333333,0.683971428468,68.0928,67.8383333333,0.56428822517,67.499,65.3124444444,0.870214324394,68.0928,65.3124444444,1.31447841658,65.95275,65.3124444444,1.09538458771,67.499,63.9483333333,1.09809694259,68.0928,63.9483333333,1.2206568542,65.95275,63.9483333333,0.890989111078,64.374,63.9483333333,1.1885675148,67.499,62.8201333333,0.797867490587,68.0928,62.8201333333,0.917240633211,65.95275,62.8201333333,1.14679186257,64.374,62.8201333333,0.97132801119,63.2595714286,62.8201333333,1.28340385605,67.499,61.7266666667,1.00640960027,68.0928,61.7266666667,1.26901846339,65.95275,61.7266666667,1.53960917785,64.374,61.7266666667,1.43674892176,63.2595714286,61.7266666667,2.96934952528,62.0482352941,61.7266666667,1.66189115246,67.499,60.8319047619,0.97966809336,68.0928,60.8319047619,1.53955003413,65.95275,60.8319047619,1.5848729271,64.374,60.8319047619,1.79181825704,63.2595714286,60.8319047619,1.70963842271,62.0482352941,60.8319047619,2.4784151309,61.1417,60.8319047619,1.89308475773,67.499,59.7679166667,0.855627126694,68.0928,59.7679166667,1.59692789392,65.95275,59.7679166667,2.04402148336,64.374,59.7679166667,2.08927093939,63.2595714286,59.7679166667,2.21875132075,62.0482352941,59.7679166667,2.02938351401,61.1417,59.7679166667,2.15741197325,60.1490434783,59.7679166667,1.90918776972
2014-03-25,1.78928765633,65.81,67.9005,61.2519,0.826110163505,67.333,67.8996666667,0.677995589807,67.9788,67.8996666667,0.569218395132,67.333,65.4226666667,0.87781736187,67.9788,65.4226666667,1.32596297662,66.12025,65.4226666667,1.10495493128,67.333,64.0471666667,1.10769098393,67.9788,64.0471666667,1.23132169796,66.12025,64.0471666667,0.898773657266,64.4983636364,64.0471666667,1.19895199492,67.333,62.96,0.804838435861,67.9788,62.96,0.925254538191,66.12025,62.96,1.15681135003,64.4983636364,62.96,0.979814476033,63.3758571429,62.96,1.29461691855,67.333,61.8382222222,1.01520257195,67.9788,61.8382222222,1.28010584113,66.12025,61.8382222222,1.55306069888,64.4983636364,61.8382222222,1.44930175568,63.3758571429,61.8382222222,2.99529264652,62.1554117647,61.8382222222,1.67641104757,67.333,60.9361904762,0.98822742526,67.9788,60.9361904762,1.55300103842,66.12025,60.9361904762,1.59871991619,64.4983636364,60.9361904762,1.80747332151,63.3758571429,60.9361904762,1.72457548434,62.1554117647,60.9361904762,2.50006897248,61.2519,60.9361904762,1.9096245847,67.333,59.9031666667,0.863102716244,67.9788,59.9031666667,1.61088020691,66.12025,59.9031666667,2.06188004016,64.4983636364,59.9031666667,2.10752483939,63.3758571429,59.9031666667,2.23813648711,62.1554117647,59.9031666667,2.04711417929,61.2519,59.9031666667,2.17626121949,60.2697391304,59.9031666667,1.92586828825
2014-03-26,1.73735725938,63.9,67.7045,61.3421,0.802134013796,66.917,67.8583333333,0.697673018413,67.8152,67.8583333333,0.552698001047,66.917,65.47,0.852340516995,67.8152,65.47,1.28747962629,66.25625,65.47,1.07288588526,66.917,64.1141666667,1.0755425296,67.8152,64.1141666667,1.19558511624,66.25625,64.1141666667,0.872688598987,64.5892727273,64.1141666667,1.16415487731,66.917,63.0834666667,0.781479654331,67.8152,63.0834666667,0.898400926765,66.25625,63.0834666667,1.12323727802,64.5892727273,63.0834666667,0.951377374541,63.4452857143,63.0834666667,1.25704332314,66.917,61.9266666667,0.985738403702,67.8152,61.9266666667,1.24295339991,66.25625,61.9266666667,1.50798630388,64.5892727273,61.9266666667,1.40723875077,63.4452857143,61.9266666667,2.90836043326,62.2376470588,61.9266666667,1.62775666221,66.917,61.0295238095,0.959546155207,67.8152,61.0295238095,1.50792837494,66.25625,61.0295238095,1.55232035625,64.5892727273,61.0295238095,1.755015123,63.4452857143,61.0295238095,1.67452322519,62.2376470588,61.0295238095,2.42750960859,61.3421,61.0295238095,1.85420165572,66.917,60.0235833333,0.838052933718,67.8152,60.0235833333,1.56412771952,66.25625,60.0235833333,2.00203820949,64.5892727273,60.0235833333,2.04635826222,63.4452857143,60.0235833333,2.17317917529,62.2376470588,60.0235833333,1.98770089738,61.3421,60.0235833333,2.11309971016,60.374,60.0235833333,1.86997391915
2014-03-27,1.75448613377,64.53,67.435,61.4557,0.810042377313,66.662,67.7746666667,0.690794552034,67.6572,67.7746666667,0.547248865826,66.662,65.5511111111,0.860743874205,67.6572,65.5511111111,1.3001730874,66.38475,65.5511111111,1.08346363342,66.662,64.2015,1.08614647003,67.6572,64.2015,1.20737257514,66.38475,64.2015,0.881292571089,64.6881818182,64.2015,1.1756324606,66.662,63.224,0.789184383317,67.6572,63.224,0.907258400691,66.38475,63.224,1.13431144837,64.6881818182,63.224,0.960757151473,63.5367142857,63.224,1.26943670801,66.662,62.0188888889,0.995456951345,67.6572,62.0188888889,1.25520787005,66.38475,62.0188888889,1.52285377448,64.6881818182,62.0188888889,1.42111293564,63.5367142857,62.0188888889,2.93703440936,62.3272941176,62.0188888889,1.64380496733,66.662,61.1277142857,0.969006469413,67.6572,61.1277142857,1.52279527441,66.38475,61.1277142857,1.56762492314,64.6881818182,61.1277142857,1.772318089,63.5367142857,61.1277142857,1.6910326091,62.3272941176,61.1277142857,2.45144280192,61.4557,61.1277142857,1.87248251711,66.662,60.135,0.846315427431,67.6572,60.135,1.57954869704,66.38475,60.135,2.02177661437,64.6881818182,60.135,2.06653362537,63.5367142857,60.135,2.19460488547,62.3272941176,60.135,2.00729794848,61.4557,60.135,2.13393308759,60.4824347826,60.135,1.88841028173
2014-03-28,1.7640021751,64.88,67.2475,61.5561,0.8144359126,66.431,67.6593333333,0.687047797142,67.5236,67.6593333333,0.544280678889,66.431,65.6797777778,0.865412405988,67.5236,65.6797777778,1.30722501023,66.527,65.6797777778,1.08934016018,66.431,64.2968333333,1.09203754805,67.5236,64.2968333333,1.21392116341,66.527,64.2968333333,0.886072555591,64.7854545455,64.2968333333,1.18200889577,66.431,63.2772,0.793464788309,67.5236,63.2772,0.912179219539,66.527,63.2772,1.14046376523,64.7854545455,63.2772,0.965968138657,63.617,63.2772,1.27632192183,66.431,62.113,1.00085614448,67.5236,62.113,1.26201590902,66.527,62.113,1.53111348037,64.7854545455,62.113,1.42882081612,63.617,62.113,2.95296439608,62.4225882353,62.113,1.65272069239,66.431,61.2255238095,0.974262199527,67.5236,61.2255238095,1.53105466301,66.527,61.2255238095,1.5761274603,64.7854545455,61.2255238095,1.78193084789,63.617,61.2255238095,1.70020448905,62.4225882353,61.2255238095,2.46473902043,61.5561,61.2255238095,1.88263855122,66.431,60.24075,0.850905701716,67.5236,60.24075,1.58811590677,66.527,60.24075,2.03274239486,64.7854545455,60.24075,2.07774216045,63.617,60.24075,2.20650805779,62.4225882353,60.24075,2.01818519909,61.5561,60.24075,2.14550718615,60.5889565217,60.24075,1.89865270539
2014-03-31,1.78738444807,65.74,67.1415,61.6517,0.825231456447,66.188,67.5726666667,0.677940813394,67.4028,67.5726666667,0.537066107621,66.188,65.8437777778,0.876883655513,67.4028,65.8437777778,1.32455259206,66.71825,65.8437777778,1.10377962593,66.188,64.4238333333,1.10651276833,67.4028,64.4238333333,1.23001198031,66.71825,64.4238333333,0.897817660366,64.9152727273,64.4238333333,1.19767670789,66.188,63.3737333333,0.803982354862,67.4028,63.3737333333,0.924270374422,66.71825,63.3737333333,1.15558088666,64.9152727273,63.3737333333,0.978772278596,63.7065714286,63.3737333333,1.29323987579,66.188,62.2106666667,1.01412273332,67.4028,62.2106666667,1.27874423334,66.71825,62.2106666667,1.5514087577,64.9152727273,62.2106666667,1.44776017959,63.7065714286,62.2106666667,2.99210664918,62.5282352941,62.2106666667,1.67462790256,66.188,61.3240952381,0.987176279238,67.4028,61.3240952381,1.5513491607,66.71825,61.3240952381,1.59701940876,64.9152727273,61.3240952381,1.80555076974,63.7065714286,61.3240952381,1.72274110835,62.5282352941,61.3240952381,2.49740972878,61.6517,61.3240952381,1.90759337788,66.188,60.35,0.862184661387,67.4028,60.35,1.60916676496,66.71825,60.35,2.05968688406,64.9152727273,60.35,2.10528313237,63.7065714286,60.35,2.23575585264,62.5282352941,60.35,2.04493672917,61.6517,60.35,2.17394639978,60.6990434783,60.35,1.92381980352
2014-04-01,1.79255029908,65.93,67.008,61.7486,0.82761651846,65.929,67.4816666667,0.675981446881,67.3196,67.4816666667,0.535513893437,65.929,65.9953333333,0.879418001338,67.3196,65.9953333333,1.32838077874,66.8735,65.9953333333,1.10696974046,65.929,64.5398333333,1.10971078211,67.3196,64.5398333333,1.23356692823,66.8735,64.5398333333,0.900412509095,65.0163636364,64.5398333333,1.20113820126,65.929,63.4838666667,0.806306003287,67.3196,63.4838666667,0.926941676082,66.8735,63.4838666667,1.15892071581,65.0163636364,63.4838666667,0.981601100211,63.798,63.4838666667,1.29697756329,65.929,62.3132222222,1.01705372388,67.3196,62.3132222222,1.28244002592,66.8735,62.3132222222,1.55589259804,65.0163636364,62.3132222222,1.45194445756,63.798,62.3132222222,3.00075435625,62.6403529412,62.3132222222,1.6794678676,65.929,61.4301904762,0.990029389871,67.3196,61.4301904762,1.55583282879,66.8735,61.4301904762,1.60163507179,65.0163636364,61.4301904762,1.81076912456,63.798,61.4301904762,1.7277201289,62.6403529412,61.4301904762,2.50462767597,61.7486,61.4301904762,1.91310665354,65.929,60.4666666667,0.86467652457,67.3196,60.4666666667,1.61381753596,66.8735,60.4666666667,2.06563973633,65.0163636364,60.4666666667,2.1113677657,63.798,60.4666666667,2.24221757476,62.6403529412,60.4666666667,2.05084695093,61.7486,60.4666666667,2.18022948186,60.81,60.4666666667,1.92937997636
2014-04-02,1.7803153888,65.48,66.837,61.8279,0.821967687377,65.714,67.398,0.680595304778,67.226,67.398,0.539169001158,65.714,66.1513333333,0.885420399345,67.226,66.1513333333,1.31931402081,66.9855,66.1513333333,1.09941420605,65.714,64.6495,1.10213653894,67.226,64.6495,1.22514731474,66.9855,64.6495,0.894266814736,65.0854545455,64.6495,1.19293992748,65.714,63.5697333333,0.800802625439,67.226,63.5697333333,0.920614908992,66.9855,63.5697333333,1.15101059413,65.0854545455,63.5697333333,0.974901259545,63.883,63.5697333333,1.28812514552,65.714,62.4084444444,1.01011190414,67.226,62.4084444444,1.27368683296,66.9855,62.4084444444,1.54527297618,65.0854545455,62.4084444444,1.44203432552,63.883,62.4084444444,2.98027294475,62.7512941176,62.4084444444,1.66800479251,65.714,61.5311428571,0.983272022581,67.226,61.5311428571,1.54521361488,66.9855,61.5311428571,1.5907032383,65.0854545455,61.5311428571,1.79840986313,63.883,61.5311428571,1.71592771182,62.7512941176,61.5311428571,2.48753253788,61.8279,61.5311428571,1.9000488954,65.714,60.57975,0.858774743347,67.226,60.57975,1.60280255202,66.9855,60.57975,2.0515408757,65.0854545455,60.57975,2.09695679202,63.883,60.57975,2.22691349606,62.7512941176,60.57975,2.03684905729,61.8279,60.57975,2.16534849799,60.918,60.57975,1.91621114595
2014-04-03,1.6979336596,62.45,66.5135,61.8807,0.783932224751,65.11,67.197,0.712088948233,66.9272,67.197,0.56411833032,65.11,66.2193333333,0.926392051911,66.9272,66.2193333333,1.2582645174,67.01325,66.2193333333,1.0485402744,65.11,64.7055,1.05113663495,66.9272,64.7055,1.16845525054,67.01325,64.7055,0.852885806052,65.1003636364,64.7055,1.13773821734,65.11,63.6273333333,0.763746547933,66.9272,63.6273333333,0.878014677253,67.01325,63.6273333333,1.09774910818,65.1003636364,63.6273333333,0.929788999062,63.924,63.6273333333,1.22851886588,65.11,62.47,0.963370317859,66.9272,62.47,1.21474866705,67.01325,62.47,1.47376752233,65.1003636364,62.47,1.37530610306,63.924,62.47,2.84236477397,62.8384705882,62.47,1.59082008693,65.11,61.6195238095,0.93777241616,66.9272,61.6195238095,1.4737109079,67.01325,61.6195238095,1.51709555943,65.1003636364,61.6195238095,1.71519083617,63.924,61.6195238095,1.63652543682,62.8384705882,61.6195238095,2.37242527475,61.8807,61.6195238095,1.81212665727,65.11,60.6663333333,0.81903608311,66.9272,60.6663333333,1.52863499349,67.01325,60.6663333333,1.95660854746,65.1003636364,60.6663333333,1.99992290259,63.924,60.6663333333,2.12386603282,62.8384705882,60.6663333333,1.94259657342,61.8807,60.6663333333,2.06514987323,60.9896521739,60.6663333333,1.82754102114
2014-04-04,1.66721044046,61.32,66.1535,61.9204,0.769747382253,64.528,66.967,0.724973824318,66.6348,66.967,0.574325755673,64.528,66.2666666667,0.943154630272,66.6348,66.2666666667,1.23549688082,66.97425,66.2666666667,1.02956748801,64.528,64.7353333333,1.03211686878,66.6348,64.7353333333,1.14731266554,66.97425,64.7353333333,0.837453284661,65.0994545455,64.7353333333,1.11715144095,64.528,63.6548,0.749926954672,66.6348,63.6548,0.862127462117,66.97425,63.6548,1.07788591375,65.0994545455,63.6548,0.912964954724,63.9498571429,63.6548,1.20628946126,64.528,62.5204444444,0.945938637168,66.6348,62.5204444444,1.19276842696,66.97425,62.5204444444,1.44710047189,65.0994545455,62.5204444444,1.35042066036,63.9498571429,62.5204444444,2.79093367398,62.9057647059,62.5204444444,1.56203503171,64.528,61.6812380952,0.920803916076,66.6348,61.6812380952,1.44704488187,66.97425,61.6812380952,1.48964451088,65.0994545455,61.6812380952,1.68415535747,63.9498571429,61.6812380952,1.60691336727,62.9057647059,61.6812380952,2.32949748355,61.9204,61.6812380952,1.77933717572,64.528,60.73875,0.804216054704,66.6348,60.73875,1.50097514493,66.97425,60.73875,1.92120474187,65.0994545455,60.73875,1.96373534647,63.9498571429,60.73875,2.08543579075,62.9057647059,60.73875,1.90744630716,61.9204,60.73875,2.02778206928,61.0549565217,60.73875,1.79447262476
