,indexed,inst_price,sa_20_100,la_20_100,20_100,sa_10_30,la_10_30,10_30,sa_25_30,la_25_30,25_30,sa_10_45,la_10_45,10_45,sa_25_45,la_25_45,25_45,sa_40_45,la_40_45,40_45,sa_10_60,la_10_60,10_60,sa_25_60,la_25_60,25_60,sa_40_60,la_40_60,40_60,sa_55_60,la_55_60,55_60,sa_10_75,la_10_75,10_75,sa_25_75,la_25_75,25_75,sa_40_75,la_40_75,40_75,sa_55_75,la_55_75,55_75,sa_70_75,la_70_75,70_75,sa_10_90,la_10_90,10_90,sa_25_90,la_25_90,25_90,sa_40_90,la_40_90,40_90,sa_55_90,la_55_90,55_90,sa_70_90,la_70_90,70_90,sa_85_90,la_85_90,85_90,sa_10_105,la_10_105,10_105,sa_25_105,la_25_105,25_105,sa_40_105,la_40_105,40_105,sa_55_105,la_55_105,55_105,sa_70_105,la_70_105,70_105,sa_85_105,la_85_105,85_105,sa_100_105,la_100_105,100_105
2014-10-15,1.04648074369,15.76,16.861,15.9054,1.9395895239,16.721,16.726,3.37823419007,16.832,16.726,0.77275279862,16.721,16.4535555556,0.822587111301,16.832,16.4535555556,1.12118071799,16.58625,16.4535555556,1.67212295127,16.721,16.1586666667,1.83746218059,16.832,16.1586666667,1.66007284527,16.58625,16.1586666667,1.46815758836,16.2161818182,16.1586666667,1.33389034359,16.721,16.0488,2.44933565496,16.832,16.0488,2.1797153162,16.58625,16.0488,1.43256962573,16.2161818182,16.0488,1.18380367707,16.064,16.0488,1.97407234245,16.721,15.9577777778,2.05948925174,16.832,15.9577777778,1.42991692225,16.58625,15.9577777778,1.09032074963,16.2161818182,15.9577777778,0.925207801944,16.064,15.9577777778,1.36342579468,15.9861176471,15.9577777778,1.42309915585,16.721,15.8576190476,1.78394063353,16.832,15.8576190476,1.24589733198,16.58625,15.8576190476,0.754535253067,16.2161818182,15.8576190476,0.871483341359,16.064,15.8576190476,0.809176299013,15.9861176471,15.8576190476,0.766943213274,15.9054,15.8576190476,0.619541396123
2014-10-16,1.06772908367,16.08,16.813,15.9147,1.9789720523,16.641,16.725,3.30964060246,16.8124,16.725,0.788443210775,16.641,16.4704444444,0.839289387673,16.8124,16.4704444444,1.14394580871,16.58425,16.4704444444,1.70607468632,16.641,16.1663333333,1.87477105735,16.8124,16.1663333333,1.69377990812,16.58425,16.1663333333,1.49796789473,16.2312727273,16.1663333333,1.36097441148,16.641,16.0494666667,2.49906835861,16.8124,16.0494666667,2.22397349521,16.58425,16.0494666667,1.46165733386,16.2312727273,16.0494666667,1.20784029996,16.0731428571,16.0494666667,2.0141550296,16.641,15.9651111111,2.10130629239,16.8124,15.9651111111,1.45895076839,16.58425,15.9651111111,1.11245924201,16.2312727273,15.9651111111,0.943993747161,16.0731428571,15.9651111111,1.39110956717,15.9923529412,15.9651111111,1.45199457018,16.641,15.8706666667,1.82016277837,16.8124,15.8706666667,1.27119473973,16.58425,15.8706666667,0.76985576582,16.2312727273,15.8706666667,0.889178434585,16.0731428571,15.8706666667,0.825606274628,15.9923529412,15.8706666667,0.782515664305,15.9147,15.8706666667,0.632120916857
2014-10-17,1.07636122178,16.21,16.776,15.9254,1.99497120446,16.533,16.7313333333,3.28288355778,16.7892,16.7313333333,0.794817440713,16.533,16.4924444444,0.846074687449,16.7892,16.4924444444,1.15319412681,16.58625,16.4924444444,1.71986757869,16.533,16.1766666667,1.88992778853,16.7892,16.1766666667,1.7074734024,16.58625,16.1766666667,1.51007833169,16.2536363636,16.1766666667,1.37197731406,16.533,16.0518666667,2.51927226947,16.7892,16.0518666667,2.24195338043,16.58625,16.0518666667,1.47347421529,16.2536363636,16.0518666667,1.217605178,16.085,16.0518666667,2.03043862126,16.533,15.9736666667,2.11829446515,16.7892,15.9736666667,1.47074576838,16.58625,15.9736666667,1.12145300454,16.2536363636,15.9736666667,0.951625537405,16.085,15.9736666667,1.40235609974,16.0012941176,15.9736666667,1.46373333225,16.533,15.8848571429,1.83487802471,16.7892,15.8848571429,1.28147181163,16.58625,15.8848571429,0.776079724126,16.2536363636,15.8848571429,0.896367066208,16.085,15.8848571429,0.832280952221,16.0012941176,15.8848571429,0.788841972537,15.9254,15.8848571429,0.637231347155
2014-10-20,1.0796812749,16.26,16.7375,15.9354,2.00112472453,16.43,16.7283333333,3.27275745181,16.77,16.7283333333,0.797269067612,16.43,16.5104444444,0.848684418132,16.77,16.5104444444,1.15675117224,16.5855,16.5104444444,1.72517253729,16.43,16.1893333333,1.89575730053,16.77,16.1893333333,1.71274013097,16.5855,16.1893333333,1.51473619205,16.2756363636,16.1893333333,1.37620919967,16.43,16.0561333333,2.52704300442,16.77,16.0561333333,2.2488687209,16.5855,16.0561333333,1.47801916969,16.2756363636,16.0561333333,1.22136090033,16.0948571429,16.0561333333,2.03670154113,16.43,15.9845555556,2.12482837775,16.77,15.9845555556,1.47528230684,16.5855,15.9845555556,1.12491214398,16.2756363636,15.9845555556,0.954560841346,16.0948571429,15.9845555556,1.40668168919,16.0085882353,15.9845555556,1.46824824074,16.43,15.8995238095,1.84053773484,16.77,15.8995238095,1.2854245316,16.5855,15.8995238095,0.778473554243,16.2756363636,15.8995238095,0.899131924524,16.0948571429,15.8995238095,0.834848135911,16.0085882353,15.8995238095,0.79127516801,15.9354,15.8995238095,0.639196897269
2014-10-21,1.10225763612,16.6,16.715,15.9493,2.04296866096,16.402,16.7436666667,3.20432340915,16.7656,16.7436666667,0.813940130526,16.402,16.536,0.830938249487,16.7656,16.536,1.18093908113,16.59225,16.536,1.76124625578,16.402,16.2103333333,1.93539798209,16.7656,16.2103333333,1.74855388524,16.59225,16.2103333333,1.54640964256,16.3047272727,16.2103333333,1.4049860218,16.402,16.0697333333,2.57988400205,16.7656,16.0697333333,2.2958930361,16.59225,16.0697333333,1.50892485959,16.3047272727,16.0697333333,1.24689981214,16.1061428571,16.0697333333,2.07928939623,16.402,15.9957777778,2.16925898344,16.7656,15.9957777778,1.50613076836,16.59225,15.9957777778,1.14843429213,16.3047272727,15.9957777778,0.974520908139,16.1061428571,15.9957777778,1.43609569745,16.0216470588,15.9957777778,1.49894961847,16.402,15.9126666667,1.87902376374,16.7656,15.9126666667,1.31230302734,16.59225,15.9126666667,0.794751599043,16.3047272727,15.9126666667,0.917932961076,16.1061428571,15.9126666667,0.852304985001,16.0216470588,15.9126666667,0.807820897231,15.9493,15.9126666667,0.652562638049
2014-10-22,1.08897742364,16.4,16.676,15.9612,2.0183545807,16.33,16.745,3.24292971528,16.7508,16.745,0.804133622929,16.33,16.5555555556,0.840949553698,16.7508,16.5555555556,1.16671089943,16.59725,16.5555555556,1.74002642138,16.33,16.224,1.91207993411,16.7508,16.224,1.72748697096,16.59725,16.224,1.52777820109,16.3265454545,16.224,1.38805847937,16.33,16.0804,2.54880106226,16.7508,16.0804,2.26823167422,16.59725,16.0804,1.490745042,16.3265454545,16.0804,1.23187692284,16.1188571429,16.0804,2.05423771676,16.33,16.0041111111,2.14312333303,16.7508,16.0041111111,1.48798461453,16.59725,16.0041111111,1.13459773439,16.3265454545,16.0041111111,0.962779692378,16.1188571429,16.0041111111,1.41879333965,16.0325882353,16.0041111111,1.48088998451,16.33,15.9246666667,1.85638492321,16.7508,15.9246666667,1.29649214749,16.59725,15.9246666667,0.785176278572,16.3265454545,15.9246666667,0.90687352781,16.1188571429,15.9246666667,0.842036250242,16.0325882353,15.9246666667,0.798088115336,15.9612,15.9246666667,0.64470043759
2014-10-23,1.10225763612,16.6,16.6635,15.9729,2.04296866096,16.331,16.746,3.20338179193,16.7332,16.746,0.813940130526,16.331,16.5653333333,0.830694071336,16.7332,16.5653333333,1.18093908113,16.612,16.5653333333,1.76124625578,16.331,16.2465,1.93539798209,16.7332,16.2465,1.74855388524,16.612,16.2465,1.54640964256,16.3534545455,16.2465,1.4049860218,16.331,16.0958666667,2.57988400205,16.7332,16.0958666667,2.2958930361,16.612,16.0958666667,1.50892485959,16.3534545455,16.0958666667,1.24689981214,16.1388571429,16.0958666667,2.07928939623,16.331,16.0157777778,2.16925898344,16.7332,16.0157777778,1.50613076836,16.612,16.0157777778,1.14843429213,16.3534545455,16.0157777778,0.974520908139,16.1388571429,16.0157777778,1.43609569745,16.0465882353,16.0157777778,1.49894961847,16.331,15.9384761905,1.87902376374,16.7332,15.9384761905,1.31230302734,16.612,15.9384761905,0.794751599043,16.3534545455,15.9384761905,0.917932961076,16.1388571429,15.9384761905,0.852304985001,16.0465882353,15.9384761905,0.807820897231,15.9729,15.9384761905,0.652562638049
2014-10-24,1.11022576361,16.72,16.648,15.9842,2.05773710911,16.355,16.7436666667,3.18022481512,16.724,16.7436666667,0.808056225968,16.355,16.5784444444,0.824689053952,16.724,16.5784444444,1.18947599015,16.62775,16.5784444444,1.77397815643,16.355,16.2755,1.94938881087,16.724,16.2755,1.76119403381,16.62775,16.2755,1.55758850745,16.3810909091,16.2755,1.41514254726,16.355,16.1137333333,2.59853376592,16.724,16.1137333333,2.31248985322,16.62775,16.1137333333,1.51983275014,16.3810909091,16.1137333333,1.25591354573,16.1564285714,16.1137333333,2.09432040392,16.355,16.0298888889,2.18494037368,16.724,16.0298888889,1.51701846066,16.62775,16.0298888889,1.15673622677,16.3810909091,16.0298888889,0.981565637595,16.1564285714,16.0298888889,1.44647711213,16.0629411765,16.0298888889,1.50978539884,16.355,15.9535238095,1.89260706806,16.724,15.9535238095,1.32178955525,16.62775,15.9535238095,0.800496791325,16.3810909091,15.9535238095,0.924568621036,16.1564285714,15.9535238095,0.858466225857,16.0629411765,15.9535238095,0.813660566367,15.9842,15.9535238095,0.657279958324
2014-10-27,1.1015936255,16.59,16.627,15.9917,2.04173795694,16.374,16.7386666667,3.20495144346,16.7064,16.7386666667,0.814338959782,16.374,16.5851111111,0.831101109994,16.7064,16.5851111111,1.18022767204,16.64025,16.5851111111,1.76018526406,16.374,16.3011666667,1.93423207969,16.7064,16.3011666667,1.74750053953,16.64025,16.3011666667,1.54547807049,16.406,16.3011666667,1.40413964468,16.374,16.1273333333,2.57832985506,16.7064,16.1273333333,2.294509968,16.64025,16.1273333333,1.50801586871,16.406,16.1273333333,1.24614866768,16.1717142857,16.1273333333,2.07803681226,16.374,16.0404444444,2.16795220092,16.7064,16.0404444444,1.50522346067,16.64025,16.0404444444,1.14774246424,16.406,16.0404444444,0.973933847351,16.1717142857,16.0404444444,1.43523057956,16.0772941176,16.0404444444,1.49804663677,16.374,15.9661904762,1.87789182171,16.7064,15.9661904762,1.31151248334,16.64025,15.9661904762,0.794272833019,16.406,15.9661904762,0.917379989413,16.1717142857,15.9661904762,0.851791548263,16.0772941176,15.9661904762,0.807334258136,15.9917,15.9661904762,0.652169528026
2014-10-28,1.11553784861,16.8,16.6145,16.0005,2.06758274121,16.402,16.7416666667,3.16438243785,16.6964,16.7416666667,0.804030871684,16.402,16.5955555556,0.820580842779,16.6964,16.5955555556,1.19516726283,16.6535,16.5955555556,1.78246609019,16.402,16.3311666667,1.95871603007,16.6964,16.3311666667,1.76962079952,16.6535,16.3311666667,1.56504108404,16.4349090909,16.3311666667,1.42191356423,16.402,16.1405333333,2.61096694183,16.6964,16.1405333333,2.32355439798,16.6535,16.1405333333,1.52710467717,16.4349090909,16.1405333333,1.26192270145,16.19,16.1405333333,2.10434107571,16.402,16.055,2.19539463384,16.6964,16.055,1.5242769222,16.6535,16.055,1.16227084986,16.4349090909,16.055,0.9862621239,16.19,16.055,1.45339805525,16.0914117647,16.055,1.51700925243,16.402,15.9813333333,1.90166260427,16.6964,15.9813333333,1.32811390718,16.6535,15.9813333333,0.804326919513,16.4349090909,15.9813333333,0.928992394342,16.19,15.9813333333,0.86257371976,16.0914117647,15.9813333333,0.817553679125,16.0005,15.9813333333,0.660424838507
